Rk,ID,Player,Pos,Team,Opp,Week,Snaps,Snap Pct,Rush Pct,Tgt Pct,Touch Pct,Util Pct,Fantasy Points,Points/100 Snaps
158,15227,Kevin Minter,ILB,ARI,SEA,10,58,95,0,0,0,0,0,10.3
159,9274,James Laurinaitis,ILB,LA,CHI,10,65,100,0,0,0,0,0,10
160,16794,Landon Collins,SS,NYG,NE,10,55,76,0,0,0,0,0,10
161,13338,Cameron Jordan,DE,NO,WAS,10,50,81,0,0,0,0,0,10
162,15516,Tony Jefferson,SS,ARI,SEA,10,50,82,0,0,0,0,0,10
163,16457,Nevin Lawson,CB,DET,GB,10,71,82,0,0,0,0,0,9.9
164,13756,Nigel Bradham,OLB,BUF,NYJ,10,56,95,0,0,0,0,0,9.8
165,9331,Michael Crabtree,WR,OAK,MIN,10,56,88,0,9,7,9,9.50,9.8
166,9810,Jonathan Casillas,OLB,NYG,NE,10,72,100,0,0,0,0,0,9.7
167,16792,Stephone Anthony,OLB,NO,WAS,10,62,100,0,0,0,0,0,9.7
168,11548,Darian Stewart,FS,DEN,KC,10,57,88,0,0,0,0,0,9.6
169,14285,Casey Hayward,CB,GB,DET,10,52,80,0,0,0,0,0,9.6
170,8353,Patrick Chung,SS,NE,NYG,10,74,99,0,0,0,0,0,9.5
171,6285,Chad Greenway,OLB,MIN,OAK,10,63,98,0,0,0,0,0,9.5
172,16005,Walt Aikens,FS,MIA,PHI,10,58,60,0,0,0,0,0,9.5
173,13871,Dre Kirkpatrick,CB,CIN,HOU,10,58,92,0,0,0,0,0,9.5
174,15986,Preston Brown,ILB,BUF,NYJ,10,59,100,0,0,0,0,0,9.3
175,17145,Neville Hewitt,OLB,MIA,PHI,10,65,68,0,0,0,0,0,9.2
176,11386,Morgan Burnett,SS,GB,DET,10,65,100,0,0,0,0,0,9.2
177,16470,Davante Adams,WR,GB,DET,10,87,100,0,24,12,24,17.90,9.1
178,14233,Jayron Hosley,CB,NYG,NE,10,55,76,0,0,0,0,0,9.1
179,11612,Earl Thomas,FS,SEA,ARI,10,89,100,0,0,0,0,0,9
180,11270,Dez Bryant,WR,DAL,TB,10,50,93,0,24,10,24,9.50,9
181,13104,Shareece Wright,CB,BAL,JAX,10,50,68,0,0,0,0,0,9
182,14856,Zach Ertz,TE,PHI,MIA,10,76,79,0,13,9,13,13.80,8.9
183,14583,Bruce Irvin,OLB,SEA,ARI,10,56,63,0,0,0,0,0,8.9
184,15012,Jonathan Cyprien,SS,JAX,BAL,10,68,100,0,0,0,0,0,8.8
185,8571,Brian Cushing,ILB,HOU,CIN,10,68,100,0,0,0,0,0,8.8
186,16364,Anthony Hitchens,ILB,DAL,TB,10,69,99,0,0,0,0,0,8.7
187,15280,Rontez Miles,FS,NYJ,BUF,10,64,99,0,0,0,0,0,8.6
188,15122,Ezekiel Ansah,DE,DET,GB,10,58,67,0,0,0,0,0,8.6
189,16397,Devon Kennard,OLB,NYG,NE,10,58,81,0,0,0,0,0,8.6
190,13085,Marcus Gilchrist,FS,NYJ,BUF,10,65,100,0,0,0,0,0,8.5
191,10195,Cary Williams,CB,SEA,ARI,10,89,100,0,0,0,0,0,8.4
192,12751,Charles Clay,TE,BUF,NYJ,10,62,95,0,10,8,10,10.20,8.4
193,11658,Karlos Dansby,OLB,CLE,PIT,10,66,100,0,0,0,0,0,8.3
194,2670,Charles Woodson,SS,OAK,MIN,10,60,97,0,0,0,0,0,8.3
195,17321,Delvin Breaux,CB,NO,WAS,10,54,87,0,0,0,0,0,8.3
196,12212,Kendrick Lewis,FS,BAL,JAX,10,67,91,0,0,0,0,0,8.2
197,14280,Mike Daniels,DT,GB,DET,10,50,77,0,0,0,0,0,8
198,7634,Tracy Porter,CB,CHI,LA,10,63,100,0,0,0,0,0,7.9
199,11132,Jerry Hughes,OLB,BUF,NYJ,10,57,97,0,0,0,0,0,7.9
200,722,Jason Witten,TE,DAL,TB,10,54,100,0,9,9,9,9.20,7.8
201,11315,Brandon Graham,DE,PHI,MIA,10,51,76,0,0,0,0,0,7.7
202,11731,Adam Jones,CB,CIN,HOU,10,59,94,0,0,0,0,0,7.6
203,384,Stephen Tulloch,ILB,DET,GB,10,53,61,0,0,0,0,0,7.5
204,12829,Jimmy Smith,CB,BAL,JAX,10,74,100,0,0,0,0,0,7.4
205,9994,Michael Bennett,DE,SEA,ARI,10,68,76,0,0,0,0,0,7.4
206,13070,Sterling Moore,CB,TB,DAL,10,54,100,0,0,0,0,0,7.4
207,11488,Jimmy Graham,TE,SEA,ARI,10,56,92,0,14,5,14,7.10,7.3
208,14242,Rueben Randle,WR,NYG,NE,10,72,96,0,6,4,6,8.10,7.1
209,14232,Will Hill,SS,BAL,JAX,10,71,96,0,0,0,0,0,7
210,13858,Courtney Upshaw,OLB,BAL,JAX,10,50,68,0,0,0,0,0,7
211,12845,AJ Green,WR,CIN,HOU,10,68,100,0,10,7,10,10.70,6.9
212,15218,TJ McDonald,SS,LA,CHI,10,65,100,0,0,0,0,0,6.9
213,13018,Chris Harris,CB,DEN,KC,10,65,100,0,0,0,0,0,6.9
214,12741,Da'Norris Searcy,SS,TEN,CAR,10,58,85,0,0,0,0,0,6.9
215,16035,Malcolm Butler,CB,NE,NYG,10,74,99,0,0,0,0,0,6.8
216,13761,Stephon Gilmore,CB,BUF,NYJ,10,59,100,0,0,0,0,0,6.8
217,11054,TJ Ward,SS,DEN,KC,10,60,92,0,0,0,0,0,6.7
218,16283,Bradley Roby,CB,DEN,KC,10,60,92,0,0,0,0,0,6.7
219,16777,Kevin Johnson,CB,HOU,CIN,10,68,100,0,0,0,0,0,6.6
220,15197,Kenny Vaccaro,SS,NO,WAS,10,62,100,0,0,0,0,0,6.5
221,3760,Brandon Meriweather,SS,NYG,NE,10,62,86,0,0,0,0,0,6.5
222,12150,Josh Wilson,CB,DET,GB,10,54,62,0,0,0,0,0,6.5
223,16432,Kyle Fuller,CB,CHI,LA,10,63,100,0,0,0,0,0,6.3
224,6304,Darrelle Revis,CB,NYJ,BUF,10,65,100,0,0,0,0,0,6.2
225,14412,Janoris Jenkins,CB,LA,CHI,10,64,99,0,0,0,0,0,6.2
226,8435,Michael Johnson,DE,CIN,HOU,10,56,89,0,0,0,0,0,6.2
227,13227,Randall Cobb,WR,GB,DET,10,82,94,1,12,7,13,10,6.1
228,7635,Heath Miller,TE,PIT,CLE,10,66,100,0,11,6,11,8,6.1
229,5353,Daryl Smith,OLB,BAL,JAX,10,66,89,0,0,0,0,0,6.1
230,13472,Byron Maxwell,CB,PHI,MIA,10,67,100,0,0,0,0,0,6
231,16781,Nelson Agholor,WR,PHI,MIA,10,53,55,0,8,6,8,6.20,6
232,14059,Derek Wolfe,DE,DEN,KC,10,50,77,0,0,0,0,0,6
233,9681,Jerraud Powers,CB,ARI,SEA,10,59,97,0,0,0,0,0,5.9
234,11547,Eugene Sims,DE,LA,CHI,10,51,79,0,0,0,0,0,5.9
235,15067,DJ Hayden,CB,OAK,MIN,10,51,82,0,0,0,0,0,5.9
236,13870,Marvin Jones,WR,CIN,HOU,10,63,93,2,14,8,16,7.60,5.7
237,13479,Richard Sherman,CB,SEA,ARI,10,89,100,0,0,0,0,0,5.6
238,6411,Husain Abdullah,FS,KC,DEN,10,54,75,0,0,0,0,0,5.6
239,15048,Travis Kelce,TE,KC,DEN,10,65,94,0,14,8,14,8.60,5.5
240,8564,Nate Washington,WR,HOU,CIN,10,58,92,0,9,3,9,5.20,5.5
241,14888,Logan Ryan,CB,NE,NYG,10,74,99,0,0,0,0,0,5.4
242,13894,Tashaun Gipson,FS,CLE,PIT,10,66,100,0,0,0,0,0,5.3
243,14048,Malik Jackson,DT,DEN,KC,10,57,88,0,0,0,0,0,5.3
244,10953,Nolan Carroll,CB,PHI,MIA,10,67,100,0,0,0,0,0,5.2
245,14878,Jamar Taylor,CB,MIA,PHI,10,79,82,0,0,0,0,0,5.1
246,16249,Aaron Colvin,CB,JAX,BAL,10,68,100,0,0,0,0,0,5.1
247,11308,Nate Allen,FS,OAK,MIN,10,59,95,0,0,0,0,0,5.1
248,14646,Olivier Vernon,DE,MIA,PHI,10,85,89,0,0,0,0,0,4.7
249,3942,Tramon Williams,CB,CLE,PIT,10,64,97,0,0,0,0,0,4.7
250,15151,Xavier Rhodes,CB,MIN,OAK,10,64,100,0,0,0,0,0,4.7
251,3341,Calais Campbell,DE,ARI,SEA,10,54,89,0,0,0,0,0,4.6
252,13027,Julius Thomas,TE,JAX,BAL,10,51,69,0,10,4,10,4.30,4.5
253,7680,Haloti Ngata,DT,DET,GB,10,60,69,0,0,0,0,0,4.2
254,9783,Rashad Johnson,FS,ARI,SEA,10,60,98,0,0,0,0,0,4.2
255,15247,Darren Fells,TE,ARI,SEA,10,50,56,0,8,6,8,5.10,4.2
256,10978,Devin McCourty,FS,NE,NYG,10,75,100,0,0,0,0,0,4
