"Mike Trout_LAA","Bryce Harper_WAS","Kris Bryant_CHC","Anthony Rizzo_CHC","Cameron Maybin_LAA","Anthony Rendon_WAS","Trea Turner_WAS","Daniel Murphy_WAS","Freddie Freeman_ATL","Ben Zobrist_CHC","Javier Baez_CHC","Ryan Zimmerman_WAS","Ender Inciarte_ATL","Albert Pujols_LAA","Kyle Schwarber_CHC","Ian Happ_CHC","Adam Eaton_WAS","Wil Myers_SD","Buster Posey_SF","Matt Kemp_ATL","Brandon Phillips_ATL","Hunter Pence_SF","Brandon Belt_SF","Hunter Renfroe_SD","Eduardo Nunez_SF","Jayson Werth_WAS","Andrelton Simmons_LAA","Jason Heyward_CHC","Ryan Schimpf_SD","Denard Span_SF","Michael Taylor_WAS","Joe Panik_SF","CJ Cron_LAA","Brandon Crawford_SF","Nick Markakis_ATL","Matt Adams_ATL","Willson Contreras_CHC","Albert Almora_CHC","Tyler Flowers_ATL","Jefry Marte_LAA","Adonis Garcia_ATL","Yangervis Solarte_SD","Alex Dickerson_SD","Addison Russell_CHC","Adam Lind_WAS","Matt Wieters_WAS","Ben Revere_LAA","Jarrett Parker_SF","Luis Valbuena_LAA","Yunel Escobar_LAA","Kole Calhoun_LAA","Miguel Montero_CHC","Jon Jay_CHC","Manuel Margot_SD","Dansby Swanson_ATL","Jeimer Candelario_CHC","Nick Hundley_SF","Mac Williamson_SF","Christian Arroyo_SF","Kurt Suzuki_ATL","Danny Espinosa_LAA","Danny Santana_ATL","Brian Goodwin_WAS","Wilmer Difo_WAS","Kelby Tomlinson_SF","Jace Peterson_ATL","Micah Johnson_ATL","Tommy La Stella_CHC","Stephen Drew_WAS","Rio Ruiz_ATL","Cory Spangenberg_SD","Aaron Hill_SF","Justin Ruggiano_SF","Matt Szczur_SD","Travis Jankowski_SD","Austin Hedges_SD","Allen Cordoba_SD","Chris Heisey_WAS","Gorkys Hernandez_SF","Conor Gillaspie_SF","Chase d'Arnaud_SD","Franchy Cordero_SD","Nolan Fontana_LAA","Christian Bethancourt_SD","Jose Lobaton_WAS","Rafael Bautista_WAS","Juan Graterol_LAA","Michael Morse_SF","Carlos Perez_LAA","Tim Federowicz_SF","Martin Maldonado_LAA","Cliff Pennington_LAA","Anthony Recker_ATL","Erick Aybar_SD","Jabari Blash_SD","Eloy Jimenez_CHC","Chris Marrero_SF","Emilio Bonifacio_ATL","Lane Adams_ATL","Johan Camargo_ATL","Hector Sanchez_SD","Luis Torrens_SD","Grant Green_WAS"
0,35,0,0,0,34,30,35,0,0,0,33,0,0,0,0,16,0,0,0,0,0,0,0,0,38,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,41,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,18,0,0,0,0,0,0,24,0,0,0,0,0,0,20,0,19,33,45,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,2,0,40,11,0,0,0,0,0,0,0,0,0,0,0
0,0,33,33,0,0,0,0,0,25,22,0,0,0,29,7,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,22,12,0,0,0,0,0,30,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,37,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,13,32,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,34,5,0,0,0,0,0,2,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,12,26,0,23,0,0,0,0,27,0,24,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,9,12,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
0,23,0,0,0,26,24,22,0,0,0,25,0,0,0,0,3,0,0,0,0,0,0,0,0,22,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,29,41,0,41,0,0,0,0,24,0,46,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,9,25,0,0,0,0,0,2,0,0,0,0,0,0,3,10,0,0,0,0,0,20,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
19,0,0,0,13,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,4,12,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,14,3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,18,33,0,31,0,0,0,0,26,0,31,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,9,14,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,35,0,0,0,47,0,0,0,0,0,0,37,38,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8,0,0,27,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,19,0,5,0,0,0,26,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
