"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Bryce Harper",5500,"ATL@WAS 04:05PM ET",10.671,"WAS","ATL",10.93,11.8,10.36,NA,"3","2",7
"OF","Mookie Betts",5100,"BOS@TB 04:10PM ET",9.821,"BOS","TB",9.44,9.5,10.17,NA,"1","1",3
"2B","Daniel Murphy",4800,"ATL@WAS 04:05PM ET",9.691,"WAS","ATL",10.09,10,8.83,NA,"5","4",5
"OF","Andrew Benintendi",4700,"BOS@TB 04:10PM ET",8.563,"BOS","TB",8.12,7.9,8.09,NA,"6","6",2
"1B","Logan Morrison",4600,"BOS@TB 04:10PM ET",8.976,"TB","BOS",8.53,8,7.85,NA,"4","4",0
"OF","Steven Souza",4500,"BOS@TB 04:10PM ET",8.805,"TB","BOS",NA,7.2,7.68,NA,"5","5",5
"SS","Trea Turner",4500,"ATL@WAS 04:05PM ET",10.559,"WAS","ATL",NA,0,NA,NA,"x","x",NA
"OF","Tommy Pham",4300,"NYM@STL 04:10PM ET",8.895,"STL","NYM",NA,8.5,NA,NA,"2","3",17
"OF","Michael Conforto",4300,"NYM@STL 04:10PM ET",8.667,"NYM","STL",7.68,0,8.99,NA,"x","x",NA
"OF","Dexter Fowler",4200,"NYM@STL 04:10PM ET",8.162,"STL","NYM",7.56,0,2.03,NA,"x","x",NA
"OF","Michael Taylor",4200,"ATL@WAS 04:05PM ET",7.658,"WAS","ATL",NA,0,NA,NA,"x","x",NA
"OF","Curtis Granderson",4100,"NYM@STL 04:10PM ET",7.2,"NYM","STL",7.78,9.3,7.58,NA,"x","1",0
"SS","Xander Bogaerts",4100,"BOS@TB 04:10PM ET",8.309,"BOS","TB",7.48,7.5,8.58,NA,"3","3",5
"OF","Mallex Smith",4100,"BOS@TB 04:10PM ET",8.091,"TB","BOS",6.24,8.7,8.95,NA,"1","1",11
"OF","Aaron Altherr",4100,"SD@PHI 04:05PM ET",7.868,"PHI","SD",7.6,0,8.35,NA,"x","x",NA
"3B","Anthony Rendon",4100,"ATL@WAS 04:05PM ET",9.076,"WAS","ATL",7.45,7.3,9.09,NA,"6","5",5
"1B","Lucas Duda",4000,"NYM@STL 04:10PM ET",7.492,"NYM","STL",6.93,8.6,8.53,NA,"6","6",0
"1B","Ryan Zimmerman",4000,"ATL@WAS 04:05PM ET",9.526,"WAS","ATL",8.24,7.4,8.58,NA,"4","3",3
"OF","Adam Eaton",4000,"ATL@WAS 04:05PM ET",10.13,"WAS","ATL",NA,0,NA,NA,"x","x",NA
"3B","Jedd Gyorko",3900,"NYM@STL 04:10PM ET",8.013,"STL","NYM",7.77,8,7.89,NA,"4","4",2
"1B","Hanley Ramirez",3900,"BOS@TB 04:10PM ET",7.411,"BOS","TB",7.37,7.4,7.26,NA,"x","5",0
"2B","Dustin Pedroia",3900,"BOS@TB 04:10PM ET",7.507,"BOS","TB",7.26,7.1,8.1,NA,"2","2",0
"OF","Corey Dickerson",3900,"BOS@TB 04:10PM ET",9.133,"TB","BOS",9.18,8.3,8.69,NA,"2","2",0
"1B","Matt Carpenter",3800,"NYM@STL 04:10PM ET",7.807,"STL","NYM",8.63,9.6,9.1,NA,"1","1",9
"SS","Aledmys Diaz",3800,"NYM@STL 04:10PM ET",6.028,"STL","NYM",NA,0,NA,NA,"x","x",NA
"OF","Jackie Bradley",3800,"BOS@TB 04:10PM ET",8.029,"BOS","TB",6.68,0,7.17,NA,"x","x",NA
"3B","Maikel Franco",3800,"SD@PHI 04:05PM ET",6.395,"PHI","SD",6.9,7.4,7.49,NA,"3","5",14
"OF","Brian Goodwin",3800,"ATL@WAS 04:05PM ET",6.289,"WAS","ATL",6.77,8.1,8.21,NA,"1","1",0
"OF","Jay Bruce",3700,"NYM@STL 04:10PM ET",9.038,"NYM","STL",8.87,8.8,8.71,NA,"4","4",17
"3B","Evan Longoria",3700,"BOS@TB 04:10PM ET",7.647,"TB","BOS",7.24,7.2,8.19,NA,"3","3",12
"2B","Cesar Hernandez",3700,"SD@PHI 04:05PM ET",7.638,"PHI","SD",NA,0,NA,NA,"x","x",NA
"1B/3B","Freddie Freeman",3700,"ATL@WAS 04:05PM ET",12.463,"ATL","WAS",6.6,9.1,10.31,NA,"3","3",11
"OF","Yoenis Cespedes",3600,"NYM@STL 04:10PM ET",7.675,"NYM","STL",8.02,9.3,9.99,NA,"3","3",0
"3B","Deven Marrero",3600,"BOS@TB 04:10PM ET",5.082,"BOS","TB",4.52,0,5.2,NA,"x","x",NA
"2B","Brad Miller",3600,"BOS@TB 04:10PM ET",6.455,"TB","BOS",6.63,7.7,6.58,NA,"6","6",3
"1B","Wil Myers",3600,"SD@PHI 04:05PM ET",8.226,"SD","PHI",8.12,8.9,8.75,NA,"3","1",2
"OF","Manuel Margot",3600,"SD@PHI 04:05PM ET",7.018,"SD","PHI",6.19,6.8,7.75,NA,"2","2",8
"1B","Adam Lind",3600,"ATL@WAS 04:05PM ET",5.053,"WAS","ATL",6.88,8.8,1.94,NA,"x","6",0
"2B/SS","Asdrubal Cabrera",3500,"NYM@STL 04:10PM ET",7.213,"NYM","STL",6.73,8.5,8.89,NA,"2","2",0
"SS","Freddy Galvis",3500,"SD@PHI 04:05PM ET",6.482,"PHI","SD",6.14,8,7.3,NA,"2","2",0
"OF","Daniel Nava",3500,"SD@PHI 04:05PM ET",4.586,"PHI","SD",6.43,8.2,1.7,NA,"1","1",3
"OF","Hunter Renfroe",3500,"SD@PHI 04:05PM ET",6.881,"SD","PHI",6.31,6.8,7.77,NA,"4","4",7
"OF","Nick Williams",3500,"SD@PHI 04:05PM ET",4.375,"PHI","SD",5.39,6.5,7.4,NA,"x","3",2
"OF","Jayson Werth",3500,"ATL@WAS 04:05PM ET",7.894,"WAS","ATL",NA,0,NA,NA,"x","x",NA
"3B","David Wright",3400,"NYM@STL 04:10PM ET",0,"NYM","STL",NA,0,NA,NA,"x","x",NA
"C","Travis d'Arnaud",3400,"NYM@STL 04:10PM ET",6.057,"NYM","STL",5.55,6.8,6.34,NA,"8","8",0
"OF","Stephen Piscotty",3400,"NYM@STL 04:10PM ET",6.667,"STL","NYM",7.74,8.1,8.61,NA,"3","2",5
"1B/3B","TJ Rivera",3400,"NYM@STL 04:10PM ET",5.283,"NYM","STL",5.84,7.7,6.28,NA,"5","5",9
"C","Wilson Ramos",3400,"BOS@TB 04:10PM ET",10.25,"TB","BOS",5.54,0,6.53,NA,"x","x",NA
"OF","Kevin Kiermaier",3400,"BOS@TB 04:10PM ET",7.403,"TB","BOS",NA,0,NA,NA,"x","x",NA
"1B","Tommy Joseph",3400,"SD@PHI 04:05PM ET",7.088,"PHI","SD",7.53,7.4,7.15,NA,"4","4",10
"3B","Ryan Schimpf",3400,"SD@PHI 04:05PM ET",6.377,"SD","PHI",NA,0,NA,NA,"x","x",NA
