P,P,C,1B,2B,3B,SS,OF,OF,OF
Clayton Kershaw,Anibal Sanchez,Brian McCann,Josh Bell,Dustin Pedroia,David Freese,Jordy Mercer,Andrew McCutchen,Josh Reddick,Gregory Polanco
Clayton Kershaw,Anibal Sanchez,Carlos Ruiz,Albert Pujols,Taylor Motter,Jake Lamb,Jean Segura,Mookie Betts,Mitch Haniger,Jarrod Dyson
Clayton Kershaw,Anibal Sanchez,Cameron Rupp,Yuli Gurriel,Dustin Pedroia,Alex Bregman,Xander Bogaerts,George Springer,Carlos Beltran,Jake Marisnick
Clayton Kershaw,Anibal Sanchez,Martin Maldonado,Jose Martinez,Paul DeJong,Jedd Gyorko,Xander Bogaerts,Mookie Betts,Dexter Fowler,Tommy Pham
Jacob deGrom,Gerrit Cole,Martin Maldonado,Mitch Moreland,Dustin Pedroia,Deven Marrero,Xander Bogaerts,Mookie Betts,Joc Pederson,Hunter Renfroe
Jacob deGrom,Johnny Cueto,Martin Maldonado,Albert Pujols,Danny Espinosa,Kyle Seager,Andrelton Simmons,Mookie Betts,Gregory Polanco,Kole Calhoun
Clayton Kershaw,Gerrit Cole,Carlos Ruiz,Mitch Moreland,Robinson Cano,Maikel Franco,Jean Segura,Josh Reddick,Nelson Cruz,Ben Gamel
Clayton Kershaw,Gerrit Cole,Martin Maldonado,Albert Pujols,Andrew Romine,Nicholas Castellanos,Jose Iglesias,JD Martinez,Josh Reddick,Justin Upton
Clayton Kershaw,Gerrit Cole,Cameron Rupp,Josh Bell,Josh Harrison,David Freese,Andrelton Simmons,Andrew McCutchen,Andrew Benintendi,Gregory Polanco
Clayton Kershaw,Gerrit Cole,Yasmani Grandal,Hanley Ramirez,Robinson Cano,Kyle Seager,Andrelton Simmons,Nelson Cruz,Ben Gamel,Mitch Haniger
Clayton Kershaw,Gerrit Cole,Cameron Rupp,Luis Valbuena,Cliff Pennington,Maikel Franco,Carlos Correa,Eric Young,Cameron Maybin,Kole Calhoun
Clayton Kershaw,Gerrit Cole,Martin Maldonado,Albert Pujols,Taylor Motter,Kyle Seager,Carlos Correa,Nelson Cruz,Mitch Haniger,Jarrod Dyson
Jacob deGrom,Anibal Sanchez,Cameron Rupp,Albert Pujols,Cliff Pennington,Maikel Franco,Andrelton Simmons,Josh Reddick,Cameron Maybin,Kole Calhoun
Clayton Kershaw,David Price,Austin Hedges,Wil Myers,Dustin Pedroia,Cory Spangenberg,Carlos Asuaje,David Peralta,Josh Reddick,Hunter Renfroe
Johnny Cueto,Tyler Chatwood,Brian McCann,Mitch Moreland,Dustin Pedroia,Nicholas Castellanos,Xander Bogaerts,Mookie Betts,David Peralta,Andrew Benintendi
Robbie Ray,Anibal Sanchez,Christian Vazquez,Hanley Ramirez,Jose Altuve,Deven Marrero,Andrelton Simmons,David Peralta,Andrew Benintendi,Jackie Bradley
Robbie Ray,Tyler Chatwood,Brian McCann,Albert Pujols,Cliff Pennington,Nicholas Castellanos,Andrelton Simmons,Mookie Betts,Cameron Maybin,Kole Calhoun
Gerrit Cole,Dinelson Lamet,Christian Vazquez,Paul Goldschmidt,Dustin Pedroia,Deven Marrero,Xander Bogaerts,Mookie Betts,David Peralta,Cameron Maybin
David Price,Anibal Sanchez,Yasmani Grandal,Mitch Moreland,Jose Altuve,Jake Lamb,Carlos Correa,George Springer,Josh Reddick,Jake Marisnick
David Price,Dinelson Lamet,Cameron Rupp,Paul Goldschmidt,Dustin Pedroia,Jake Lamb,Chris Owings,David Peralta,Gregor Blanco,Joc Pederson
Clayton Kershaw,Dinelson Lamet,Yasmani Grandal,Yuli Gurriel,Andres Blanco,Alex Bregman,Andrelton Simmons,George Springer,Josh Reddick,Jake Marisnick
Gerrit Cole,Dinelson Lamet,Brian McCann,Mitch Moreland,Jose Altuve,Justin Turner,Carlos Correa,Carlos Beltran,Josh Reddick,Joc Pederson
Clayton Kershaw,Gerrit Cole,Chris Stewart,Josh Bell,Robinson Cano,David Freese,Jordy Mercer,Mookie Betts,Andrew McCutchen,Cameron Maybin
Jacob deGrom,Anibal Sanchez,Cameron Rupp,Tommy Joseph,Andres Blanco,Maikel Franco,Carlos Correa,Josh Reddick,Andrew Benintendi,Odubel Herrera
Clayton Kershaw,Gerrit Cole,Brian McCann,Yuli Gurriel,Jose Pirela,Alex Bregman,Freddy Galvis,Carlos Beltran,Cameron Maybin,Jake Marisnick
Jacob deGrom,Gerrit Cole,Brian McCann,Tommy Joseph,Andres Blanco,Maikel Franco,Freddy Galvis,David Peralta,Andrew Benintendi,Aaron Altherr
Robbie Ray,Gerrit Cole,Christian Vazquez,Albert Pujols,Cliff Pennington,Jake Lamb,Jean Segura,Eric Young,Cameron Maybin,Kole Calhoun
Clayton Kershaw,Dinelson Lamet,Austin Hedges,Wil Myers,Andres Blanco,Cory Spangenberg,Xander Bogaerts,Mookie Betts,Hunter Renfroe,Franchy Cordero
David Price,Dinelson Lamet,Yasmani Grandal,Cody Bellinger,Logan Forsythe,Justin Turner,Jean Segura,Mookie Betts,David Peralta,Joc Pederson
Robbie Ray,Anibal Sanchez,Carlos Ruiz,Alex Avila,Robinson Cano,Jake Lamb,Jean Segura,David Peralta,Nelson Cruz,Ben Gamel
David Price,Dinelson Lamet,Brian McCann,Wil Myers,Jose Altuve,Kyle Seager,Carlos Correa,George Springer,Josh Reddick,Jackie Bradley
Robbie Ray,Lance Lynn,Tom Murphy,Mitch Moreland,Dustin Pedroia,Cory Spangenberg,Xander Bogaerts,Mookie Betts,Andrew Benintendi,Kole Calhoun
Jacob deGrom,Dinelson Lamet,Christian Vazquez,Albert Pujols,Dustin Pedroia,Deven Marrero,Carlos Correa,Mookie Betts,Gregor Blanco,Jackie Bradley
Robbie Ray,Gerrit Cole,Christian Vazquez,Hanley Ramirez,Danny Espinosa,Deven Marrero,Asdrubal Cabrera,Mookie Betts,Jackie Bradley,Joc Pederson
Clayton Kershaw,Dinelson Lamet,Yasmani Grandal,Cody Bellinger,Logan Forsythe,Justin Turner,Andrelton Simmons,Yasiel Puig,Aaron Altherr,Allen Cordoba
Robbie Ray,Anibal Sanchez,Yasmani Grandal,Josh Bell,Josh Harrison,David Freese,Jean Segura,David Peralta,Andrew McCutchen,Gregory Polanco
Robbie Ray,Gerrit Cole,Brian McCann,Miguel Cabrera,Robinson Cano,Kyle Seager,Jean Segura,Nelson Cruz,Kole Calhoun,Ben Gamel
Jacob deGrom,Tyler Chatwood,Christian Vazquez,Wil Myers,Dustin Pedroia,Deven Marrero,Xander Bogaerts,Mookie Betts,Gregory Polanco,Kole Calhoun
Gerrit Cole,Tyler Chatwood,Cameron Rupp,Paul Goldschmidt,Brandon Drury,Jake Lamb,Chris Owings,David Peralta,Kole Calhoun,Aaron Altherr
