"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"1B","Anthony Rizzo",5500,"CHC@@CIN",0,"Chc",10.25,11.2,16,8.9,16
"OF","Mookie Betts",5500,"BOS@@BAL",0,"Bos",8.58,9.3,25,9.1,25
"1B/OF","Hanley Ramirez",5400,"BOS@@BAL",0,"Bos",6.99,7.9,14,7.8,14
"3B","Kris Bryant",5300,"CHC@@CIN",0,"Chc",9.54,10.6,5,9.1,5
"OF","Ryan Braun",5200,"MIL@STL",0,"Mil",8.63,7.8,10,9,10
"1B","Miguel Cabrera",5100,"DET@@MIN",0,"Det",NA,0,NA,0,NA
"OF","Kyle Schwarber",5100,"CHC@@CIN",0,"Chc",9.52,10.9,0,7.3,0
"SS","Xander Bogaerts",5000,"BOS@@BAL",0,"Bos",7.22,7.9,12,8,12
"1B","Freddie Freeman",5000,"ATL@@PHI",0,"Atl",10.06,8.9,4,10.3,4
"1B","Joey Votto",5000,"CIN@CHC",0,"Cin",7.71,8.3,4,9.3,4
"3B","Manny Machado",4900,"BAL@BOS",0,"Bal",9.97,7.6,9,8.6,9
"2B","Jose Altuve",4900,"HOU@@TB",0,"Hou",9.38,8.3,22,8.5,22
"OF","Dexter Fowler",4900,"STL@@MIL",0,"StL",7.7,8.8,2,8.8,2
"1B","Matt Carpenter",4800,"STL@@MIL",0,"StL",8.26,10.3,2,9.3,2
"2B/OF","Ben Zobrist",4800,"CHC@@CIN",0,"Chc",8.39,8.1,12,6.8,12
"OF","Jackie Bradley",4800,"BOS@@BAL",0,"Bos",6.99,7,0,7.6,0
"SS","Carlos Correa",4800,"HOU@@TB",0,"Hou",8.38,7.9,16,8.1,16
"OF","JD Martinez",4700,"DET@@MIN",0,"Det",NA,0,NA,0,NA
"C","Gary Sanchez",4700,"NYY@@PIT",0,"NYY",NA,0,NA,0,NA
"2B","Brian Dozier",4700,"MIN@DET",0,"Min",8,7.8,11,8,11
"2B","Jonathan Villar",4700,"MIL@STL",0,"Mil",7.99,9,11,9.3,11
"OF","Starling Marte",4700,"PIT@NYY",0,"Pit",NA,0,NA,0,NA
"1B","Chris Davis",4700,"BAL@BOS",0,"Bal",6.43,6.9,5,7.4,7
"2B","Ian Kinsler",4600,"DET@@MIN",0,"Det",7.54,7.6,8,8.8,8
"OF","Michael Brantley",4600,"CLE@@CWS",0,"Cle",NA,0,1.9,2.5,NA
"OF","Mark Trumbo",4600,"BAL@BOS",0,"Bal",9.16,7.2,0,7.6,0
"1B","Edwin Encarnacion",4600,"CLE@@CWS",0,"Cle",9.75,8.8,2,9.5,2
"OF","Stephen Piscotty",4500,"STL@@MIL",0,"StL",7.56,6.9,7,7.9,7
"2B","Dustin Pedroia",4500,"BOS@@BAL",0,"Bos",NA,0,1.63,0,NA
"OF","Andrew McCutchen",4500,"PIT@NYY",0,"Pit",7.71,8,7,9.2,7
"OF","Matt Kemp",4500,"ATL@@PHI",0,"Atl",7.53,7.9,19,8.7,19
"SS","Aledmys Diaz",4500,"STL@@MIL",0,"StL",7.32,8.1,7,9.4,7
"OF","Adam Jones",4500,"BAL@BOS",0,"Bal",8.12,7.2,5,7.7,8
"1B/OF","Carlos Santana",4500,"CLE@@CWS",0,"Cle",9.63,9.3,2,8.7,2
"OF","George Springer",4400,"HOU@@TB",0,"Hou",NA,0,1.86,0,NA
"OF","Gregory Polanco",4400,"PIT@NYY",0,"Pit",6.64,6.4,10,7.7,10
"2B","Jason Kipnis",4400,"CLE@@CWS",0,"Cle",NA,0,2,2.4,NA
"3B","Todd Frazier",4400,"CWS@CLE",0,"CWS",6.57,7.3,10,7.7,10
"OF","Andrew Benintendi",4400,"BOS@@BAL",0,"Bos",7.31,8,19,7.5,19
"OF","Justin Upton",4400,"DET@@MIN",0,"Det",7.22,8.2,13,8.7,13
"SS","Francisco Lindor",4400,"CLE@@CWS",0,"Cle",9.54,9,17,8.5,17
"OF","Adam Duvall",4300,"CIN@CHC",0,"Cin",NA,0,1.88,7.4,NA
"2B","Javier Baez",4300,"CHC@@CIN",0,"Chc",NA,0,1.79,6.5,NA
"3B","Maikel Franco",4300,"PHI@ATL",0,"Phi",7.65,7.9,0,7.3,0
"OF","Ender Inciarte",4200,"ATL@@PHI",0,"Atl",5.26,7.4,0,8.2,0
"3B","Miguel Sano",4200,"MIN@DET",0,"Min",6.95,7.7,7,7.7,7
"OF","Billy Hamilton",4200,"CIN@CHC",0,"Cin",6.96,8.2,15,8.3,15
"OF","Randal Grichuk",4200,"STL@@MIL",0,"StL",5.97,7.2,11,8.5,11
"3B","Pablo Sandoval",4200,"BOS@@BAL",0,"Bos",5.94,7,2,6.1,2
"C","Willson Contreras",4200,"CHC@@CIN",0,"Chc",NA,0,0,5.7,NA
"1B","Eric Thames",4200,"MIL@STL",0,"Mil",8.84,10.3,5,9.3,5
"3B","Evan Longoria",4200,"TB@HOU",0,"TB",7.69,7.1,2,7.9,2
