"Anthony Rizzo_ChC","Kris Bryant_ChC","Ryan Braun_Mil","Kyle Schwarber_ChC","Nelson Cruz_Sea","Robinson Cano_Sea","Jean Segura_Sea","Ben Zobrist_ChC","Eric Thames_Mil","Rougned Odor_Tex","Giancarlo Stanton_Mia","Jonathan Villar_Mil","Shin-Soo Choo_Tex","Kyle Seager_Sea","Adrian Beltre_Tex","Khris Davis_Oak","Javier Baez_ChC","Jonathan Lucroy_Tex","Christian Yelich_Mia","Willson Contreras_ChC","Addison Russell_ChC","Mike Napoli_Tex","Rajai Davis_Oak","Carlos Gomez_Tex","Dee Gordon_Mia","Elvis Andrus_Tex","Keon Broxton_Mil","Trevor Plouffe_Oak","Nomar Mazara_Tex","Mitch Haniger_Sea","Jason Heyward_ChC","Domingo Santana_Mil","Ryon Healy_Oak","Joey Gallo_Tex","Marcus Semien_Oak","Miguel Montero_ChC","Albert Almora_ChC","Delino DeShields_Tex","Danny Valencia_Sea","Travis Shaw_Mil","Hernan Perez_Mil","Jon Jay_ChC","Stephen Vogt_Oak","Yonder Alonso_Oak","Taylor Motter_Sea","Leonys Martin_Sea","Marcell Ozuna_Mia","Orlando Arcia_Mil","Jurickson Profar_Tex","JT Realmuto_Mia","Matt Szczur_ChC","Josh Phegley_Oak","Mark Canha_Oak","Martin Prado_Mia","Jarrod Dyson_Sea","Ian Happ_ChC","Nick Franklin_Mil","Jesus Aguilar_Mil","Tommy La Stella_ChC","Robinson Chirinos_Tex","Mike Zunino_Sea","Ben Gamel_Sea","Andrew Susac_Mil","Kirk Nieuwenhuis_Mil","Brett Nicholas_Tex","Jed Lowrie_Oak","Justin Bour_Mia","Ryan Rua_Tex","Jake Smolinski_Oak","Derek Dietrich_Mia","Guillermo Heredia_Sea","Manny Pina_Mil","Shawn O'Malley_Sea","Jett Bandy_Mil","Hanser Alberto_Tex","Matt Joyce_Oak","Carlos Ruiz_Sea","Destin Hood_Mia","Adam Rosales_Oak","Tyler Moore_Mia","Ichiro Suzuki_Mia","Adeiny Hechavarria_Mia","Eloy Jimenez_ChC","AJ Ellis_Mia","Chad Pinder_Oak","Drew Robinson_Tex","Jaff Decker_Oak","Mike Freeman_Sea","JT Riddle_Mia","Miguel Rojas_Mia"
26.4469696969697,3.97727272727273,0,-2.81060606060606,0,0,0,-12,0,0,0,0,0,0,0,0,7.25,0,0,-9.15277777777778,12.7363636363636,0,0,0,0,0,0,0,0,0,-10.3181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.97727272727273,100.75,0,16.75,0,0,0,24.1666666666667,0,0,0,0,0,0,0,0,14.75,0,0,-12.5833333333333,77.7686851967407,0,0,0,0,0,0,0,0,0,13.5636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,75.4102564102564,0,0,0,0,0,34.4222222222222,0,0,-29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.4222222222222,0,0,0,0,9.71818181818182,0,0,0,0,0,0,0,-21.0606060606061,0,0,0,0,0,0,0,-2.90909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2142857142857,0,75.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.81060606060606,16.75,0,32.0833333333333,0,0,0,1,0,0,0,0,0,0,0,0,7.125,0,0,8.76388888888889,16,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,30.8791208791209,3.20879120879121,-11.4285714285714,0,0,0,0,0,0,7.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.54945054945055,0,0,0,0,0,0,0,0,-0.147435897435897,0,0,0,0,0,1.07142857142857,21.1363636363636,0,0,0,0,0,0,0,0,15.9090909090909,0,0,0,0,0,-2.80555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.20879120879121,64.2197802197802,4.16666666666667,0,0,0,0,0,0,-8.49450549450549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.89010989010989,0,0,0,0,0,0,0,0,-5.37179487179487,0,0,0,0,0,7.21428571428571,3.71818181818182,0,0,0,0,0,0,0,0,15.2727272727273,0,0,0,0,0,-5.45833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-11.4285714285714,4.16666666666667,57.2380952380952,0,0,0,0,0,0,-3.23809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1190476190476,0,0,0,0,0,0,0,0,-11.6190476190476,0,0,0,0,0,0,8.43333333333333,0,0,0,0,0,0,0,0,-2.33333333333333,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-12,24.1666666666667,0,1,0,0,0,43.6111111111111,0,0,0,0,0,0,0,0,1.78571428571429,0,0,-1.78571428571429,24.75,0,0,0,0,0,0,0,0,0,17.7916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,34.4222222222222,0,0,0,0,0,72.6909090909091,0,0,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.8928571428571,0,0,0,0,-16.5,0,0,0,0,0,0,0,3.86666666666667,0,0,0,0,0,0,0,8.85555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,32.4102564102564,0,0,14.4181818181818,0,0,0,0,3.06666666666667,0,0,0,7.95512820512821,0,25.6153846153846,0,2.69871794871795,0,0,32.1923076923077,0,0,0,0,-3.03205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
