"","X","X2017.04.02","X2017.04.03","X2017.04.04","X2017.04.05","X2017.04.06","X2017.04.07","X2017.04.08","X2017.04.09","X2017.04.10","X2017.04.11","X2017.04.12","X2017.04.13","X2017.04.14","X2017.04.15","X2017.04.16","X2017.04.17","X2017.04.18"
"1","Anthony Rizzo_CHC",3,NA,2,NA,NA,4,7,0,7,NA,6,19,NA,12,5,10,10
"2","Kris Bryant_CHC",0,NA,0,NA,NA,12,21,18,9,NA,4,2,NA,30,0,0,15
"3","Ryan Braun_MIL",NA,2,19,9,NA,7,NA,18,NA,10,0,18,16,8,18,33,10
"4","Kyle Schwarber_CHC",10,NA,4,NA,NA,0,7,19,8,NA,2,7,NA,7,8,5,18
"5","Nelson Cruz_SEA",NA,NA,0,7,2,5,2,2,15,3,3,NA,16,11,10,14,2
"6","Robinson Cano_SEA",NA,NA,7,2,3,3,3,27,11,7,7,NA,2,2,3,23,2
"7","Jean Segura_SEA",NA,NA,0,19,13,7,13,16,0,NA,NA,NA,NA,NA,NA,NA,NA
"8","Ben Zobrist_CHC",4,NA,NA,NA,NA,16,11,20,0,NA,3,NA,NA,8,5,8,0
"9","Eric Thames_MIL",NA,13,NA,17,NA,NA,5,9,NA,NA,5,23,21,32,18,26,17
"10","Rougned Odor_TEX",NA,NA,3,3,NA,21,5,2,NA,4,12,3,0,0,7,3,3
"11","Giancarlo Stanton_MIA",NA,9,NA,0,NA,7,13,0,NA,2,34,9,NA,14,2,3,0
"12","Jonathan Villar_MIL",NA,13,0,19,NA,0,22,0,NA,0,17,2,28,4,NA,0,0
"13","Shin-Soo Choo_TEX",NA,NA,3,8,NA,12,0,NA,NA,5,3,10,0,NA,29,8,0
"14","Kyle Seager_SEA",NA,NA,5,8,5,0,7,2,10,5,7,NA,8,9,7,2,0
"15","Adrian Beltre_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Khris Davis_OAK",NA,NA,2,5,NA,14,7,8,16,NA,8,0,14,22,NA,0,2
"17","Javier Baez_CHC",3,NA,2,NA,NA,0,16,NA,2,NA,NA,7,NA,3,5,NA,7
"18","Jonathan Lucroy_TEX",NA,NA,NA,5,NA,3,0,NA,NA,24,7,NA,0,3,11,0,0
"19","Christian Yelich_MIA",NA,0,NA,8,NA,21,7,0,NA,22,2,15,2,16,7,17,10
"20","Willson Contreras_CHC",21,NA,7,NA,NA,3,11,NA,3,NA,3,5,NA,2,0,NA,NA
"21","Addison Russell_CHC",3,NA,7,NA,NA,3,19,16,5,NA,0,14,NA,21,0,2,NA
"22","Mike Napoli_TEX",NA,NA,9,0,NA,0,14,2,NA,8,21,0,2,0,7,9,0
"23","Rajai Davis_OAK",NA,NA,17,0,NA,0,14,4,8,NA,14,16,0,NA,NA,2,NA
"24","Carlos Gomez_TEX",NA,NA,0,4,NA,20,0,2,NA,0,16,14,6,2,2,20,0
"25","Dee Gordon_MIA",NA,0,NA,12,NA,10,NA,9,NA,11,7,11,18,0,11,3,7
"26","Elvis Andrus_TEX",NA,NA,2,17,NA,7,0,5,NA,21,19,17,11,0,3,3,20
"27","Keon Broxton_MIL",NA,7,2,NA,NA,NA,NA,0,NA,24,7,3,4,0,NA,0,0
"28","Trevor Plouffe_OAK",NA,NA,0,3,NA,0,NA,3,0,NA,11,3,14,18,NA,3,4
"29","Nomar Mazara_TEX",NA,NA,10,24,NA,32,0,6,NA,8,7,16,5,0,19,23,2
"30","Mitch Haniger_SEA",NA,NA,7,11,21,5,16,18,12,15,8,NA,8,8,24,3,7
"31","Jason Heyward_CHC",5,NA,5,NA,NA,5,NA,17,2,NA,8,3,NA,5,5,5,8
"32","Domingo Santana_MIL",NA,9,11,NA,NA,0,NA,16,NA,19,10,8,7,6,NA,10,4
"33","Ryon Healy_OAK",NA,NA,19,0,NA,0,5,0,5,NA,12,3,0,0,NA,NA,NA
"34","Joey Gallo_TEX",NA,NA,19,4,NA,4,0,25,NA,2,16,12,5,5,0,4,0
"35","Marcus Semien_OAK",NA,NA,9,3,NA,4,19,3,0,NA,13,0,9,NA,NA,NA,NA
"36","Miguel Montero_CHC",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,8,24
"37","Albert Almora_CHC",NA,NA,3,NA,NA,NA,17,NA,NA,NA,NA,5,NA,NA,NA,9,NA
"38","Delino DeShields_TEX",NA,NA,NA,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,NA,NA
"39","Danny Valencia_SEA",NA,NA,8,0,2,3,5,2,2,3,NA,NA,2,8,10,2,0
"40","Travis Shaw_MIL",NA,12,16,16,NA,7,9,0,NA,12,0,0,7,NA,14,0,35
"41","Hernan Perez_MIL",NA,NA,NA,7,NA,3,NA,0,NA,3,NA,NA,NA,26,2,NA,NA
"42","Jon Jay_CHC",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0,NA,NA,NA,NA,NA,16
"43","Stephen Vogt_OAK",NA,NA,0,5,NA,5,2,NA,10,NA,10,0,NA,5,NA,5,0
"44","Yonder Alonso_OAK",NA,NA,7,3,NA,14,21,NA,2,NA,5,NA,NA,11,NA,0,4
"45","Taylor Motter_SEA",NA,NA,NA,NA,NA,NA,NA,4,NA,17,21,NA,3,20,2,17,0
"46","Leonys Martin_SEA",NA,NA,0,12,0,NA,0,3,8,0,0,NA,NA,5,12,10,NA
"47","Marcell Ozuna_MIA",NA,5,NA,10,NA,15,23,0,NA,38,3,27,3,14,13,0,0
"48","Orlando Arcia_MIL",NA,7,0,8,NA,3,0,NA,NA,0,0,11,12,2,5,0,14
"49","Jurickson Profar_TEX",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,9,5,NA,7,4,2
"50","JT Realmuto_MIA",NA,10,NA,23,NA,NA,20,3,NA,5,2,NA,9,NA,6,0,3
"51","Matt Szczur_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Josh Phegley_OAK",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0,NA,NA,NA,NA
"53","Mark Canha_OAK",NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA,0,3,NA,NA,NA,NA
"54","Martin Prado_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"55","Jarrod Dyson_SEA",NA,NA,5,8,5,2,2,NA,9,7,9,NA,13,2,NA,13,0
"56","Ian Happ_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Nick Franklin_MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"58","Jesus Aguilar_MIL",NA,NA,5,NA,NA,10,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"59","Tommy La Stella_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Robinson Chirinos_TEX",NA,NA,0,NA,NA,NA,NA,25,NA,NA,NA,18,NA,NA,NA,NA,NA
"61","Mike Zunino_SEA",NA,NA,3,5,NA,3,5,NA,7,NA,3,NA,0,5,NA,0,NA
"62","Ben Gamel_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Andrew Susac_MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Kirk Nieuwenhuis_MIL",NA,NA,NA,0,NA,NA,4,NA,NA,NA,0,NA,NA,NA,2,NA,NA
"65","Brett Nicholas_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Jed Lowrie_OAK",NA,NA,24,0,NA,4,15,2,0,NA,13,8,3,5,NA,2,2
