"Corey Seager_LAD","Kurt Suzuki_ATL","Joc Pederson_LAD","Cody Bellinger_LAD","Tommy Pham_STL","Travis Shaw_MIL","Kike Hernandez_LAD","Chris Taylor_LAD","Dexter Fowler_STL","Freddie Freeman_ATL","Yasiel Puig_LAD","Domingo Santana_MIL","Justin Turner_LAD","Austin Barnes_LAD","Matt Carpenter_STL","Stephen Piscotty_STL","Aledmys Diaz_STL","Brandon Phillips_ATL","Ryan Braun_MIL","Paul DeJong_STL","Adrian Gonzalez_LAD","Chase Utley_LAD","Matt Kemp_ATL","Yasmani Grandal_LAD","Eric Thames_MIL","Matt Adams_ATL","Keon Broxton_MIL","Manny Pina_MIL","Franklin Gutierrez_LAD","Peter O'Brien_LAD","Jonathan Villar_MIL","Tyler Flowers_ATL","Ender Inciarte_ATL","Yadier Molina_STL","Randal Grichuk_STL","Hernan Perez_MIL","Jedd Gyorko_STL","Jose Martinez_STL","Jesus Aguilar_MIL","Nick Markakis_ATL","Trayce Thompson_LAD","Danny Santana_ATL","Adonis Garcia_ATL","Stephen Vogt_MIL","Orlando Arcia_MIL","Andrew Toles_LAD","Johan Camargo_ATL","Dansby Swanson_ATL","Willie Calhoun_LAD","Rob Segedin_LAD","Alex Verdugo_LAD","Kolten Wong_STL","Jace Peterson_ATL","Michael Reed_MIL","Harrison Bader_STL","Andre Ethier_LAD","Eric Sogard_MIL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Lewis Brinson_MIL","Logan Forsythe_LAD","Micah Johnson_ATL","Greg Garcia_STL","Magneuris Sierra_STL","Jacob Nottingham_MIL","Rio Ruiz_ATL","Travis Demeritte_ATL","Carson Kelly_STL","Brett Phillips_MIL","Corey Ray_MIL","Eric Fryer_STL","Mike Freeman_LAD","Luke Voit_STL","Yadiel Rivera_MIL","Jett Bandy_MIL","Ryan Cordell_MIL","Sean Rodriguez_ATL","Kyle Farmer_LAD","Ronald Acuna_ATL","Brett Eibner_LAD","Alex Mejia_STL","Lane Adams_ATL"
15.8010810810811,0,15.6237373737374,22.0475938656795,0,0,0,8.63896103896104,0,0,63.6620628856891,0,2.17514124293785,4.58823529411765,0,0,0,0,0,0,2.06349206349206,2.77798334875116,0,-1.60552884615385,0,0,0,0,30.8611111111111,0,0,0,0,0,0,0,0,0,0,0,-3.38095238095238,0,0,0,0,-1.43014705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.69027484143763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5,0,0
0,0,0,0,0,-0.596378269617706,0,0,0,0,0,56.4434173669468,0,0,0,0,0,0,14.753036437247,0,0,0,0,0,-2.85384615384615,0,-2.50644841269841,4.37777777777778,0,0,4.177089421391,0,0,0,0,-1.72222222222222,0,0,11.1539408866995,0,0,0,0,-53.4,-1.01332839689004,0,0,0,0,0,0,0,0,0,0,0,7.89285714285714,-38.5,0,3.66666666666667,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,-3.90552584670232,0,0,0,0,0,0,0
1.34426229508197,0,4.27464008859358,8.30693815987934,0,0,0,17.4550724637681,0,0,2.17514124293785,0,41.3592132505176,26.3290043290043,0,0,0,0,0,0,9.87619047619048,9.75402298850575,0,2.22874149659864,0,0,0,0,9.66666666666667,0,0,0,0,0,0,0,0,0,0,0,11.6190476190476,0,0,0,0,11.8666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8634920634921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
-3.55844155844156,0,-19.625,8.10238095238095,0,0,0,-11.0434782608696,0,0,4.58823529411765,0,26.3290043290043,78.8928571428571,0,0,0,0,0,0,12.1,31.1666666666667,0,-10.5,0,0,0,0,-9.89090909090909,0,0,0,0,0,0,0,0,0,0,0,17.0666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5204678362573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.7,0,0
0,0,0,0,7.30308529945554,0,0,0,-5.92404371584699,0,0,0,0,0,43.2540858018386,-3.41799709724238,16.8884711779449,0,0,8.02491694352159,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98078386605784,3.19484760522496,0,4.32453051643192,1.01449275362319,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69195189639223,0,0,14.0666666666667,0,0,0,0,0,0,0,6.36507936507936,-15.3727272727273,0,0,0,0,0,0,-13.9065934065934,0,13.0378787878788,0,0,0,0,0,0,0,0,0
0,0,0,0,-0.649014778325123,0,0,0,7.71987315010571,0,0,0,0,0,-3.41799709724238,40.4944476914085,-4.75913621262458,0,0,-17.0502645502646,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68223866790009,3.65435606060606,0,3.00757575757576,-12.6732026143791,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.77777777777778,0,0,0,0,0,0,0,0,0,0,-9.97076023391813,0,0,0,0,0,0,0,-2.04545454545455,0,34.8,0,0,0,0,0,0,0,0,0
0,0,0,0,-10.7460317460317,0,0,0,-4.43450980392157,0,0,0,0,0,16.8884711779449,-4.75913621262458,52.9759424603175,0,0,-4.64327485380117,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59724238026125,11.9736842105263,0,12.2938775510204,13.3479532163743,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07478991596639,0,0,0,0,0,0,0,0,0,0,-4.81818181818182,-0.547619047619048,0,0,0,0,0,0,-7.88888888888889,0,0,0,0,0,0,0,0,0,0,0
0,5.5842803030303,0,0,0,0,0,0,0,-7.7938829787234,0,0,0,0,0,0,0,45.5509844255069,0,0,0,0,-3.46503496503496,0,0,22.7864693446089,0,0,0,0,0,8.30470588235294,3.64453477868112,0,0,0,0,0,0,4.05088828666064,0,-13.6730769230769,-2.31034482758621,0,0,0,-7.66477272727273,5.68135198135198,0,0,0,0,1.004329004329,0,0,0,0,0,0,0,0,0,0,0,0,11.467032967033,0,0,0,0,0,0,0,0,0,0,-11.6666666666667,0,0,0,0,0
0,0,0,0,0,-0.895731707317073,0,0,0,0,0,14.753036437247,0,0,0,0,0,0,75.168362627197,0,0,0,0,0,19.2273954116059,0,-10.951724137931,13.1666666666667,0,0,-8.08036984352774,0,0,0,0,-0.231666666666667,0,0,44.6222222222222,0,0,0,0,8,5.21405919661734,0,0,0,0,0,0,0,0,0,0,0,-20.65,-12.0833333333333,0,-25.3333333333333,0,0,0,0,0,0,0,0,-28.8,0,0,0,0,0,29.952380952381,0,0,0,0,0,0,0
0,0,0,0,8.19686411149826,0,0,0,20.6752136752137,0,0,0,0,0,8.02491694352159,-17.0502645502646,-4.64327485380117,0,0,60.4440333024977,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80769230769231,1.92631578947368,0,7.92745376955903,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41818181818182,0,0,22.2,0,0,0,0,0,0,0,4.18571428571429,-15.5,0,0,0,0,0,0,5.75,0,-1.78846153846154,0,0,0,0,0,0,0,19,0
3.24466571834993,0,14.7820512820513,-4.06833333333333,0,0,0,3.66959064327485,0,0,2.06349206349206,0,9.87619047619048,12.1,0,0,0,0,0,0,17.9737179487179,5.13756613756614,0,6.75238095238095,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.71301020408163,0,7.52840909090909,2.87789084181314,0,0,0,-5.56587301587302,0,0,2.77798334875116,0,9.75402298850575,31.1666666666667,0,0,0,0,0,0,5.13756613756614,50.6436865021771,0,-6.48163265306122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8333333333333,0,0,0,0,1.06060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
