"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"3B/OF","Cory Spangenberg",2600,"SD@ARI 09:40PM ET",4.727,"SD","ARI",5.31,6.5,1.82,NA,"x","7",5
"3B/SS","Stephen Drew",2600,"WAS@LAD 10:10PM ET",3.4,"WAS","LAD",NA,0,1.62,NA,"x","x",NA
"3B/OF","Rob Segedin",2600,"WAS@LAD 10:10PM ET",2.5,"LAD","WAS",NA,0,NA,NA,"x","x",NA
"2B/SS","Wilmer Difo",2600,"WAS@LAD 10:10PM ET",3.029,"WAS","LAD",NA,0,1.67,NA,"x","x",NA
"OF","Jake Smolinski",2500,"TOR@OAK 10:05PM ET",0,"OAK","TOR",NA,0,NA,NA,"x","x",NA
"OF","Darrell Ceciliani",2500,"TOR@OAK 10:05PM ET",8.333,"TOR","OAK",NA,0,1.52,NA,"x","x",NA
"OF","Ryan LaMarre",2500,"TOR@OAK 10:05PM ET",0.667,"OAK","TOR",NA,0,NA,NA,"x","x",NA
"C","Chris Gimenez",2500,"MIN@SEA 10:10PM ET",3.96,"MIN","SEA",NA,4.8,5.3,NA,"x","7",2
"C","Tuffy Gosewisch",2500,"MIN@SEA 10:10PM ET",0.909,"SEA","MIN",NA,0,NA,NA,"x","x",NA
"OF","Andre Ethier",2500,"WAS@LAD 10:10PM ET",0,"LAD","WAS",NA,0,NA,NA,"x","x",NA
"C","Bruce Maxwell",2400,"TOR@OAK 10:05PM ET",2.444,"OAK","TOR",NA,0,NA,NA,"x","x",NA
"OF","Anthony Alford",2400,"TOR@OAK 10:05PM ET",1.25,"TOR","OAK",NA,0,NA,NA,"x","x",NA
"SS","Tyler Smith",2400,"MIN@SEA 10:10PM ET",1.667,"SEA","MIN",NA,0,1.58,NA,"x","x",NA
"OF","Jabari Blash",2400,"SD@ARI 09:40PM ET",3.286,"SD","ARI",NA,0,NA,NA,"x","x",NA
"OF","Franchy Cordero",2400,"SD@ARI 09:40PM ET",6.5,"SD","ARI",NA,NA,NA,NA,"7","x",NA
"1B/OF","Scott Van Slyke",2400,"WAS@LAD 10:10PM ET",2.276,"LAD","WAS",NA,0,NA,NA,"x","x",NA
"OF","Chris Heisey",2400,"WAS@LAD 10:10PM ET",1.69,"WAS","LAD",NA,0,NA,NA,"x","x",NA
"3B","Trevor Plouffe",2300,"TOR@OAK 10:05PM ET",4.836,"OAK","TOR",5.05,0,6.82,NA,"x","x",NA
"3B/OF","Chris Coghlan",2300,"TOR@OAK 10:05PM ET",2.8,"TOR","OAK",NA,0,5.7,NA,"x","x",NA
"OF","Dwight Smith",2300,"TOR@OAK 10:05PM ET",2.333,"TOR","OAK",NA,0,NA,NA,"x","x",NA
"1B","Daniel Vogelbach",2300,"MIN@SEA 10:10PM ET",2.429,"SEA","MIN",NA,0,NA,NA,"x","x",NA
"SS","Erick Aybar",2300,"SD@ARI 09:40PM ET",4.627,"SD","ARI",NA,0,7.17,NA,"x","x",NA
"C","Hector Sanchez",2300,"SD@ARI 09:40PM ET",1.389,"SD","ARI",NA,0,NA,NA,"x","x",NA
"C","Luke Maile",2200,"TOR@OAK 10:05PM ET",3.13,"TOR","OAK",NA,4,1.42,NA,"x","9",0
"2B/SS","Ehire Adrianza",2200,"MIN@SEA 10:10PM ET",4.143,"MIN","SEA",NA,5,1.62,NA,"x","8",0
"OF","Rafael Bautista",2200,"WAS@LAD 10:10PM ET",1,"WAS","LAD",NA,0,NA,NA,"x","x",NA
"SS","Adam Rosales",2100,"TOR@OAK 10:05PM ET",4.277,"OAK","TOR",4.1,4.8,5,NA,"9","9",5
"C","Jose Lobaton",2100,"WAS@LAD 10:10PM ET",3.533,"WAS","LAD",NA,0,1.46,NA,"x","x",NA
"1B/2B","Mike Freeman",2100,"WAS@LAD 10:10PM ET",1.813,"LAD","WAS",NA,0,NA,NA,"x","x",NA
"2B/3B","Darwin Barney",2000,"TOR@OAK 10:05PM ET",3.178,"TOR","OAK",4.59,0,1.35,NA,"x","x",NA
"OF","Jaff Decker",2000,"TOR@OAK 10:05PM ET",4.118,"OAK","TOR",NA,0,NA,NA,"x","x",NA
"C","Mike Ohlman",2000,"TOR@OAK 10:05PM ET",1.6,"TOR","OAK",NA,0,NA,NA,"x","x",NA
"OF","Matt Olson",2000,"TOR@OAK 10:05PM ET",3,"OAK","TOR",NA,0,1.51,NA,"x","x",NA
"C","Jeff Mathis",2000,"SD@ARI 09:40PM ET",3.4,"ARI","SD",NA,0,5.36,NA,"x","x",NA
"C","Luis Torrens",2000,"SD@ARI 09:40PM ET",1.45,"SD","ARI",NA,0,1.45,NA,"x","x",NA
"2B/SS","Grant Green",2000,"WAS@LAD 10:10PM ET",0,"WAS","LAD",NA,0,NA,NA,"x","x",NA
"OF","Brett Eibner",2000,"WAS@LAD 10:10PM ET",3.294,"LAD","WAS",NA,0,1.55,NA,"x","x",NA
