"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"36","Clayton Kershaw","Wade Miley","Salvador Perez","Eric Hosmer","Kolten Wong","Mike Moustakas","Trea Turner","Hunter Renfroe","Yasiel Puig","Kevin Pillar"
"37","Clayton Kershaw","Scott Feldman","Salvador Perez","Eric Hosmer","Yangervis Solarte","Mike Moustakas","Aledmys Diaz","Bryce Harper","Mitch Haniger","Jaff Decker"
"38","Danny Duffy","Scott Feldman","Salvador Perez","Wil Myers","Cory Spangenberg","Mike Moustakas","Trea Turner","Bryce Harper","Adam Eaton","Jaff Decker"
"39","Clayton Kershaw","Erasmo Ramirez","Austin Hedges","Eric Hosmer","Cory Spangenberg","Mike Moustakas","Tim Anderson","Bryce Harper","Max Kepler","Lorenzo Cain"
"40","Clayton Kershaw","Robert Gsellman","Chris Iannetta","Eric Thames","Jedd Gyorko","Mike Moustakas","Trea Turner","Manuel Margot","Hunter Renfroe","Jabari Blash"
"41","Clayton Kershaw","JC Ramirez","Austin Hedges","Wil Myers","Yangervis Solarte","Joey Gallo","Trea Turner","AJ Pollock","Max Kepler","Jabari Blash"
"42","Clayton Kershaw","Erasmo Ramirez","Stephen Vogt","Wil Myers","Jed Lowrie","Mike Moustakas","Trea Turner","Bryce Harper","Max Kepler","Matt Joyce"
"43","Clayton Kershaw","Michael Wacha","Austin Hedges","Eric Hosmer","Jedd Gyorko","Mike Moustakas","Trea Turner","Brandon Moss","Mitch Haniger","Yasiel Puig"
"44","Clayton Kershaw","Erasmo Ramirez","Salvador Perez","Paul Goldschmidt","Cory Spangenberg","Mike Moustakas","Trea Turner","Yasmany Tomas","Alex Gordon","Yasiel Puig"
"45","Clayton Kershaw","Scott Feldman","Salvador Perez","Wil Myers","Cory Spangenberg","Mike Moustakas","Chris Owings","Yasmany Tomas","Manuel Margot","Mitch Haniger"
"46","Clayton Kershaw","JC Ramirez","Austin Hedges","Josh Bell","Chris Taylor","Mike Moustakas","Trea Turner","Bryce Harper","Adam Eaton","Matt Adams"
"47","Clayton Kershaw","Wade Miley","Austin Hedges","Eric Hosmer","Cory Spangenberg","Joey Gallo","Trea Turner","Hunter Renfroe","Mitch Haniger","Jabari Blash"
"48","Clayton Kershaw","Wade Miley","Jason Castro","Paul Goldschmidt","Cory Spangenberg","Mike Moustakas","Aledmys Diaz","Manuel Margot","Hunter Renfroe","Jabari Blash"
"49","Clayton Kershaw","JC Ramirez","Chris Iannetta","Wil Myers","Cory Spangenberg","Mike Moustakas","Aledmys Diaz","Bryce Harper","Hunter Renfroe","Mitch Haniger"
"50","Clayton Kershaw","Erasmo Ramirez","Chris Iannetta","Paul Goldschmidt","Cory Spangenberg","Mike Moustakas","Jorge Polanco","Bryce Harper","AJ Pollock","Jabari Blash"
