Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,770922852,brentengel,0,204.35,OF Melky Cabrera OF Jason Heyward 3B Todd Frazier 1B Anthony Rizzo OF Stephen Piscotty C Willson Contreras P Jimmy Nelson P Jacob deGrom SS Trea Turner 2B Ian Happ,,Joc Pederson,70.74%,7
2,770932731,jriske,0,197.9,1B Logan Morrison 3B Justin Turner OF Steven Souza Jr. P Jimmy Nelson OF Joc Pederson P Jacob Faria 2B José Ramírez C Kevan Smith SS Corey Seager OF Cody Bellinger,,Corey Seager,67.21%,4
3,770873361,19ash89,0,179.55,P J.A. Happ C Manny Piña 1B Logan Morrison 2B Daniel Murphy SS Eric Sogard OF Eric Thames OF Hernán Pérez P Jimmy Nelson 3B José Ramírez OF Mallex Smith,,Jimmy Nelson,65.85%,39.35
4,770958520,jq21h49,0,177.35,1B Edwin Encarnación OF Melky Cabrera OF Seth Smith OF Lonnie Chisenhall 2B Jason Kipnis P Jimmy Nelson P Jacob deGrom SS Francisco Lindor 3B José Ramírez C Kevan Smith,,Jason Kipnis,65.31%,5
5,770881376,bigben013,0,171.55,P J.A. Happ OF Mark Trumbo OF Dexter Fowler 3B Justin Turner 1B Eric Thames C Tucker Barnhart P Jimmy Nelson 2B José Ramírez SS Corey Seager OF Cody Bellinger,,Cody Bellinger,51.98%,7
6,770952071,tfotsch (5/8),0,171.35,C Russell Martin OF Justin Upton 1B Logan Morrison OF Steven Souza Jr. SS Tim Beckham 2B Logan Forsythe OF J.D. Martinez 3B Nicholas Castellanos P Jimmy Nelson P Jacob deGrom,,Jacob deGrom,42.09%,31
7,770836211,Larrioto (1/10),0,168.3,3B Justin Turner 1B Anthony Rizzo 2B Logan Forsythe OF Billy Hamilton OF Gregory Polanco C Willson Contreras P Robbie Ray P Luis Perdomo OF Mallex Smith SS Trea Turner,,Chris Herrmann,39.15%,0
8,770961936,lapetti (1/2),0,167.6,3B Justin Turner P Kenta Maeda 1B Anthony Rizzo 2B Dee Gordon C Alex Avila OF Eric Thames P Jimmy Nelson OF Joc Pederson SS Corey Seager OF Michael Conforto,,Gregory Polanco,30.67%,2
8,770970785,lapetti (2/2),0,167.6,3B Justin Turner P Kenta Maeda 1B Anthony Rizzo 2B Dee Gordon C Alex Avila OF Eric Thames P Jimmy Nelson OF Joc Pederson SS Corey Seager OF Michael Conforto,,Yasiel Puig,27.79%,0
10,770741945,OB-Jr (1/2),0,166.9,1B Edwin Encarnación SS J.J. Hardy OF Dexter Fowler OF Eric Thames 3B Matt Davidson C Elias Díaz P Jimmy Nelson P Jacob Faria 2B José Ramírez OF Cody Bellinger,,Matt Carpenter,26.37%,8
10,770781409,one_shoe_lou,0,166.9,1B Edwin Encarnación C Yadier Molina OF Lonnie Chisenhall 2B Jason Kipnis P Jimmy Nelson OF Joc Pederson SS Francisco Lindor P Jacob Faria 3B José Ramírez OF Cody Bellinger,,Yadier Molina,24.20%,14
12,770744287,mrfair864 (1/5),0,163.9,OF Dexter Fowler 3B Justin Turner C Alex Avila 1B Matt Carpenter P Jimmy Nelson P Trevor Bauer 2B José Ramírez SS Corey Seager OF Yasiel Puig OF Cody Bellinger,,Robbie Ray,23.87%,10.8
12,770744360,mrfair864 (2/5),0,163.9,OF Dexter Fowler 3B Justin Turner C Alex Avila 1B Matt Carpenter P Jimmy Nelson P Trevor Bauer 2B José Ramírez SS Corey Seager OF Yasiel Puig OF Cody Bellinger,,Trevor Bauer,22.24%,27.55
12,770753852,mrfair864 (3/5),0,163.9,OF Dexter Fowler 3B Justin Turner C Alex Avila 1B Matt Carpenter P Jimmy Nelson P Trevor Bauer 2B José Ramírez SS Corey Seager OF Yasiel Puig OF Cody Bellinger,,Eric Thames,20.83%,2
12,770753876,mrfair864 (4/5),0,163.9,OF Dexter Fowler 3B Justin Turner C Alex Avila 1B Matt Carpenter P Jimmy Nelson P Trevor Bauer 2B José Ramírez SS Corey Seager OF Yasiel Puig OF Cody Bellinger,,Justin Turner,20.50%,23
12,770753947,mrfair864 (5/5),0,163.9,OF Dexter Fowler 3B Justin Turner C Alex Avila 1B Matt Carpenter P Jimmy Nelson P Trevor Bauer 2B José Ramírez SS Corey Seager OF Yasiel Puig OF Cody Bellinger,,J.A. Happ,18.60%,26.2
17,770786488,bradsk,0,162.9,1B Edwin Encarnación C Welington Castillo 2B Jason Kipnis OF Eric Thames P Jimmy Nelson P Trevor Bauer 3B José Ramírez SS Corey Seager OF Yasiel Puig OF Cody Bellinger,,Giancarlo Stanton,18.16%,0
18,770746876,Big-Chief69,0,160.75,SS José Reyes P J.A. Happ OF Jay Bruce 3B Evan Longoria 1B Anthony Rizzo C Alex Avila 2B Scooter Gennett OF Hernán Pérez OF Bryce Harper P Jacob Faria,,Manny Machado,15.72%,7
19,770882093,MegaMike76,0,158.9,OF José Bautista C Welington Castillo 1B Anthony Rizzo 2B Jason Kipnis OF Gregory Polanco P Jimmy Nelson SS Francisco Lindor P Jacob Faria 3B José Ramírez OF Cody Bellinger,,Josh Donaldson,15.55%,3
20,770939296,AitkenR48,0,158.35,OF José Bautista C Russell Martin OF Mark Trumbo 2B Eric Sogard 1B Eric Thames OF Gregory Polanco P Jimmy Nelson P Jacob deGrom 3B Travis Shaw SS Trea Turner,,Tommy Pham,15.44%,0
21,770962521,bailmagnet,0,156.15,SS J.J. Hardy OF Steve Pearce 3B Todd Frazier 1B Matt Carpenter OF Stephen Piscotty C Willson Contreras P Jimmy Nelson P Robbie Ray OF Bradley Zimmer 2B Ian Happ,,Paul Goldschmidt,15.33%,19
22,770961347,jbmiraglia (2/2),0,155.9,3B Russell Martin OF Andrew McCutchen OF Corey Dickerson P Jimmy Nelson OF Joc Pederson C Austin Barnes P Jacob Faria 2B José Ramírez SS Corey Seager 1B Cody Bellinger,,José Bautista,11.20%,5
23,770759357,curry_burrito,0,155.35,1B Logan Morrison 3B Justin Turner 2B Dee Gordon C Chris Herrmann OF Gregory Polanco P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager OF Yasiel Puig,,Francisco Lindor,10.93%,0
24,770916948,edsall27,0,153.15,C Yadier Molina OF Seth Smith OF Mark Trumbo OF Justin Upton 3B Todd Frazier 1B Lucas Duda SS Eric Sogard 2B Jason Kipnis P Jimmy Nelson P Robbie Ray,,Mallex Smith,10.66%,8
25,770892063,tandzkillinit,0,152.4,1B Edwin Encarnación OF Dexter Fowler 2B Jason Kipnis OF Randal Grichuk C Yan Gomes OF Stephen Piscotty P Jameson Taillon SS Francisco Lindor P Jacob Faria 3B José Ramírez,,Todd Frazier,10.06%,10
