"Mookie Betts_BOS","Anthony Rizzo_CHC","Kris Bryant_CHC","Lorenzo Cain_KC","Xander Bogaerts_BOS","Yangervis Solarte_SD","Wil Myers_SD","Ian Happ_CHC","Jackie Bradley_BOS","Andrew Benintendi_BOS","Ben Zobrist_CHC","Mike Moustakas_KC","Willson Contreras_CHC","Hunter Renfroe_SD","Whit Merrifield_KC","Eric Hosmer_KC","Dustin Pedroia_BOS","Salvador Perez_KC","Jason Heyward_CHC","Addison Russell_CHC","Jose Pirela_SD","Hanley Ramirez_BOS","Mitch Moreland_BOS","Ryan Schimpf_SD","Javier Baez_CHC","Kyle Schwarber_CHC","Jorge Soler_KC","Jon Jay_CHC","Alex Dickerson_SD","Franchy Cordero_SD","Manuel Margot_SD","Albert Almora_CHC","Chris Young_BOS","Brock Holt_BOS","Jorge Bonifacio_KC","Cheslor Cuthbert_KC","Miguel Montero_CHC","Jeimer Candelario_CHC","Austin Hedges_SD","Mark Zagunis_CHC","Paulo Orlando_KC","Billy Burns_KC","Travis Jankowski_SD","Cory Spangenberg_SD","Pablo Sandoval_BOS","Matt Szczur_SD","Brandon Moss_KC","Alex Gordon_KC","Steve Selsky_BOS","Marco Hernandez_BOS","Chase d'Arnaud_SD","Tommy La Stella_CHC","Allen Cordoba_SD","Alcides Escobar_KC","Ryan O'Hearn_KC","Christian Bethancourt_SD","Jose Rondon_SD","Luis Urias_SD","Sandy Leon_BOS","Deven Marrero_BOS","Terrance Gore_KC","Sam Travis_BOS","Erick Aybar_SD","Christian Vazquez_BOS","Jabari Blash_SD","Carlos Asuaje_SD","Raul Mondesi_KC","Hector Sanchez_SD","Josh Rutledge_BOS","Eloy Jimenez_CHC","Drew Butera_KC","Ramon Torres_KC","Hunter Dozier_KC","Luis Torrens_SD"
64,0,0,0,61,0,0,0,49,56,0,0,0,0,0,0,48,0,0,0,0,52,55,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,15,0,0,0,0,0,0,0,0,33,23,0,5,0,31,0,0,0,0,23,0,0,0,0,0
0,64,59,0,0,0,0,26,0,0,43,0,45,0,0,0,0,0,49,50,0,0,0,0,46,51,0,23,0,0,0,28,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,59,60,0,0,0,0,22,0,0,42,0,41,0,0,0,0,0,47,48,0,0,0,0,43,48,0,23,0,0,0,24,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,63,0,0,0,0,0,0,0,56,0,0,48,63,0,57,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,42,18,0,0,0,0,11,0,0,0,0,0,39,57,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,2,0,0
61,0,0,0,62,0,0,0,49,54,0,0,0,0,0,0,46,0,0,0,0,52,53,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,12,0,0,0,0,0,0,0,0,32,23,0,5,0,30,0,0,0,0,23,0,0,0,0,0
0,0,0,0,0,65,63,0,0,0,0,0,0,62,0,0,0,0,0,0,10,0,0,42,0,0,0,0,0,16,40,0,0,0,0,0,0,0,52,0,0,0,13,33,0,14,0,0,0,0,9,0,29,0,0,0,0,0,0,0,0,0,47,0,7,0,0,2,0,0,0,0,0,12
0,0,0,0,0,63,64,0,0,0,0,0,0,61,0,0,0,0,0,0,9,0,0,42,0,0,0,0,0,15,41,0,0,0,0,0,0,0,51,0,0,0,13,32,0,13,0,0,0,0,9,0,28,0,0,0,0,0,0,0,0,0,46,0,7,0,0,2,0,0,0,0,0,12
0,26,22,0,0,0,0,26,0,0,13,0,17,0,0,0,0,0,17,16,0,0,0,0,18,20,0,7,0,0,0,10,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,49,0,0,0,51,43,0,0,0,0,0,0,36,0,0,0,0,41,44,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,11,0,0,0,0,0,0,0,0,25,20,0,5,0,26,0,0,0,0,21,0,0,0,0,0
56,0,0,0,54,0,0,0,43,58,0,0,0,0,0,0,47,0,0,0,0,45,54,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,15,0,0,0,0,0,0,0,0,30,17,0,0,0,28,0,0,0,0,18,0,0,0,0,0
0,43,42,0,0,0,0,13,0,0,43,0,30,0,0,0,0,0,36,33,0,0,0,0,28,37,0,14,0,0,0,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,56,0,0,0,0,0,0,0,58,0,0,45,58,0,51,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,41,13,0,0,0,0,9,0,0,0,0,0,40,53,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,2,0,0
0,45,41,0,0,0,0,17,0,0,30,0,45,0,0,0,0,0,34,34,0,0,0,0,35,35,0,14,0,0,0,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,62,61,0,0,0,0,0,0,63,0,0,0,0,0,0,9,0,0,41,0,0,0,0,0,15,40,0,0,0,0,0,0,0,51,0,0,0,13,31,0,12,0,0,0,0,9,0,29,0,0,0,0,0,0,0,0,0,45,0,6,0,0,2,0,0,0,0,0,11
0,0,0,48,0,0,0,0,0,0,0,45,0,0,50,50,0,43,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,41,16,0,0,0,0,0,0,0,0,0,0,27,44,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
0,0,0,63,0,0,0,0,0,0,0,58,0,0,50,65,0,58,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,44,20,0,0,0,0,11,0,0,0,0,0,40,59,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,16,2,0,0
48,0,0,0,46,0,0,0,36,47,0,0,0,0,0,0,50,0,0,0,0,38,45,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,12,0,0,0,0,0,0,0,0,27,14,0,0,0,23,0,0,0,0,13,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,51,0,0,43,58,0,58,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,39,17,0,0,0,0,11,0,0,0,0,0,35,52,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9,2,0,0
0,49,47,0,0,0,0,17,0,0,36,0,34,0,0,0,0,0,49,40,0,0,0,0,32,41,0,15,0,0,0,18,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,48,0,0,0,0,16,0,0,33,0,34,0,0,0,0,0,40,50,0,0,0,0,32,38,0,17,0,0,0,22,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10,9,0,0,0,0,0,0,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,3,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2
52,0,0,0,52,0,0,0,41,45,0,0,0,0,0,0,38,0,0,0,0,53,44,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,13,0,0,0,0,0,0,0,0,26,19,0,5,0,27,0,0,0,0,17,0,0,0,0,0
55,0,0,0,53,0,0,0,44,54,0,0,0,0,0,0,45,0,0,0,0,44,57,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,16,0,0,0,0,0,0,0,0,29,16,0,0,0,28,0,0,0,0,17,0,0,0,0,0
0,0,0,0,0,42,42,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,5,33,0,0,0,0,0,0,0,34,0,0,0,13,15,0,6,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,37,0,5,0,0,2,0,0,0,0,0,7
