"Nelson Cruz_SEA","Robinson Cano_SEA","Jean Segura_SEA","Rougned Odor_TEX","Giancarlo Stanton_MIA","Shin-Soo Choo_TEX","Kyle Seager_SEA","Adrian Beltre_TEX","Khris Davis_OAK","Jonathan Lucroy_TEX","Christian Yelich_MIA","Mike Napoli_TEX","Rajai Davis_OAK","Carlos Gomez_TEX","Dee Gordon_MIA","Elvis Andrus_TEX","Trevor Plouffe_OAK","Nomar Mazara_TEX","Mitch Haniger_SEA","Ryon Healy_OAK","Joey Gallo_TEX","Marcus Semien_OAK","Delino DeShields_TEX","Danny Valencia_SEA","Stephen Vogt_OAK","Yonder Alonso_OAK","Taylor Motter_SEA","Leonys Martin_SEA","Marcell Ozuna_MIA","Jurickson Profar_TEX","JT Realmuto_MIA","Josh Phegley_OAK","Mark Canha_OAK","Martin Prado_MIA","Jarrod Dyson_SEA","Robinson Chirinos_TEX","Mike Zunino_SEA","Ben Gamel_SEA","Brett Nicholas_TEX","Jed Lowrie_OAK","Justin Bour_MIA","Ryan Rua_TEX","Jake Smolinski_OAK","Derek Dietrich_MIA","Guillermo Heredia_SEA","Shawn O'Malley_SEA","Hanser Alberto_TEX","Matt Joyce_OAK","Carlos Ruiz_SEA","Destin Hood_MIA","Adam Rosales_OAK","Tyler Moore_MIA","Ichiro Suzuki_MIA","Adeiny Hechavarria_MIA","AJ Ellis_MIA","Chad Pinder_OAK","Drew Robinson_TEX","Jaff Decker_OAK","Mike Freeman_SEA","JT Riddle_MIA","Miguel Rojas_MIA"
30.8791208791209,2.9702257090709,-46.8997891228848,0,0,0,6.71626275537852,0,0,0,0,0,0,0,0,0,0,0,-3.86313735872926,0,0,0,0,-1.38075924202653,0,0,-11.7887580433319,18.8562619882733,0,0,0,0,0,0,11.4133624236876,0,-12.0244333436585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9702257090709,64.2197802197802,30.4212803636627,0,0,0,-7.13366681213158,0,0,0,0,0,0,0,0,0,0,0,0.778471922123809,0,0,0,0,-6.19770784521098,0,0,23.923059475403,15.222484618377,0,0,0,0,0,0,14.9580944140108,0,-4.23265370623587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.8997891228848,30.4212803636627,57.2380952380952,0,0,0,-3.71078447391943,0,0,0,0,0,0,0,0,0,0,0,26.1760621765155,0,0,0,0,-9.88645917434476,0,0,0,-2.14210677541936,0,0,0,0,0,0,-0.66352492608531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32.4102564102564,0,12.479236548335,0,0,0,6.86786584533235,0,8.04662754786694,0,21.7903141172875,0,3.36793378831923,0,36.5910232906182,0,0,-3.42137555151125,0,0,0,0,0,0,0,0,-0.743211406926899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,93.4772727272727,0,0,0,0,0,-12.1792226063908,0,0,0,-12.2492152024582,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.83327716631368,0,-22.093610790068,0,0,0,0,0,0,0,0,0,7.47886326443473,0,0,-7.56988899399612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.3468034298121
0,0,0,12.479236548335,0,70.2909090909091,0,0,0,19.0306158738562,0,-5.81516634508478,0,15.3997359666402,0,-37.0178845468822,0,54.1644028221833,0,0,-25.1483373942046,0,0,0,0,0,0,0,0,14.1724172988416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.71626275537852,-7.13366681213158,-3.71078447391943,0,0,0,10.5549450549451,0,0,0,0,0,0,0,0,0,0,0,4.99326402582047,0,0,0,0,3.45339475854557,0,0,-4.503310303458,-0.666751218934409,0,0,0,0,0,0,0.702407992334602,0,5.05590542682676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,49.2424242424242,0,0,0,-11.7053863667005,0,0,0,22.9637716560081,0,0,-22.5946658535727,0,-10.5625762857635,0,0,12.899462112957,2.44310208603404,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.3761721883498,0,0,0,0,0,0,0,27.1179263059582,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6.86786584533235,0,19.0306158738562,0,0,0,56.4555555555556,0,2.86959113421619,0,-25.3654632055124,0,38.0790518220441,0,-17.7798477634414,0,0,-0.941843139350989,0,0,0,0,0,0,0,0,5.88343023070186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-12.1792226063908,0,0,0,0,0,60.3589743589744,0,0,0,-9.84454310132217,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5660621490139,0,-21.3416070675081,0,0,0,0,0,0,0,0,0,31.9898197565253,0,0,30.7595875349373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73703211466349
0,0,0,8.04662754786694,0,-5.81516634508478,0,0,0,2.86959113421619,0,43.4358974358974,0,-0.190170273273949,0,-6.15975618359336,0,-6.65893798112747,0,0,17.9861516830109,0,0,0,0,0,0,0,0,3.07915724299631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-11.7053863667005,0,0,0,50.9444444444444,0,0,0,-6.94609125394962,0,0,31.9057297523253,0,20.1394518567788,0,0,-7.45584543545449,12.6803604254157,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2609381108689,0,0,0,0,0,0,0,-33.0014193790033,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,21.7903141172875,0,15.3997359666402,0,0,0,-25.3654632055124,0,-0.190170273273949,0,62.2564102564103,0,15.5498013040934,0,50.4754552146265,0,0,6.23489640257557,0,0,0,0,0,0,0,0,-13.5092163113385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-12.2492152024582,0,0,0,0,0,-9.84454310132217,0,0,0,27.4772727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2595500602436,0,-0.803467935109376,0,0,0,0,0,0,0,0,0,-8.7510055270459,0,0,13.5577721559215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7466433331423
