"Paul Goldschmidt_ARI","Charlie Blackmon_COL","Jake Lamb_ARI","Nolan Arenado_COL","Cody Bellinger_LAD","David Peralta_ARI","AJ Pollock_ARI","George Springer_HOU","Carlos Correa_HOU","Corey Seager_LAD","Gregor Blanco_ARI","Jose Altuve_HOU","Ian Desmond_COL","DJ LeMahieu_COL","Brandon Drury_ARI","Michael Conforto_NYM","Mark Reynolds_COL","Chris Owings_ARI","JD Martinez_DET","Ben Gamel_SEA","Justin Turner_LAD","Yasiel Puig_LAD","Yonder Alonso_OAK","Ryon Healy_OAK","Jay Bruce_NYM","Chris Taylor_LAD","Yoenis Cespedes_NYM","David Dahl_COL","Nelson Cruz_SEA","Jean Segura_SEA","Mike Zunino_SEA","Joc Pederson_LAD","Trevor Story_COL","Robinson Cano_SEA","Jarrod Dyson_SEA","Alex Avila_DET","Chris Iannetta_ARI","Matt Joyce_OAK","Mitch Haniger_SEA","Nick Ahmed_ARI","Yasmany Tomas_ARI","Khris Davis_OAK","Miguel Cabrera_DET","Justin Upton_DET","Rey Fuentes_ARI","Carlos Beltran_HOU","Rajai Davis_OAK","Jed Lowrie_OAK","Gerardo Parra_COL","Chris Herrmann_ARI","Brian McCann_HOU","Ian Kinsler_DET","Adrian Gonzalez_LAD","Lucas Duda_NYM","Daniel Descalso_ARI","Marwin Gonzalez_HOU","Kyle Seager_SEA","Peter O'Brien_LAD","Carlos Gonzalez_COL","Jeremy Hazelbaker_ARI","Pat Valaika_COL","Victor Martinez_DET","Nicholas Castellanos_DET","David Wright_NYM","Curtis Granderson_NYM","Asdrubal Cabrera_NYM","Stephen Cardullo_COL","Raimel Tapia_COL","Marcus Semien_OAK","Derek Fisher_HOU","Danny Valencia_SEA","Neil Walker_NYM","Dustin Garneau_COL","Socrates Brito_ARI","Leonys Martin_SEA","Jose Reyes_NYM","Chase Utley_LAD","Kike Hernandez_LAD","Alexi Amarista_COL","Christian Walker_ARI","Josh Reddick_HOU","Stephen Vogt_OAK","Chad Pinder_OAK","Franklin Gutierrez_LAD","Tom Murphy_COL","Logan Forsythe_LAD","Tony Wolters_COL","Jordan Patterson_COL","Mark Canha_OAK","Travis d'Arnaud_NYM","Wilmer Flores_NYM","Trayce Thompson_LAD","Austin Barnes_LAD","Joey Wendle_OAK","Jose Iglesias_DET","DJ Peterson_SEA","Mikie Mahtook_DET","Yasmani Grandal_LAD","Andrew Toles_LAD","TJ Rivera_NYM","Willie Calhoun_LAD","Jake Marisnick_HOU","Yuli Gurriel_HOU","Andrew Romine_DET","Tyler Smith_SEA","Rob Segedin_LAD","Amed Rosario_NYM","Alex Verdugo_LAD","Jake Smolinski_OAK","Ryan LaMarre_OAK","Evan Gattis_HOU","Shawn O'Malley_SEA","Dixon Machado_DET","John Hicks_DET","JaCoby Jones_DET","Andre Ethier_LAD","Brandon Nimmo_NYM","Ryan Hanigan_COL","Cristhian Adames_COL","Norichika Aoki_HOU","JD Davis_HOU","Bruce Maxwell_OAK","Matt Chapman_OAK","Carlos Ruiz_SEA","Alex Presley_DET","Tyler Collins_DET","Boog Powell_SEA","Scott Van Slyke_LAD","Josh Phegley_OAK","Jaycob Brugman_OAK","Alex Bregman_HOU","Tuffy Gosewisch_SEA","Taylor Motter_SEA","Guillermo Heredia_SEA","Juan Lagares_NYM","Gavin Cecchini_NYM","Jack Reinheimer_ARI","Dawel Lugo_ARI","Domingo Leyba_ARI","Jim Adduci_DET","James McCann_DET","Matt Reynolds_NYM","Kevin Plawecki_NYM","Jeff Mathis_ARI","Adam Rosales_OAK","Colin Moran_HOU","Daniel Vogelbach_SEA","Kyle Lewis_SEA","Mike Freeman_LAD","Rene Rivera_NYM","Jaff Decker_OAK","Kyle Tucker_HOU","Brett Eibner_LAD","Juan Centeno_HOU","Renato Nunez_OAK","Teoscar Hernandez_HOU","Matt Olson_OAK","Tony Kemp_HOU","Franklin Barreto_OAK"
65,0,61,0,0,48,31,0,0,0,19,0,0,0,53,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,32,39,0,0,0,0,0,0,0,0,21,0,0,0,0,26,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,62,0,60,0,0,0,0,0,0,0,0,36,59,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,54,0,11,0,0,0,0,0,5,5,0,0,0,0,15,0,0,0,0,0,12,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,63,0,0,49,29,0,0,0,19,0,0,0,51,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,30,36,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,0,63,0,0,0,0,0,0,0,0,37,60,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,54,0,10,0,0,0,0,0,5,6,0,0,0,0,15,0,0,0,0,0,13,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,46,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,25,38,0,0,0,37,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,5,0,17,0,0,0,0,0,0,10,0,0,0,0,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
48,0,49,0,0,50,23,0,0,0,15,0,0,0,41,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,16,27,0,0,0,0,0,0,0,0,18,0,0,0,0,21,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,29,0,0,23,32,0,0,0,0,0,0,0,26,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,13,26,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,60,53,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,35,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,53,60,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,40,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,44,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,39,54,0,0,0,37,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,9,0,28,0,0,0,0,0,2,14,0,0,0,0,49,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
