"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Corey Kluber","P","CLE","@ CWS",2.98,"Gonzalez, R 4.99","R",2.74,0,0,6.8,12.3,0.95,NA,14000,58.3,28.5,31.4,31.4,"%",53,2.2,24.25,1.7
"Jacob deGrom","P","NYM","@ SEA",4.35,"Gallardo, R 5.58","R",3.3,0,0,5.8,10.2,1.13,NA,12900,46.7,20.3,17.5,17.5,"%",28,1.4,25.3,2
"Rich Hill","P","LAD","vs SF",3.01,"Blach, L 4.50","L",3.48,0,0,5.2,10.7,1.22,NA,12400,48.5,18,25.29,25.29,"%",36,2,18.95,1.5
"Zack Greinke","P","ARI","@ STL",3.75,"Leake, R 3.20","R",2.9,0,0,5.9,9.8,1.02,NA,12200,42.2,20.9,18.76,18.76,"%",44,1.5,32.75,2.7
"Ivan Nova","P","PIT","@ SD",4.05,"Lamet, R 5.92","R",3.62,0,0,6.6,5.3,1.15,NA,8600,32.2,14.9,12.84,12.84,"%",35,1.5,10.45,1.2
"Jerad Eickhoff","P","PHI","vs ATL",4.44,"Newcomb, L 4.81","R",4.71,0,0,5.5,8.3,1.44,NA,8100,29.8,12.5,12.18,12.18,"%",30,1.5,11.05,1.4
"Sean Newcomb","P","ATL","@ PHI",4.56,"Eickhoff, R 4.71","L",4.81,0,0,5.4,9.2,1.47,NA,8000,34.5,13,11.13,11.13,"%",10,1.4,13.65,1.7
"Dinelson Lamet","P","SD","vs PIT",3.95,"Nova, R 3.62","R",5.92,0,0,5.2,11.8,1.3,NA,7900,39.6,15.9,14.69,14.69,"%",22,1.9,24.5,3.1
"Francisco Liriano","P","TOR","vs LAA",4.52,"Petit, R 2.70","L",5.99,0,0,4.5,8.2,1.66,NA,7700,35,9.2,10.29,10.29,"%",0,1.3,11.9,1.5
"Eduardo Rodriguez","P","BOS","vs KC",3.78,"Cahill, R 3.69","L",3.89,0,0,5.5,10,1.21,NA,7700,31.2,16.9,16.66,16.66,"%",57,2.2,5,0.6
"Collin McHugh","P","HOU","@ DET",5.25,"Boyd, L 5.48","R",7.71,0,0,4.7,7.7,1.29,NA,7500,9.4,6.3,9.39,9.39,"%",0,1.3,22.5,3
"Tanner Roark","P","WSH","vs COL",3.85,"Marquez, R 4.20","R",4.83,0,0,5.7,7.6,1.37,NA,7500,35.9,13.1,13.43,13.43,"%",14,1.8,14.45,1.9
"Kevin Gausman","P","BAL","@ TEX",5.37,"Bibens-Dirkx, R 4.53","R",5.79,0,0,5.1,8.3,1.72,NA,7400,35.3,10.3,9.37,9.37,"%",0,1.3,33.5,4.5
"Kyle Hendricks","P","CHC","@ MIL",4.32,"Guerra, R 5.22","R",3.95,0,0,5.5,7.7,1.23,NA,7300,24.2,14.1,11.57,11.57,"%",55,1.6,11.65,1.6
