"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Clayton Kershaw","P","LAD","@ CLE",3.24,"Bauer, R 6.10","L",2.2,0,0,6.9,10.2,0.9,NA,12900,46.4,26.6,25.87,25.87,"%",61,2,18.95,1.5
"Zack Greinke","P","ARI","@ DET",4.49,"Farmer, R 0.00","R",3.2,0,0,6,10.7,1.02,NA,12200,42.7,22.2,17.67,17.67,"%",44,1.4,16.55,1.4
"David Price","P","BOS","vs PHI",3.49,"Lively, R 2.57","L",5.29,0,0,5.7,7.9,1.18,NA,10100,43.7,13,19.34,19.34,"%",6,1.9,14.7,1.5
"Jon Lester","P","CHC","@ NYM",4,"Wheeler, R 3.45","L",4.13,0,0,5.9,8.8,1.31,NA,8800,36.1,16,13.74,13.74,"%",30,1.6,34.15,3.9
"CC Sabathia","P","NYY","@ LAA",4.06,"Ramirez, R 4.33","L",3.66,0,0,5.9,7.3,1.26,NA,8700,35.9,15.9,14.1,14.1,"%",31,1.6,14.6,1.7
"Jimmy Nelson","P","MIL","@ STL",4.7,"Gonzales, L","R",3.45,0,0,5.9,9,1.27,NA,8400,37.1,17.3,11.88,11.88,"%",27,1.4,4.95,0.6
"Jason Vargas","P","KC","@ SF",3.87,"Blach, L 3.64","L",2.18,0,0,6.2,7.1,1.12,NA,8300,35.1,19.6,14.51,14.51,"%",48,1.7,26.15,3.2
"Marco Estrada","P","TOR","vs TB",3.78,"Faria, R 1.42","R",4.04,0,0,6,10.4,1.22,NA,8000,39.5,18.8,17.4,17.4,"%",41,2.2,-7.7,NA
"Brad Peacock","P","HOU","vs TEX",3.93,"Martinez, R 4.87","R",3.15,0,0,2.1,12.9,1.19,NA,7900,27.2,8.5,10.4,10.4,"%",1,1.3,24.9,3.2
"Tyler Chatwood","P","COL","@ PIT",4.41,"Cole, R 4.83","R",4.37,0,0,6,7.4,1.29,NA,7700,35.9,15.1,11.44,11.44,"%",19,1.5,17.9,2.3
"Jacob Faria","P","TB","@ TOR",4.72,"Estrada, R 4.04","R",1.42,0,0,6.3,7.1,0.79,NA,7500,9.1,23.3,9.08,9.08,"%",0,1.2,28.05,3.7
"Zack Wheeler","P","NYM","vs CHC",4.5,"Lester, L 4.13","R",3.45,0,0,5.7,8.1,1.34,NA,7300,22.7,15,13.37,13.37,"%",69,1.8,-11.65,NA
"Joe Ross","P","WSH","vs ATL",4.38,"Dickey, R 4.48","R",6.16,0,0,3.8,9.7,1.42,NA,7200,41.2,9.5,12.08,12.08,"%",0,1.7,0.15,0
"Scott Feldman","P","CIN","@ SD",4.4,"Richard, L 4.54","R",4.09,0,0,5.6,6.9,1.27,NA,7000,36.2,13.6,11.54,11.54,"%",9,1.6,9.25,1.3
"Buck Farmer","P","DET","vs ARI",4.51,"Greinke, R 3.20","R",0,0,0,6.5,11.1,0.69,NA,6900,21.6,31.9,10.93,10.93,"%",0,1.6,-4.15,NA
"Gerrit Cole","P","PIT","vs COL",4.09,"Chatwood, R 4.37","R",4.83,0,0,5.5,7.7,1.34,NA,6800,35.1,12.3,13.48,13.48,"%",12,2,20.15,3
"Christian Bergman","P","SEA","@ MIN",5.5,"Gibson, R 6.52","R",4.03,0,0,5.4,6.2,1.34,NA,6700,40.8,12,7.82,7.82,"%",0,1.2,-12,NA
"Ty Blach","P","SF","vs KC",3.64,"Vargas, L 2.18","L",3.64,0,0,4,3.6,1.15,NA,6600,37.2,7.5,14,14,"%",0,2.1,0.75,0.1
"Lance Lynn","P","STL","vs MIL",4.3,"Suter, L 4.91","R",2.88,0,0,5.7,8.4,1.06,NA,6500,31.8,17.1,14,14,"%",48,2.2,27.05,4.2
"Jharel Cotton","P","OAK","@ MIA",4.87,"Urena, R 3.96","R",5.2,0,0,5.5,7.9,1.41,NA,6400,26.7,12.1,8.57,8.57,"%",25,1.3,5.85,0.9
"Trevor Bauer","P","CLE","vs LAD",4.26,"Kershaw, L 2.20","R",6.1,0,0,5.2,10.9,1.48,NA,6200,36,14.4,12.1,12.1,"%",17,2,13.35,2.2
"Kyle Gibson","P","MIN","vs SEA",5.5,"Bergman, R 4.03","R",6.52,0,0,4.8,6.6,1.8,NA,6100,23,6.7,7.09,7.09,"%",0,1.2,6.3,1
"Derek Holland","P","CWS","vs BAL",5.39,"Asher, R 4.35","L",4.52,0,0,5.6,7.6,1.45,NA,5600,34.2,12.6,8.8,8.8,"%",0,1.6,19.5,3.5
"Aaron Judge","OF","NYY","@ LAA",4.44,"Ramirez, R 4.33","R",0.348,0.49,0.386,0,0,0,3,5600,35.6,12.4,14.49,14.49,"%",57,2.6,2,0.4
"Charlie Blackmon","OF","COL","@ PIT",4.09,"Cole, R 4.83","L",0.335,0.417,0.289,0,0,0,1,5500,30.1,11.1,12.99,12.99,"%",62,2.4,0,NA
"Paul Goldschmidt","1B","ARI","@ DET",4.51,"Farmer, R 0.00","R",0.317,0.443,0.269,0,0,0,3,5400,30.3,11.3,13.78,13.78,"%",63,2.6,24,4.4
"R.A. Dickey","P","ATL","@ WSH",6.12,"Ross, R 6.16","R",4.48,0,0,6,5,1.48,NA,5400,24,10,6.49,6.49,"%",12,1.2,1.85,0.3
"Trea Turner","SS","WSH","vs ATL",6.12,"Dickey, R 4.48","R",0.262,0.307,0.149,0,0,0,1,5400,36.3,9.9,16.98,16.98,"%",51,3.1,10,1.9
"Jake Lamb","3B","ARI","@ DET",4.51,"Farmer, R 0.00","L",0.276,0.396,0.285,0,0,0,4,5300,29.4,10.2,12.82,12.82,"%",59,2.4,19,3.6
"J.C. Ramirez","P","LAA","vs NYY",4.44,"Sabathia, L 3.66","R",4.33,0,0,5,7,1.26,NA,5300,30.7,12,11.64,11.64,"%",21,2.2,20.2,3.8
"Bryce Harper","OF","WSH","vs ATL",6.12,"Dickey, R 4.48","L",0.31,0.436,0.291,0,0,0,3,5300,37.3,10.9,16.98,16.98,"%",53,3.2,9,1.7
"George Springer","OF","HOU","vs TEX",5.57,"Martinez, R 4.87","R",0.27,0.359,0.232,0,0,0,1,5200,31.7,9.2,14.49,14.49,"%",53,2.8,16,3.1
"Joey Votto","1B","CIN","@ SD",4.1,"Richard, L 4.54","L",0.304,0.432,0.3,0,0,0,3,5200,26.2,10.5,11.55,11.55,"%",65,2.2,5,1
"Gary Sanchez","C","NYY","@ LAA",4.44,"Ramirez, R 4.33","R",0.276,0.381,0.254,0,0,0,6,5100,29.6,9.6,9.94,9.94,"%",49,1.9,2,0.4
"Jose Urena","P","MIA","vs OAK",4.13,"Cotton, R 5.20","R",3.96,0,0,4,5.6,1.34,NA,5100,23.5,8.4,9.32,9.32,"%",16,1.8,20.5,4
"Justin Smoak","1B","TOR","vs TB",4.72,"Faria, R 1.42","B",0.296,0.405,0.31,0,0,0,5,5000,28.9,8.6,10.7,10.7,"%",47,2.1,6,1.2
"Mark Reynolds","1B","COL","@ PIT",4.09,"Cole, R 4.83","R",0.301,0.404,0.26,0,0,0,4,5000,28.7,9.2,11.37,11.37,"%",53,2.3,4,0.8
"Clayton Richard","P","SD","vs CIN",4.1,"Feldman, R 4.09","L",4.54,0,0,6.1,6.6,1.45,NA,5000,34.2,12.5,12.37,12.37,"%",13,2.5,24.9,5
"Ryan Zimmerman","1B","WSH","vs ATL",6.12,"Dickey, R 4.48","R",0.368,0.464,0.335,0,0,0,4,5000,33.1,10.8,15.6,15.6,"%",60,3.1,35,7
"Brett Gardner","OF","NYY","@ LAA",4.44,"Ramirez, R 4.33","L",0.255,0.355,0.232,0,0,0,1,4900,28.9,9.3,11.62,11.62,"%",54,2.4,5,1
"Carlos Correa","SS","HOU","vs TEX",5.57,"Martinez, R 4.87","R",0.293,0.378,0.213,0,0,0,4,4900,29.1,9.1,14.18,14.18,"%",59,2.9,14,2.9
"Nelson Cruz","OF","SEA","@ MIN",5.5,"Gibson, R 6.52","R",0.303,0.401,0.256,0,0,0,4,4800,31.1,9,15.47,15.47,"%",57,3.2,12,2.5
"Cody Bellinger","1B/OF","LAD","@ CLE",4.26,"Bauer, R 6.10","L",0.248,0.376,0.335,0,0,0,4,4800,30.4,9.8,11.2,11.2,"%",51,2.3,39,8.1
