Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,773037508,mikey31385,0,222.2,P Jake Arrieta P Mike Clevinger OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant 2B Ian Kinsler OF Ian Happ C Buster Posey SS Addison Russell OF Kiké Hernández,,Luis Severino,36.74%,7.5
2,773141139,imabamafan (1/4),0,218.2,P Jake Arrieta P Mike Clevinger OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Mitch Haniger C Buster Posey SS Addison Russell OF Nick Markakis,,Aaron Judge,36.52%,22
3,773039360,REDCOAT85 (94/150),0,209.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Ian Happ OF Seth Smith 2B Brandon Phillips OF Cameron Maybin SS Addison Russell C Willson Contreras,,Jake Arrieta,34.30%,20.15
4,773032199,PokerChump,0,207.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant 2B Ian Kinsler OF Ian Happ OF Kole Calhoun OF Cameron Maybin SS Addison Russell C Willson Contreras,,Jaime García,32.56%,-2.25
5,773139881,Deener23 (13/20),0,207.2,P Jake Arrieta P Hyun-Jin Ryu OF Aaron Judge 3B Kris Bryant OF J.D. Martinez 2B Ian Happ SS Addison Russell C Willson Contreras OF Nick Markakis 1B Miguel Cabrera,,Francisco Lindor,27.30%,6
6,773122143,cubfanhoss,0,203.3,P Jake Arrieta OF Aaron Judge 2B José Ramírez 1B Anthony Rizzo 3B Kris Bryant OF Ian Happ C Buster Posey OF Nick Markakis SS Javier Báez P Andrew Moore,,Hyun-Jin Ryu,25.15%,9.05
7,773042043,klink (4/7),0,202.85,P Jake Arrieta P Steven Matz OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Ian Happ C Buster Posey SS Addison Russell 2B Javier Báez OF Guillermo Heredia,,Matt Kemp,24.00%,3
8,773020204,ragingphilip (10/50),0,201.85,P Jake Arrieta P Steven Matz OF Aaron Judge 3B Kris Bryant 1B Matt Adams OF Matt Kemp 2B Brandon Phillips SS Addison Russell OF Nick Markakis C Kurt Suzuki,,Gary Sánchez,22.90%,3
9,773142555,darcmaniluk (104/150),0,200.65,P Luis Severino 1B Anthony Rizzo 3B Kris Bryant OF Ian Happ C Buster Posey SS Addison Russell OF Austin Slater 2B Joe Panik OF Hunter Pence P Andrew Moore,,Steven Matz,22.37%,18.7
10,772839963,holymacanoly (1/4),0,199.9,P Jake Arrieta P Jaime García 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Seth Smith OF Cameron Maybin SS Addison Russell C Willson Contreras OF Nick Markakis,,Kris Bryant,21.95%,27
