"George Springer_HOU","Jose Altuve_HOU","Carlos Correa_HOU","Marwin Gonzalez_HOU","Mike Trout_LAA","Carlos Beltran_HOU","Dexter Fowler_STL","Matt Carpenter_STL","Tommy Pham_STL","Odubel Herrera_PHI","Stephen Piscotty_STL","Jedd Gyorko_STL","Kole Calhoun_LAA","Albert Pujols_LAA","Evan Gattis_HOU","Yuli Gurriel_HOU","Randal Grichuk_STL","Josh Reddick_HOU","Andrelton Simmons_LAA","Freddy Galvis_PHI","Aaron Altherr_PHI","Cesar Hernandez_PHI","Aledmys Diaz_STL","Cameron Maybin_LAA","Yadier Molina_STL","Tommy Joseph_PHI","Brian McCann_HOU","Howie Kendrick_PHI","Yunel Escobar_LAA","CJ Cron_LAA","Alex Bregman_HOU","Jefry Marte_LAA","Jose Martinez_STL","Maikel Franco_PHI","Derek Fisher_HOU","Magneuris Sierra_STL","Paul DeJong_STL","Daniel Nava_PHI","Andrew Knapp_PHI","Rhys Hoskins_PHI","Jhonny Peralta_STL","Kolten Wong_STL","Greg Garcia_STL","Harrison Bader_STL","Luis Valbuena_LAA","Norichika Aoki_HOU","Ben Revere_LAA","Danny Espinosa_LAA","Jake Marisnick_HOU","Michael Saunders_PHI","Brock Stassi_PHI","Martin Maldonado_LAA","Nolan Fontana_LAA","Carson Kelly_STL","Eric Young_LAA","Andres Blanco_PHI","Eric Fryer_STL","Cameron Rupp_PHI","Shane Robinson_LAA","Juan Graterol_LAA","Carlos Perez_LAA","Chad Huffman_STL","Ty Kelly_PHI","Juan Centeno_HOU","Tony Kemp_HOU","Cliff Pennington_LAA"
51,51,45,31,0,42,0,0,0,0,0,0,0,0,30,0,0,40,0,0,0,0,0,0,0,0,28,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
51,55,49,33,0,45,0,0,0,0,0,0,0,0,32,0,0,44,0,0,0,0,0,0,0,0,32,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
45,49,51,29,0,42,0,0,0,0,0,0,0,0,30,0,0,41,0,0,0,0,0,0,0,0,32,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,33,29,35,0,26,0,0,0,0,0,0,0,0,22,0,0,25,0,0,0,0,0,0,0,0,21,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,44,0,0,0,0,0,0,0,40,37,0,0,0,0,43,0,0,0,0,35,0,0,0,0,29,19,0,22,0,0,0,0,0,0,0,0,0,0,0,0,14,0,16,34,0,0,0,36,3,0,0,0,0,0,0,5,3,0,0,0,0,9
42,45,42,26,0,46,0,0,0,0,0,0,0,0,23,0,0,37,0,0,0,0,0,0,0,0,27,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,47,41,19,0,33,35,0,0,0,0,32,0,0,0,0,0,42,0,42,0,0,0,0,0,0,0,10,0,0,3,10,0,0,0,14,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,41,49,23,0,30,40,0,0,0,0,34,0,0,0,0,0,43,0,44,0,0,0,0,0,0,0,9,0,0,7,10,0,0,0,11,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,19,23,25,0,9,22,0,0,0,0,12,0,0,0,0,0,23,0,23,0,0,0,0,0,0,0,5,0,0,6,10,0,0,0,4,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,48,35,46,0,0,0,41,0,13,0,0,0,0,0,44,0,0,0,9,19,0,0,0,0,0,0,0,0,0,0,39,8,0,0,0,0,7,0,29,0,0,0,0,0,0,0,0
0,0,0,0,0,0,33,30,9,0,35,25,0,0,0,0,23,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,10,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,35,40,22,0,25,43,0,0,0,0,30,0,0,0,0,0,38,0,40,0,0,0,0,0,0,0,9,0,0,6,8,0,0,0,6,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,40,0,0,0,0,0,0,0,55,46,0,0,0,0,54,0,0,0,0,37,0,0,0,0,39,20,0,24,0,0,0,0,0,0,0,0,0,0,0,0,22,0,24,40,0,0,0,42,3,0,8,0,0,0,0,10,3,0,0,0,0,16
0,0,0,0,37,0,0,0,0,0,0,0,46,50,0,0,0,0,49,0,0,0,0,34,0,0,0,0,38,17,0,20,0,0,0,0,0,0,0,0,0,0,0,0,17,0,22,37,0,0,0,42,3,0,7,0,0,0,0,5,3,0,0,0,0,15
30,32,30,22,0,23,0,0,0,0,0,0,0,0,34,0,0,25,0,0,0,0,0,0,0,0,12,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
