Week,Min,Max
1,,
2,143.32,236.52
3,138.54,264.96
4,144.82,239.12
5,157.22,256.5
6,136.2,243.9
7,153.84,247.74
8,136,229.92
9,156.52,239.76
10,,
11,129.28,211.2
12,,
13,,
14,131.8,224.14
15,136.4,236.16
