Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,757435583,cwsb1 (1/10),0,190.25,P Clayton Kershaw P Jordan Montgomery SS Xander Bogaerts 1B Edwin Encarnación OF Andrew Benintendi OF Carlos Beltrán OF Josh Reddick C Yasmani Grandal 3B Ryan Schimpf 2B Yangervis Solarte,,Paul Goldschmidt,68.93%,15
1,757435600,cwsb1 (2/10),0,190.25,P Clayton Kershaw P Jordan Montgomery SS Xander Bogaerts 1B Edwin Encarnación OF Andrew Benintendi OF Carlos Beltrán OF Josh Reddick C Yasmani Grandal 3B Ryan Schimpf 2B Yangervis Solarte,,Clayton Kershaw,56.83%,36.45
1,757435619,cwsb1 (3/10),0,190.25,P Clayton Kershaw P Jordan Montgomery SS Xander Bogaerts 1B Edwin Encarnación OF Andrew Benintendi OF Carlos Beltrán OF Josh Reddick C Yasmani Grandal 3B Ryan Schimpf 2B Yangervis Solarte,,Rey Fuentes,37.34%,10
1,757435625,cwsb1 (4/10),0,190.25,P Clayton Kershaw P Jordan Montgomery SS Xander Bogaerts 1B Edwin Encarnación OF Andrew Benintendi OF Carlos Beltrán OF Josh Reddick C Yasmani Grandal 3B Ryan Schimpf 2B Yangervis Solarte,,Andrew Benintendi,36.81%,17
1,757435633,cwsb1 (5/10),0,190.25,P Clayton Kershaw P Jordan Montgomery SS Xander Bogaerts 1B Edwin Encarnación OF Andrew Benintendi OF Carlos Beltrán OF Josh Reddick C Yasmani Grandal 3B Ryan Schimpf 2B Yangervis Solarte,,Tyler Saladino,36.03%,3
1,757435649,cwsb1 (6/10),0,190.25,P Clayton Kershaw P Jordan Montgomery SS Xander Bogaerts 1B Edwin Encarnación OF Andrew Benintendi OF Carlos Beltrán OF Josh Reddick C Yasmani Grandal 3B Ryan Schimpf 2B Yangervis Solarte,,Lance McCullers Jr.,33.25%,22.85
1,757444262,cwsb1 (7/10),0,190.25,P Clayton Kershaw P Jordan Montgomery SS Xander Bogaerts 1B Edwin Encarnación OF Andrew Benintendi OF Carlos Beltrán OF Josh Reddick C Yasmani Grandal 3B Ryan Schimpf 2B Yangervis Solarte,,Matt Harvey,31.24%,19.05
1,757444297,cwsb1 (8/10),0,190.25,P Clayton Kershaw P Jordan Montgomery SS Xander Bogaerts 1B Edwin Encarnación OF Andrew Benintendi OF Carlos Beltrán OF Josh Reddick C Yasmani Grandal 3B Ryan Schimpf 2B Yangervis Solarte,,Yasmani Grandal,29.68%,16
1,757444311,cwsb1 (9/10),0,190.25,P Clayton Kershaw P Jordan Montgomery SS Xander Bogaerts 1B Edwin Encarnación OF Andrew Benintendi OF Carlos Beltrán OF Josh Reddick C Yasmani Grandal 3B Ryan Schimpf 2B Yangervis Solarte,,Jake Lamb,29.33%,16
1,757444345,cwsb1 (10/10),0,190.25,P Clayton Kershaw P Jordan Montgomery SS Xander Bogaerts 1B Edwin Encarnación OF Andrew Benintendi OF Carlos Beltrán OF Josh Reddick C Yasmani Grandal 3B Ryan Schimpf 2B Yangervis Solarte,,Todd Frazier,27.68%,18
11,757320559,Orochi,0,187.65,P Lance McCullers Jr. P Jordan Montgomery 3B Jake Lamb 1B Paul Goldschmidt OF Charlie Blackmon SS Francisco Lindor OF Andrew Benintendi OF Josh Reddick 2B Yangervis Solarte C Juan Centeno,,David Peralta,26.02%,3
12,757608640,AJSMITH2266 (1/4),0,185.75,P Lance McCullers Jr. P German Márquez 3B Jake Lamb OF Charlie Blackmon 2B José Altuve OF Michael Conforto 1B Jay Bruce OF Matt Adams SS Tim Beckham C Juan Centeno,,Yangervis Solarte,23.59%,8
12,757608669,AJSMITH2266 (2/4),0,185.75,P Lance McCullers Jr. P German Márquez 3B Jake Lamb OF Charlie Blackmon 2B José Altuve OF Michael Conforto 1B Jay Bruce OF Matt Adams SS Tim Beckham C Juan Centeno,,German Márquez,22.63%,20.9
12,757608703,AJSMITH2266 (3/4),0,185.75,P Lance McCullers Jr. P German Márquez 3B Jake Lamb OF Charlie Blackmon 2B José Altuve OF Michael Conforto 1B Jay Bruce OF Matt Adams SS Tim Beckham C Juan Centeno,,Juan Centeno,21.32%,21
12,757608749,AJSMITH2266 (4/4),0,185.75,P Lance McCullers Jr. P German Márquez 3B Jake Lamb OF Charlie Blackmon 2B José Altuve OF Michael Conforto 1B Jay Bruce OF Matt Adams SS Tim Beckham C Juan Centeno,,Josh Reddick,20.80%,14
16,757434332,Scuba3321 (3/8),0,182.65,P Lance McCullers Jr. P Jordan Montgomery OF Charlie Blackmon OF Michael Conforto SS Corey Seager 3B Todd Frazier OF Andrew Benintendi 1B Matt Holliday C Yasmani Grandal 2B Yangervis Solarte,,Ryan Schimpf,16.36%,18
16,757434341,Scuba3321 (6/8),0,182.65,P Lance McCullers Jr. P Jordan Montgomery OF Charlie Blackmon OF Michael Conforto SS Corey Seager 3B Todd Frazier OF Andrew Benintendi 1B Matt Holliday C Yasmani Grandal 2B Yangervis Solarte,,Dee Gordon,15.06%,25
18,757575585,Frankles27,0,177.7,P Jordan Montgomery P German Márquez 3B Jake Lamb 1B Paul Goldschmidt OF Charlie Blackmon SS Tim Anderson 2B Jonathan Villar OF Carlos González OF Andrew Benintendi C Yasmani Grandal,,Chris Herrmann,15.06%,14
19,757291321,Hammanator,0,177.4,P Jon Lester P Matt Harvey OF Mike Trout OF Bryce Harper SS Tim Anderson 2B Dustin Pedroia 1B Albert Pujols 3B Anthony Rendon C J.T. Realmuto OF Allen Cordoba,,Mookie Betts,14.53%,9
20,757332683,carlson187 (1/3),0,176.45,P Matt Shoemaker P Jordan Montgomery OF Charlie Blackmon OF Michael Conforto 1B Jay Bruce 3B Joey Gallo 2B Ian Happ OF Andrew Benintendi C Yasmani Grandal SS Didi Gregorius,,Carlos González,14.19%,8
20,757341418,carlson187 (2/3),0,176.45,P Matt Shoemaker P Jordan Montgomery OF Charlie Blackmon OF Michael Conforto 1B Jay Bruce 3B Joey Gallo 2B Ian Happ OF Andrew Benintendi C Yasmani Grandal SS Didi Gregorius,,George Springer,13.66%,2
20,757411908,carlson187 (3/3),0,176.45,P Matt Shoemaker P Jordan Montgomery OF Charlie Blackmon OF Michael Conforto 1B Jay Bruce 3B Joey Gallo 2B Ian Happ OF Andrew Benintendi C Yasmani Grandal SS Didi Gregorius,,Andrew McCutchen,13.49%,0
23,757263686,Biesterfield (2/2),0,174.45,P Clayton Kershaw 1B Paul Goldschmidt OF Andrew Benintendi OF Ender Inciarte 2B Dee Gordon OF Rey Fuentes C Yasmani Grandal SS Tyler Saladino 3B Luis Valbuena P Joe Ross,,Alcides Escobar,13.40%,4
24,757585033,TSturm13,0,171.25,P Danny Duffy P German Márquez 3B Jake Lamb 1B Paul Goldschmidt OF Charlie Blackmon 2B Jonathan Villar OF Carlos González C Chris Herrmann SS Orlando Arcia OF Alexi Amarista,,Francisco Cervelli,13.23%,10
