"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"35","Rick Porcello","Mike Foltynewicz","Salvador Perez","Anthony Rizzo","Cesar Hernandez","Kris Bryant","Zack Cozart","Mike Trout","Kyle Schwarber","Jon Jay"
"36","Michael Fulmer","Gerrit Cole","Yadier Molina","Anthony Rizzo","Ian Happ","Kris Bryant","Aledmys Diaz","Kyle Schwarber","Kevin Pillar","Matt Joyce"
"37","Michael Pineda","Gerrit Cole","Tucker Barnhart","Anthony Rizzo","Jose Peraza","Eugenio Suarez","Elvis Andrus","Mike Trout","Kyle Schwarber","Scott Schebler"
"38","Michael Pineda","Gerrit Cole","Gary Sanchez","Chris Carter","Ian Happ","Kris Bryant","Addison Russell","Brett Gardner","Kyle Schwarber","Aaron Hicks"
"39","Rick Porcello","Gerrit Cole","Miguel Montero","Anthony Rizzo","Cesar Hernandez","Kris Bryant","Elvis Andrus","Shin-Soo Choo","Nomar Mazara","Delino DeShields"
"40","Rick Porcello","Gerrit Cole","Jonathan Lucroy","Mike Napoli","Rougned Odor","Kris Bryant","Addison Russell","Billy Hamilton","Nomar Mazara","Odubel Herrera"
"41","Michael Pineda","Gerrit Cole","Miguel Montero","Justin Smoak","Ian Happ","Kris Bryant","Addison Russell","Jose Bautista","Kevin Pillar","Ezequiel Carrera"
"42","Ervin Santana","German Marquez","Salvador Perez","Anthony Rizzo","Ian Happ","Kris Bryant","Xander Bogaerts","Bryce Harper","Adam Duvall","Kyle Schwarber"
"43","Michael Fulmer","Matt Shoemaker","Jose Lobaton","Anthony Rizzo","Ian Happ","Kris Bryant","Elvis Andrus","Andrew McCutchen","Kyle Schwarber","Scott Schebler"
"44","Michael Pineda","Rick Porcello","Tucker Barnhart","Joey Votto","Rougned Odor","Kyle Seager","Zack Cozart","Billy Hamilton","Adam Duvall","Kyle Schwarber"
"45","Mike Foltynewicz","Mike Leake","Jonathan Lucroy","Anthony Rizzo","Daniel Murphy","Kris Bryant","Addison Russell","Bryce Harper","Kyle Schwarber","Jon Jay"
"46","Michael Pineda","German Marquez","Miguel Montero","Joey Votto","Daniel Murphy","Eugenio Suarez","Trea Turner","Billy Hamilton","Adam Duvall","Scott Schebler"
"47","Michael Fulmer","Gerrit Cole","Miguel Montero","Joey Votto","Ian Happ","Eugenio Suarez","Elvis Andrus","Jose Bautista","Adam Duvall","Scott Schebler"
"48","Michael Pineda","Gerrit Cole","Jonathan Lucroy","Anthony Rizzo","Rougned Odor","Nicholas Castellanos","Elvis Andrus","Nomar Mazara","Odubel Herrera","Scott Schebler"
"49","Rick Porcello","Jhoulys Chacin","Gary Sanchez","Anthony Rizzo","Ben Zobrist","Kris Bryant","Freddy Galvis","Bryce Harper","Kyle Schwarber","Jon Jay"
"50","Michael Pineda","Gerrit Cole","Miguel Montero","Anthony Rizzo","Ian Kinsler","Nicholas Castellanos","Jose Iglesias","Mike Trout","JD Martinez","Kyle Schwarber"
