"Gary Sanchez_NYY","Chris Carter_NYY","Matt Holliday_NYY","Brett Gardner_NYY","Yoenis Cespedes_NYM","Jacoby Ellsbury_NYY","Aaron Judge_NYY","Evan Longoria_TB","Starlin Castro_NYY","Didi Gregorius_NYY","Greg Bird_NYY","Jose Reyes_NYM","Curtis Granderson_NYM","Chase Headley_NYY","Mallex Smith_TB","Brad Miller_TB","David Wright_NYM","Asdrubal Cabrera_NYM","Steven Souza_TB","Lucas Duda_NYM","Neil Walker_NYM","Jay Bruce_NYM","Michael Conforto_NYM","Aaron Hicks_NYY","Wilson Ramos_TB","Kevin Kiermaier_TB","Colby Rasmus_TB","Corey Dickerson_TB","Gleyber Torres_NYY","Logan Morrison_TB","Matt Duffy_TB","Wilmer Flores_NYM","Austin Romine_NYY","Ronald Torreyes_NYY","Jake Bauers_TB","Tim Beckham_TB","Travis d'Arnaud_NYM","Brandon Nimmo_NYM","Juan Lagares_NYM","Curt Casali_TB","Derek Norris_TB","Daniel Robertson_TB","Luke Maile_TB","Peter Bourjos_TB","Rene Rivera_NYM","Jesus Sucre_TB","Rickie Weeks_TB"
3,-1,-1.5,-1,0,14,-6,0,-5.5,0,-4.5,0,0,-8.5,0,0,0,0,0,0,0,0,0,-1.5,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.33333333333333,-4,-2.66666666666667,0,-8.66666666666667,3,0,7.33333333333333,0,-1,0,0,-2.66666666666667,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,21,14,0,11,-1.5,0,-22,0,13.5,0,0,29,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,9.33333333333333,0,7.33333333333333,-1,0,-14.6666666666667,0,9,0,0,19.3333333333333,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7,0,0,0,0,0,0,3.5,-0.5,0,0,0,0,-11.5,0,-14,11,-15,6,0,0,0,0,0,0,0,0,17,0,0,0,0,10,0,0,0,0,0,0,0,-3,0,0
0,0,0,0,0,81.3333333333333,-32,0,-47.6666666666667,0,-11,0,0,-17.6666666666667,0,0,0,0,0,0,0,0,0,-13,0,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,13,0,16.5,0,6.5,0,0,11.5,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,66.9166666666667,0,0,0,0,0,0,-12.4166666666667,26.0833333333333,0,0,-18.5,0,0,0,0,0,0,71.25,0,-32.3333333333333,0,70.9166666666667,0,0,0,0,0,25.1666666666667,0,0,0,0,-22.0833333333333,0,0,1.66666666666667,0,0,0
0,0,0,0,0,0,0,0,40.3333333333333,0,-5.5,0,0,-14.6666666666667,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,-22,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
