"","X","X2017.04.02","X2017.04.03","X2017.04.04","X2017.04.05","X2017.04.06"
"1","Manny Machado_BAL",NA,5,NA,3,NA
"2","Gary Sanchez_NYY",0,NA,0,3,NA
"3","Anthony Rizzo_CHC",3,NA,2,NA,NA
"4","Kris Bryant_CHC",0,NA,0,NA,NA
"5","Mike Trout_LAA",NA,NA,10,10,NA
"6","Paul Goldschmidt_ARI",8,NA,18,11,19
"7","Jose Altuve_HOU",NA,NA,3,0,3
"8","Ryan Braun_MIL",NA,2,19,9,NA
"9","Kyle Schwarber_CHC",10,NA,4,NA,NA
"10","Carlos Correa_HOU",NA,NA,2,6,2
"11","Chris Carter_NYY",NA,NA,NA,NA,NA
"12","Chris Davis_BAL",NA,5,NA,14,NA
"13","Josh Donaldson_TOR",NA,11,NA,3,4
"14","Joey Votto_CIN",NA,0,NA,14,NA
"15","Rougned Odor_TEX",NA,NA,3,3,NA
"16","Edwin Encarnacion_CLE",NA,NA,2,2,NA
"17","Michael Brantley_CLE",NA,NA,8,NA,NA
"18","Mark Trumbo_BAL",NA,21,NA,0,NA
"19","Ben Zobrist_CHC",4,NA,NA,NA,NA
"20","Jonathan Villar_MIL",NA,13,0,19,NA
"21","Giancarlo Stanton_MIA",NA,9,NA,0,NA
"22","Shin-Soo Choo_TEX",NA,NA,3,8,NA
"23","George Springer_HOU",NA,NA,5,27,16
"24","Carlos Santana_CLE",NA,NA,21,11,NA
"25","Todd Frazier_CWS",NA,NA,NA,NA,NA
"26","Brian Dozier_MIN",NA,7,NA,NA,NA
"27","Matt Holliday_NYY",0,NA,9,3,NA
"28","Adam Jones_BAL",NA,9,NA,16,NA
"29","Dexter Fowler_STL",7,NA,3,NA,NA
"30","Adrian Beltre_TEX",NA,NA,NA,NA,NA
"31","Khris Davis_OAK",NA,NA,2,5,NA
"32","Brett Gardner_NYY",3,NA,9,5,NA
"33","Matt Carpenter_STL",5,NA,0,NA,NA
"34","Jonathan Lucroy_TEX",NA,NA,NA,5,NA
"35","Jason Kipnis_CLE",NA,NA,NA,NA,NA
"36","Francisco Lindor_CLE",NA,NA,2,46,NA
"37","Jose Abreu_CWS",NA,NA,NA,NA,NA
"38","Jose Bautista_TOR",NA,2,NA,3,6
"39","Yoenis Cespedes_NYM",NA,4,NA,5,9
"40","Mike Napoli_TEX",NA,NA,9,0,NA
"41","Carlos Gomez_TEX",NA,NA,0,4,NA
"42","Jacoby Ellsbury_NYY",2,NA,10,20,NA
"43","Aaron Judge_NYY",7,NA,5,0,NA
"44","Aledmys Diaz_STL",18,NA,0,NA,NA
"45","Stephen Piscotty_STL",9,NA,4,NA,NA
"46","Nelson Cruz_SEA",NA,NA,0,7,2
"47","Elvis Andrus_TEX",NA,NA,2,17,NA
"48","Rajai Davis_OAK",NA,NA,17,0,NA
"49","Jose Ramirez_CLE",NA,NA,2,7,NA
"50","AJ Pollock_ARI",24,NA,10,17,11
"51","Miguel Sano_MIN",NA,20,NA,NA,NA
"52","Evan Longoria_TB",21,NA,7,2,7
"53","Albert Pujols_LAA",NA,NA,0,5,NA
"54","Robinson Cano_SEA",NA,NA,7,2,3
"55","Jean Segura_SEA",NA,NA,0,19,13
"56","Javier Baez_CHC",3,NA,2,NA,NA
"57","Alex Bregman_HOU",NA,NA,0,7,NA
"58","Jake Lamb_ARI",0,NA,20,7,20
"59","Melky Cabrera_CWS",NA,NA,NA,NA,NA
"60","Starlin Castro_NYY",11,NA,0,0,NA
"61","Didi Gregorius_NYY",NA,NA,NA,NA,NA
"62","Adam Duvall_CIN",NA,8,NA,7,NA
"63","Willson Contreras_CHC",21,NA,7,NA,NA
"64","Addison Russell_CHC",3,NA,7,NA,NA
"65","Keon Broxton_MIL",NA,7,2,NA,NA
"66","Christian Yelich_MIA",NA,0,NA,8,NA
"67","Trevor Plouffe_OAK",NA,NA,0,3,NA
"68","Nomar Mazara_TEX",NA,NA,10,24,NA
"69","Evan Gattis_HOU",NA,NA,2,14,NA
"70","Yasmany Tomas_ARI",0,NA,0,10,NA
"71","Greg Bird_NYY",NA,NA,NA,NA,NA
"72","Jonathan Schoop_BAL",NA,0,NA,5,NA
"73","Randal Grichuk_STL",23,NA,0,NA,NA
"74","Billy Hamilton_CIN",NA,10,NA,7,NA
"75","Eric Thames_MIL",NA,13,NA,17,NA
"76","Domingo Santana_MIL",NA,9,11,NA,NA
"77","Dee Gordon_MIA",NA,0,NA,12,NA
"78","Jose Reyes_NYM",NA,4,NA,0,5
"79","Ryon Healy_OAK",NA,NA,19,0,NA
"80","Joey Gallo_TEX",NA,NA,19,4,NA
"81","Marcus Semien_OAK",NA,NA,9,3,NA
"82","Carlos Beltran_HOU",NA,NA,0,6,3
"83","Lorenzo Cain_KC",NA,9,NA,NA,NA
"84","Max Kepler_MIN",NA,5,NA,NA,NA
"85","Welington Castillo_BAL",NA,8,NA,3,NA
"86","Kyle Seager_SEA",NA,NA,5,8,5
"87","Kole Calhoun_LAA",NA,NA,7,11,NA
"88","Curtis Granderson_NYM",NA,5,NA,0,3
"89","Delino DeShields_TEX",NA,NA,NA,0,NA
"90","Eric Hosmer_KC",NA,0,NA,NA,NA
"91","David Peralta_ARI",0,NA,0,NA,25
"92","Joe Mauer_MIN",NA,6,NA,NA,NA
"93","Cody Asche_CWS",NA,NA,NA,NA,NA
"94","Tim Anderson_CWS",NA,NA,NA,NA,NA
"95","Chase Headley_NYY",13,NA,24,10,NA
"96","Seth Smith_BAL",NA,7,NA,NA,NA
"97","Jedd Gyorko_STL",0,NA,NA,NA,NA
"98","Troy Tulowitzki_TOR",NA,0,NA,0,0
"99","Mallex Smith_TB",3,NA,NA,10,0
"100","Cameron Maybin_LAA",NA,NA,8,7,NA
"101","Jason Heyward_CHC",5,NA,5,NA,NA
"102","Stephen Vogt_OAK",NA,NA,0,5,NA
"103","Josh Reddick_HOU",NA,NA,3,5,NA
"104","Tyler Naquin_CLE",NA,NA,NA,NA,NA
"105","Kennys Vargas_MIN",NA,NA,NA,NA,NA
"106","Robbie Grossman_MIN",NA,8,NA,NA,NA
"107","Hyun Soo Kim_BAL",NA,NA,NA,NA,NA
"108","Yadier Molina_STL",10,NA,3,NA,NA
"109","Jose Peraza_CIN",NA,6,NA,0,NA
"110","Kendrys Morales_TOR",NA,4,NA,3,20
"111","Devon Travis_TOR",NA,6,NA,5,NA
"112","Brad Miller_TB",8,NA,0,0,7
"113","CJ Cron_LAA",NA,NA,NA,8,NA
"114","Travis Shaw_MIL",NA,12,16,16,NA
"115","Hernan Perez_MIL",NA,NA,NA,7,NA
"116","Albert Almora_CHC",NA,NA,3,NA,NA
"117","David Wright_NYM",NA,NA,NA,NA,NA
"118","Asdrubal Cabrera_NYM",NA,18,NA,2,5
"119","Jurickson Profar_TEX",NA,NA,NA,NA,NA
"120","Alex Gordon_KC",NA,3,NA,NA,NA
"121","Norichika Aoki_HOU",NA,NA,NA,NA,5
"122","Brandon Drury_ARI",3,NA,9,7,NA
"123","Chris Owings_ARI",8,NA,5,26,0
"124","Tyler Saladino_CWS",NA,NA,NA,NA,NA
"125","Eddie Rosario_MIN",NA,3,NA,NA,NA
"126","Byron Buxton_MIN",NA,0,NA,NA,NA
"127","Trey Mancini_BAL",NA,NA,NA,0,NA
"128","Scooter Gennett_CIN",NA,NA,NA,NA,NA
"129","Scott Schebler_CIN",NA,7,NA,0,NA
"130","Russell Martin_TOR",NA,4,NA,2,4
"131","Steven Souza_TB",2,NA,6,5,13
"132","Luis Valbuena_LAA",NA,NA,NA,NA,NA
"133","Miguel Montero_CHC",NA,NA,NA,NA,NA
"134","Orlando Arcia_MIL",NA,7,0,8,NA
"135","Jon Jay_CHC",NA,NA,NA,NA,NA
"136","Lucas Duda_NYM",NA,13,NA,2,NA
"137","Neil Walker_NYM",NA,4,NA,0,10
"138","Jay Bruce_NYM",NA,10,NA,22,4
"139","Michael Conforto_NYM",NA,NA,NA,NA,NA
"140","Josh Phegley_OAK",NA,NA,NA,NA,NA
"141","Mark Canha_OAK",NA,NA,NA,NA,NA
"142","Brian McCann_HOU",NA,NA,14,NA,3
"143","Brandon Moss_KC",NA,0,NA,NA,NA
"144","Jorge Soler_KC",NA,NA,NA,NA,NA
"145","Lonnie Chisenhall_CLE",NA,NA,NA,NA,NA
"146","Abraham Almonte_CLE",NA,NA,NA,4,NA
"147","Jorge Polanco_MIN",NA,12,NA,NA,NA
"148","Avisail Garcia_CWS",NA,NA,NA,NA,NA
"149","Aaron Hicks_NYY",NA,NA,NA,NA,NA
"150","Jhonny Peralta_STL",3,NA,3,NA,NA
"151","Eugenio Suarez_CIN",NA,2,NA,0,NA
"152","Wilson Ramos_TB",NA,NA,NA,NA,NA
"153","Kevin Kiermaier_TB",21,NA,3,3,2
"154","Jefry Marte_LAA",NA,NA,9,NA,NA
"155","Mitch Haniger_SEA",NA,NA,7,11,21
"156","Marcell Ozuna_MIA",NA,5,NA,10,NA
"157","Robinson Chirinos_TEX",NA,NA,0,NA,NA
"158","Whit Merrifield_KC",NA,NA,NA,NA,NA
"159","Yuli Gurriel_HOU",NA,NA,NA,NA,NA
"160","Peter O'Brien_KC",NA,NA,NA,NA,NA
"161","Derek Fisher_HOU",NA,NA,NA,NA,NA
