"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
22,746252970,"aquafinatim (6/15)",0,111.5,"OF Nelson Cruz OF Jim Adduci P Jordan Zimmermann 1B Yonder Alonso C Alex Avila SS Jean Segura 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara",NA,"Alex Avila","16.21%",4
22,746253108,"aquafinatim (7/15)",0,111.5,"OF Nelson Cruz OF Matt Joyce P Jordan Zimmermann 1B Yonder Alonso C Alex Avila SS Jean Segura 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara",NA,"Justin Upton","15.53%",4
22,746261064,"aquafinatim (12/15)",0,111.5,"OF Shin-soo Choo OF Nelson Cruz 2B Jed Lowrie P Jordan Zimmermann 1B Yonder Alonso C Alex Avila SS Jean Segura 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara",NA,"Nomar Mazara","13.61%",2
26,746252359,"pep8 (4/8)",0,111.25,"OF Nelson Cruz OF Khris Davis C Stephen Vogt P J.C. Ramírez 1B Yonder Alonso SS Jean Segura OF Delino DeShields 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr.",NA,"Ryon Healy","13.38%",17
27,746315383,"jermedwards",0,110.6,"2B Robinson Canó OF Nelson Cruz C Brian McCann OF Khris Davis 1B Yonder Alonso SS Jean Segura 3B Kyle Seager P Jesse Hahn OF Ben Gamel P Lance McCullers Jr.",NA,"Carlos Gómez","11.96%",3
27,746366333,"chadpen01 (6/15)",0,110.6,"2B Robinson Canó OF Nelson Cruz OF Khris Davis C Stephen Vogt 1B Yonder Alonso SS Jean Segura P Jesse Hahn 3B Joey Gallo P Lance McCullers Jr. OF Guillermo Heredia",NA,"Albert Pujols","11.68%",3
27,746373820,"Purdue1990",0,110.6,"2B Robinson Canó C Brian McCann 1B Yonder Alonso SS Jean Segura OF Mike Trout OF George Springer P Jesse Hahn 3B Nicholas Castellanos OF Ben Gamel P Lance McCullers Jr.",NA,"Danny Valencia","10.15%",9
27,746397261,"nicod13 (1/3)",0,110.6,"2B Robinson Canó OF Nelson Cruz OF Khris Davis C Stephen Vogt 1B Yonder Alonso SS Jean Segura P Jesse Hahn 3B Joey Gallo P Lance McCullers Jr. OF Guillermo Heredia",NA,"Mike Napoli","9.47%",19
31,746354938,"Royalstew55",0,110.5,"2B Robinson Canó C Brian McCann OF Marwin González P Jordan Zimmermann 1B Yonder Alonso SS Jean Segura OF Mike Trout OF George Springer 3B Joey Gallo P Lance McCullers Jr.",NA,"Martín Pérez","8.56%",14.7
32,746318178,"meangene11",0,110.45,"2B Robinson Canó C Robinson Chirinos OF Nelson Cruz OF Khris Davis 1B Yonder Alonso SS Jean Segura OF Mike Trout 3B Nicholas Castellanos P Lance McCullers Jr. P Chase De Jong",NA,"Rajai Davis","8.50%",0
33,746386962,"no2hillary (1/4)",0,109.6,"2B Robinson Canó OF Nelson Cruz C Brian McCann OF Josh Reddick OF Khris Davis 1B Yonder Alonso SS Jean Segura P Jesse Hahn 3B Ryon Healy P Lance McCullers Jr.",NA,"Josh Reddick","8.05%",0
34,746407121,"doublepenetration2",0,109.25,"2B Robinson Canó OF Nelson Cruz OF Justin Upton P J.C. Ramírez 1B Yonder Alonso C Alex Avila SS Jean Segura OF Mike Trout 3B Nicholas Castellanos P Lance McCullers Jr.",NA,"Victor Martinez","7.31%",6
35,746397597,"DaScreamer",0,109.05,"OF Nelson Cruz C Brian McCann 1B Yonder Alonso P Martín Pérez OF Mike Trout OF George Springer 3B Nicholas Castellanos 2B Rougned Odor SS Carlos Correa P Lance McCullers Jr.",NA,"Jed Lowrie","7.20%",7
36,746181765,"texnboots",0,108.6,"OF Rajai Davis OF Nelson Cruz C Brian McCann 2B Jed Lowrie OF Khris Davis 1B Yonder Alonso SS Jean Segura P Jesse Hahn 3B Joey Gallo P Lance McCullers Jr.",NA,"Alex Bregman","6.01%",3
36,746187861,"bobdock7",0,108.6,"OF Nelson Cruz C Brian McCann 1B Yonder Alonso SS Jean Segura OF George Springer P Jesse Hahn 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara",NA,"Delino DeShields","5.67%",13
36,746374071,"raiderlands (1/2)",0,108.6,"2B Robinson Canó OF Nelson Cruz C Brian McCann OF Andrew Romine SS Jean Segura 3B Kyle Seager OF George Springer P Jesse Hahn 1B Ryon Healy P Lance McCullers Jr.",NA,"Shin-soo Choo","5.44%",0
36,746393008,"gensch24",0,108.6,"C Robinson Chirinos OF Nelson Cruz 2B Jed Lowrie OF Khris Davis 1B Yonder Alonso SS Jean Segura OF George Springer P Jesse Hahn 3B Joey Gallo P Lance McCullers Jr.",NA,"José Altuve","4.76%",0
40,746252831,"aquafinatim (2/15)",0,108.5,"OF Nelson Cruz C Brian McCann OF Josh Reddick P Jordan Zimmermann 1B Yonder Alonso SS Jean Segura 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara",NA,"Chase De Jong","4.08%",15.1
40,746253260,"aquafinatim (8/15)",0,108.5,"OF Nelson Cruz P Jordan Zimmermann 1B Yonder Alonso C Alex Avila SS Jean Segura OF Kole Calhoun 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara",NA,"Carlos Beltrán","3.97%",7
40,746253292,"aquafinatim (9/15)",0,108.5,"OF Shin-soo Choo OF Nelson Cruz C Brian McCann P Jordan Zimmermann 1B Yonder Alonso SS Jean Segura 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara",NA,"Guillermo Heredia","3.57%",12
43,745991348,"mowilliams09 (3/15)",0,108.25,"OF Rajai Davis OF Khris Davis C Stephen Vogt OF Andrew Romine P J.C. Ramírez 1B Yonder Alonso SS Jean Segura 2B Rougned Odor 3B Ryon Healy P Lance McCullers Jr.",NA,"Kole Calhoun","3.40%",4
43,746277776,"AndresL10",0,108.25,"2B Robinson Canó C Robinson Chirinos OF Nelson Cruz OF Justin Upton OF Khris Davis P J.C. Ramírez 1B Yonder Alonso SS Jean Segura 3B Nicholas Castellanos P Lance McCullers Jr.",NA,"Andrew Romine","3.29%",18
43,746370590,"Miller421 (2/15)",0,108.25,"OF Nelson Cruz C Brian McCann OF Khris Davis P J.C. Ramírez 1B Yonder Alonso OF George Springer 2B Rougned Odor 3B Ryon Healy SS Carlos Correa P Lance McCullers Jr.",NA,"Evan Gattis","3.17%",0
43,746370599,"Miller421 (11/15)",0,108.25,"OF Nelson Cruz C Brian McCann P J.C. Ramírez 1B Yonder Alonso OF Mike Trout OF George Springer 2B Rougned Odor 3B Ryon Healy SS Carlos Correa P Lance McCullers Jr.",NA,"Ben Gamel","2.89%",12
47,746188110,"BuzzBugg11",0,107.6,"2B Robinson Canó C Robinson Chirinos OF Khris Davis 1B Yonder Alonso SS Jean Segura OF George Springer P Jesse Hahn OF Ben Gamel 3B Joey Gallo P Lance McCullers Jr.",NA,"Yuli Gurriel","2.89%",3
47,746305927,"mbolt1 (4/15)",0,107.6,"1B Mike Napoli 2B Robinson Canó C Robinson Chirinos OF Nelson Cruz SS Jean Segura 3B Kyle Seager P Jesse Hahn OF Delino DeShields P Lance McCullers Jr. OF Guillermo Heredia",NA,"Taylor Motter","2.55%",14
49,746261609,"pittsrevenge (3/3)",0,107.45,"2B Robinson Canó OF Nelson Cruz C Brian McCann OF Khris Davis SS Jean Segura OF George Springer 3B Nicholas Castellanos 1B Ryon Healy P Lance McCullers Jr. P Chase De Jong",NA,"Yunel Escobar","2.49%",2
50,746270937,"rynorules",0,107.25,"2B Robinson Canó OF Nelson Cruz OF Khris Davis P J.C. Ramírez 1B Yonder Alonso C Alex Avila SS Jean Segura OF Mike Trout 3B Joey Gallo P Lance McCullers Jr.",NA,"Matt Joyce","1.93%",7
50,746365756,"Yukerboy (8/10)",0,107.25,"2B Robinson Canó OF Nelson Cruz OF Khris Davis C Stephen Vogt P J.C. Ramírez 1B Yonder Alonso SS Jean Segura 3B Kyle Seager OF Ben Gamel P Lance McCullers Jr.",NA,"Jim Adduci","1.81%",7
52,746127916,"MBK2323",0,106.6,"2B Robinson Canó OF Nelson Cruz C Brian McCann OF Carlos Gómez 1B Yonder Alonso OF George Springer P Jesse Hahn 3B Nicholas Castellanos SS Carlos Correa P Lance McCullers Jr.",NA,"Adam Rosales","1.70%",7
52,746173882,"adietz21 (3/15)",0,106.6,"1B Mike Napoli 2B Robinson Canó C Robinson Chirinos OF Nelson Cruz P Jesse Hahn OF Delino DeShields SS Taylor Motter 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara",NA,"Jonathan Lucroy","1.53%",0
52,746278487,"CaptainNDK (2/4)",0,106.6,"OF Nelson Cruz C Brian McCann OF Khris Davis 1B Yonder Alonso SS Jean Segura OF George Springer P Jesse Hahn 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr.",NA,"Martín Maldonado","1.53%",5
52,746316023,"terryfish1",0,106.6,"C Robinson Chirinos OF Nelson Cruz OF Marwin González 1B Yonder Alonso SS Jean Segura 3B Kyle Seager P Jesse Hahn OF Delino DeShields 2B Rougned Odor P Lance McCullers Jr.",NA,"Cameron Maybin","1.36%",2
52,746316673,"rjc1961 (3/3)",0,106.6,"2B Robinson Canó C Robinson Chirinos OF Nelson Cruz OF Marwin González SS Jean Segura P Jesse Hahn OF Delino DeShields 1B Ryon Healy 3B Joey Gallo P Lance McCullers Jr.",NA,"Luis Valbuena","1.25%",10
52,746380979,"ROTODOGG",0,106.6,"OF Nelson Cruz C Brian McCann 1B Yonder Alonso SS Jean Segura OF George Springer OF Mark Canha P Jesse Hahn 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr.",NA,"Andrelton Simmons","1.19%",5
52,746388014,"pep8 (5/8)",0,106.6,"OF Nelson Cruz C Brian McCann OF Khris Davis 1B Yonder Alonso SS Jean Segura OF George Springer P Jesse Hahn 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr.",NA,"Tyler Collins","0.79%",0
52,746394156,"CaptainNDK (3/4)",0,106.6,"OF Nelson Cruz C Brian McCann OF Khris Davis 1B Yonder Alonso SS Jean Segura OF George Springer P Jesse Hahn 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr.",NA,"Cliff Pennington","0.68%",0
60,745918873,"creamy135i (7/11)",0,106.45,"1B Mike Napoli 2B Robinson Canó OF Justin Upton C Alex Avila 3B Kyle Seager OF George Springer OF Delino DeShields SS Taylor Motter P Lance McCullers Jr. P Chase De Jong",NA,"José Iglesias","0.40%",10
60,746365754,"Yukerboy (6/10)",0,106.45,"2B Robinson Canó OF Nelson Cruz OF Justin Upton 1B Danny Valencia C Alex Avila SS Jean Segura 3B Nicholas Castellanos OF Ben Gamel P Lance McCullers Jr. P Chase De Jong",NA,"Ian Kinsler","0.34%",0
62,746255603,"rdskin21",0,106.25,"2B Robinson Canó OF Nelson Cruz C Brian McCann 3B Marwin González P J.C. Ramírez 1B Yonder Alonso SS Jean Segura OF Mike Trout OF Kole Calhoun P Lance McCullers Jr.",NA,"Norichika Aoki","0.23%",3
62,746382999,"jboy619 (3/3)",0,106.25,"C Robinson Chirinos OF Nelson Cruz OF Khris Davis P J.C. Ramírez 1B Yonder Alonso SS Jean Segura OF George Springer 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr.",NA,"John Hicks","0.23%",0
64,746173881,"adietz21 (2/15)",0,106.05,"1B Mike Napoli OF Nelson Cruz C Brian McCann 2B Jed Lowrie P Martín Pérez OF Mike Trout OF Kole Calhoun SS Carlos Correa 3B Joey Gallo P Lance McCullers Jr.",NA,"Trevor Plouffe","0.23%",0
65,745998928,"sniklefitz44 (2/12)",0,105.6,"2B Robinson Canó OF Nelson Cruz C Brian McCann OF Khris Davis 1B Yonder Alonso OF George Springer P Jesse Hahn SS Carlos Correa 3B Joey Gallo P Lance McCullers Jr.",NA,"Jaff Decker","0.23%",0
65,745998930,"sniklefitz44 (4/12)",0,105.6,"2B Robinson Canó OF Nelson Cruz C Brian McCann OF Khris Davis 1B Yonder Alonso OF George Springer P Jesse Hahn SS Carlos Correa 3B Joey Gallo P Lance McCullers Jr.",NA,"James McCann","0.11%",0
65,746273748,"SirB.Wise",0,105.6,"OF Nelson Cruz C Brian McCann OF Marwin González 1B Yonder Alonso 2B José Altuve OF George Springer P Jesse Hahn SS Carlos Correa 3B Joey Gallo P Lance McCullers Jr.",NA,"Marcus Semien","0.06%",0
65,746289829,"kdprodigy",0,105.6,"OF Nelson Cruz C Brian McCann SS Elvis Andrus OF Marwin González 1B Yonder Alonso P Jesse Hahn 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr. OF Guillermo Heredia",NA,"Pete Kozma","0.06%",0
65,746351016,"KDplus4",0,105.6,"2B Robinson Canó OF Nelson Cruz C Brian McCann 1B Yonder Alonso SS Jean Segura 3B Kyle Seager OF George Springer P Jesse Hahn P Lance McCullers Jr. OF Nomar Mazara",NA,"Tony Kemp","0.06%",0
65,746403376,"Olimoo (2/4)",0,105.6,"2B Robinson Canó OF Nelson Cruz C Stephen Vogt 1B Yonder Alonso SS Jean Segura 3B Kyle Seager P Jesse Hahn OF Delino DeShields P Lance McCullers Jr. OF Nomar Mazara",NA,"Jarrod Dyson","0.06%",0
71,746254743,"burlymush72",0,105.5,"OF Carlos Beltrán 1B Mike Napoli 2B Robinson Canó OF Nelson Cruz C Brian McCann P Jordan Zimmermann SS Jean Segura OF Mike Trout 3B Nicholas Castellanos P Lance McCullers Jr.",NA,"C.J. Cron","0.06%",0
71,746373873,"cozman1959",0,105.5,"1B Mike Napoli OF Shin-soo Choo 2B Robinson Canó OF Nelson Cruz C Brian McCann P Jordan Zimmermann SS Jean Segura OF George Springer 3B Joey Gallo P Lance McCullers Jr.",NA,"Mark Canha","0.06%",0
73,746109441,"tamsuKi (1/3)",0,105.25,"OF Rajai Davis OF Nelson Cruz 2B Jed Lowrie OF Khris Davis C Stephen Vogt P J.C. Ramírez 1B Yonder Alonso SS Jean Segura 3B Joey Gallo P Lance McCullers Jr.",NA,"","",NA
73,746128937,"Bertmode101",0,105.25,"OF Nelson Cruz C Brian McCann P J.C. Ramírez 1B Yonder Alonso OF Mike Trout OF George Springer 2B Rougned Odor SS Carlos Correa 3B Joey Gallo P Lance McCullers Jr.",NA,"","",NA
73,746359979,"King1073 (1/2)",0,105.25,"OF Nelson Cruz C Brian McCann 2B Jed Lowrie OF Khris Davis P J.C. Ramírez 1B Yonder Alonso SS Jean Segura OF Mike Trout 3B Kyle Seager P Lance McCullers Jr.",NA,"","",NA
76,746340268,"frankhester",0,104.6,"2B Robinson Canó C Robinson Chirinos OF Nelson Cruz OF Carlos Gómez 1B Yonder Alonso SS Jean Segura OF Mike Trout P Jesse Hahn 3B Joey Gallo P Lance McCullers Jr.",NA,"","",NA
77,746252762,"aquafinatim (1/15)",0,104.5,"OF Nelson Cruz OF Josh Reddick P Jordan Zimmermann 1B Yonder Alonso C Alex Avila SS Jean Segura 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara",NA,"","",NA
77,746252861,"aquafinatim (3/15)",0,104.5,"OF Shin-soo Choo OF Nelson Cruz P Jordan Zimmermann 1B Yonder Alonso C Alex Avila SS Jean Segura 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara",NA,"","",NA
