"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg"
"WR","Antonio Brown (7688730)","Antonio Brown",7688730,8900,"Pit@Bal 01:00PM ET","Pit","Antonio","Brown","Bal",22.52,22.5,1,0.27536231884058,21.1023075458298
"WR","Odell Beckham Jr. (7688685)","Odell Beckham Jr.",7688685,8800,"Phi@NYG 01:00PM ET","NYG","Odell","Beckham","Phi",19.34,19.8,1,0.273381294964029,18.359731466155
"RB","Ezekiel Elliott (7688617)","Ezekiel Elliott",7688617,7900,"Dal@Cle 01:00PM ET","Dal","Ezekiel","Elliott","Cle",25.85,23.5,6,0.0833333333333333,23.0657535077266
"QB","Aaron Rodgers (7688563)","Aaron Rodgers",7688563,7800,"Ind@GB 04:25PM ET","GB","Aaron","Rodgers","Ind",23.53,23.8,0,0,22.1933489397469
"WR","Jordy Nelson (7688761)","Jordy Nelson",7688761,7800,"Ind@GB 04:25PM ET","GB","Jordy","Nelson","Ind",20.28,19.4,1,0.217993079584775,18.5747712634025
"RB","Le'Veon Bell (7688621)","Le'Veon Bell",7688621,7700,"Pit@Bal 01:00PM ET","Pit","Le'Veon","Bell","Bal",23.41,22,2,0.13768115942029,21.2456146947344
"WR","Amari Cooper (7688793)","Amari Cooper",7688793,7700,"Den@Oak 08:30PM ET","Oak","Amari","Cooper","Den",16.12,17.4,1,0.264094955489614,15.7486915997391
"WR","T.Y. Hilton (7688763)","T.Y. Hilton",7688763,7600,"Ind@GB 04:25PM ET","Ind","T.Y.","Hilton","GB",19.03,23,1,0.283076923076923,19.8141556463898
"RB","DeMarco Murray (7688653)","DeMarco Murray",7688653,7600,"Ten@SD 04:25PM ET","Ten","DeMarco","Murray","SD",18.97,15,4,0.134615384615385,15.8104239009192
"WR","Brandin Cooks (7688744)","Brandin Cooks",7688744,7500,"NO@SF 04:05PM ET","NO","Brandin","Cooks","SF",16.25,16.8,1,0.185667752442997,15.5076354184238
"WR","Dez Bryant (7688715)","Dez Bryant",7688715,7400,"Dal@Cle 01:00PM ET","Dal","Dez","Bryant","Cle",18.03,15.3,3,0.171052631578947,15.5456677005313
"WR","Brandon Marshall (7688691)","Brandon Marshall",7688691,7300,"NYJ@Mia 01:00PM ET","NYJ","Brandon","Marshall","Mia",16.6,15.3,1,0.270175438596491,14.9160030877368
"RB","Spencer Ware (7688604)","Spencer Ware",7688604,7200,"Jax@KC 01:00PM ET","KC","Spencer","Ware","Jax",0,0,4,0.08984375,0
"QB","Drew Brees (7688552)","Drew Brees",7688552,7200,"NO@SF 04:05PM ET","NO","Drew","Brees","SF",22.12,22.9,0,0,21.1250431967704
"WR","Jarvis Landry (7688694)","Jarvis Landry",7688694,7100,"NYJ@Mia 01:00PM ET","Mia","Jarvis","Landry","NYJ",17.68,19.5,1,0.314285714285714,17.4796429160075
"QB","Cam Newton (7688560)","Cam Newton",7688560,7000,"Car@LA 04:05PM ET","Car","Cam","Newton","LA",21.44,22.1,0,0,20.4278910368922
"WR","Allen Robinson (7688711)","Allen Robinson",7688711,6900,"Jax@KC 01:00PM ET","Jax","Allen","Robinson","KC",15.58,16.5,1,0.245847176079734,15.0634685232879
"WR","Kelvin Benjamin (7688756)","Kelvin Benjamin",7688756,6800,"Car@LA 04:05PM ET","Car","Kelvin","Benjamin","LA",15.62,14.4,2,0.212927756653992,14.0370370535027
"QB","Andrew Luck (7688565)","Andrew Luck",7688565,6700,"Ind@GB 04:25PM ET","Ind","Andrew","Luck","GB",22.95,24.3,0,0,22.1865425110984
"QB","Ben Roethlisberger (7688548)","Ben Roethlisberger",7688548,6600,"Pit@Bal 01:00PM ET","Pit","Ben","Roethlisberger","Bal",20.01,20.9,0,0,19.2016295864136
"WR","Randall Cobb (7688762)","Randall Cobb",7688762,6600,"Ind@GB 04:25PM ET","GB","Randall","Cobb","Ind",0,0,3,0.200692041522491,0
"RB","Matt Forte (7688594)","Matt Forte",7688594,6500,"NYJ@Mia 01:00PM ET","NYJ","Matt","Forte","Mia",16.76,16.6,4,0.101754385964912,15.6327683132097
"QB","Philip Rivers (7688569)","Philip Rivers",7688569,6500,"Ten@SD 04:25PM ET","SD","Philip","Rivers","Ten",19.7,21.4,0,0,19.3137108818592
"RB","Devontae Booker (7688669)","Devontae Booker",7688669,6400,"Den@Oak 08:30PM ET","Den","Devontae","Booker","Oak",17.44,18.1,5,0.0693430656934307,16.6779352950702
"WR","Michael Crabtree (7688787)","Michael Crabtree",7688787,6400,"Den@Oak 08:30PM ET","Oak","Michael","Crabtree","Den",13.91,13.8,2,0.237388724035608,12.9857830487316
"RB","Melvin Gordon (7688657)","Melvin Gordon",7688657,6300,"Ten@SD 04:25PM ET","SD","Melvin","Gordon","Ten",17.8,14.6,5,0.116438356164384,15.0963781506169
"QB","Derek Carr (7688573)","Derek Carr",7688573,6300,"Den@Oak 08:30PM ET","Oak","Derek","Carr","Den",18.39,18.3,0,0,17.1956767602004
"WR","Emmanuel Sanders (7688786)","Emmanuel Sanders",7688786,6300,"Den@Oak 08:30PM ET","Den","Emmanuel","Sanders","Oak",16.32,16.7,1,0.277372262773723,15.4887417585671
"TE","Greg Olsen (7688849)","Greg Olsen",7688849,6200,"Car@LA 04:05PM ET","Car","Greg","Olsen","LA",17.14,14.5,1,0.243346007604563,14.7560473108022
"QB","Dak Prescott (7688543)","Dak Prescott",7688543,6100,"Dal@Cle 01:00PM ET","Dal","Dak","Prescott","Cle",19.37,21.6,0,0,19.2678364698027
"WR","Terrelle Pryor Sr. (7688716)","Terrelle Pryor Sr.",7688716,6100,"Dal@Cle 01:00PM ET","Cle","Terrelle","Pryor","Dal",16.85,12.2,1,0.256666666666667,13.4848758163992
"RB","Carlos Hyde (7688633)","Carlos Hyde",7688633,6100,"NO@SF 04:05PM ET","SF","Carlos","Hyde","NO",0,0,5,0.0666666666666667,0
"RB","Jay Ajayi (7688596)","Jay Ajayi",7688596,6000,"NYJ@Mia 01:00PM ET","Mia","Jay","Ajayi","NYJ",14.17,11.6,6,0.0523809523809524,12.0065066546976
"WR","Demaryius Thomas (7688788)","Demaryius Thomas",7688788,6000,"Den@Oak 08:30PM ET","Den","Demaryius","Thomas","Oak",16.71,16.6,2,0.273722627737226,15.610752068007
"WR","Stefon Diggs (7688677)","Stefon Diggs",7688677,5900,"Det@Min 01:00PM ET","Min","Stefon","Diggs","Det",16.46,13.5,2,0.21900826446281,13.9594623446434
