"Charlie Blackmon_COL","Nolan Arenado_COL","Jay Bruce_NYM","Michael Conforto_NYM","Mark Reynolds_COL","Curtis Granderson_NYM","Manuel Margot_SD","Mike Trout_LAA","Asdrubal Cabrera_NYM","Gerardo Parra_COL","Ian Desmond_COL","Wilmer Flores_NYM","DJ LeMahieu_COL","Aaron Altherr_PHI","David Wright_NYM","David Dahl_COL","Cameron Rupp_PHI","Neil Walker_NYM","Trevor Story_COL","Jose Reyes_NYM","Yoenis Cespedes_NYM","Yangervis Solarte_SD","Andrelton Simmons_LAA","Brian Dozier_MIN","Raimel Tapia_COL","Luis Valbuena_LAA","Freddy Galvis_PHI","Pat Valaika_COL","Eduardo Escobar_MIN","Miguel Sano_MIN","Yonder Alonso_OAK","Tommy Joseph_PHI","Cesar Hernandez_PHI","Amed Rosario_NYM","Odubel Herrera_PHI","Travis d'Arnaud_NYM","Cory Spangenberg_SD","Chris Carter_OAK","Khris Davis_OAK","Buster Posey_SF","Marcus Semien_OAK","Brandon Nimmo_NYM","TJ Rivera_NYM","Joe Mauer_MIN","Brandon Belt_SF","Stephen Cardullo_COL","Jason Castro_MIN","Jose Pirela_SD","Ryan Schimpf_SD","Hunter Renfroe_SD","Cameron Maybin_LAA","Juan Lagares_NYM","Dustin Garneau_COL","Gavin Cecchini_NYM","Robbie Grossman_MIN","Kennys Vargas_MIN","Dustin Fowler_OAK","Albert Pujols_LAA","Nick Williams_PHI","Carlos Gonzalez_COL","Matt Reynolds_NYM","Tom Murphy_COL","Byron Buxton_MIN","Rajai Davis_OAK","Nick Hundley_SF","Joe Panik_SF","Yunel Escobar_LAA","Kevin Plawecki_NYM","Jordan Patterson_COL","Wil Myers_SD","Alex Dickerson_SD","Denard Span_SF","Pablo Sandoval_SF","Matt Joyce_OAK","Jefry Marte_LAA","Andrew Knapp_PHI","Eddie Rosario_MIN","Max Kepler_MIN","Hunter Pence_SF","Brandon Crawford_SF","Maikel Franco_PHI","Ryan Hanigan_COL","Austin Hedges_SD","Ryon Healy_OAK","Nick Franklin_LAA","Roman Quinn_PHI","Rhys Hoskins_PHI","Travis Jankowski_SD","Jed Lowrie_OAK","Jarrett Parker_SF","Christian Arroyo_SF","Daniel Nava_PHI","CJ Cron_LAA","Jonathan Lucroy_COL","Alexi Amarista_COL","Matt Szczur_SD","Ehire Adrianza_MIN","Hector Sanchez_SD","Gorkys Hernandez_SF","Josh Phegley_OAK","Mark Canha_OAK","Cristhian Adames_COL","Chase d'Arnaud_SD","Kelby Tomlinson_SF","Mac Williamson_SF","Joey Wendle_OAK","Matt Chapman_OAK","Ben Revere_LAA","Kole Calhoun_LAA","Scott Kingery_PHI","Christian Bethancourt_SD","Luis Urias_SD","Brock Stassi_PHI","Tony Wolters_COL","Mike Tauchman_COL","Erick Aybar_SD","Franchy Cordero_SD","Carlos Asuaje_SD","Aaron Hill_SF","Jake Smolinski_OAK","Ryan LaMarre_OAK","Cameron Perkins_PHI","Rene Rivera_NYM","Martin Maldonado_LAA","Hyun Soo Kim_PHI","David Fletcher_LAA","Chris Gimenez_MIN","Jabari Blash_SD","Justin Ruggiano_SF","Bruce Maxwell_OAK","Nolan Fontana_LAA","Jorge Polanco_MIN","Allen Cordoba_SD","Michael Morse_SF","Conor Gillaspie_SF","Jaycob Brugman_OAK","Eric Young_LAA","Carlos Perez_LAA","Anthony Recker_MIN","Luis Torrens_SD","Tim Federowicz_SF","Cliff Pennington_LAA","Juan Graterol_LAA","Dusty Coleman_SD","Jose Rondon_SD","Chris Marrero_SF","Carlos Moncrief_SF","Jaff Decker_OAK","Ryan Lavarnway_OAK","Renato Nunez_OAK","Austin Slater_SF","Miguel Gomez_SF","Matt Olson_OAK","Chad Pinder_OAK","Ryder Jones_SF","Franklin Barreto_OAK","Orlando Calixte_SF","Jae-gyun Hwang_SF","Andres Blanco_PHI","Shane Robinson_LAA","Ty Kelly_PHI","Kaleb Cowart_LAA","Jorge Alfaro_PHI","Daniel Palka_MIN","Zack Granite_MIN"
75.8992519869098,27.411899897855,0,0,16.0075278530563,0,0,0,0,13.6379492600423,8.44702467343977,0,11.9677871148459,0,0,0,0,0,10.9963850837139,0,0,0,0,0,26.75,0,0,7.20220588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,4.21428571428571,0,0,0,0,0,0,7.50402414486922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1833333333333,0,0,0,0,0,0,0,0,0,0,0,0,18.7516339869281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7967532467532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.411899897855,98.9436215957955,0,0,4.2125,0,0,0,0,5.56818181818182,15.4570230607966,0,14.5840504876649,0,0,0,0,0,22.7865191146881,0,0,0,0,0,9.93571428571429,0,0,35.6761904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.05,0,0,0,0,0,0,-2.2,0,0,0,0,0,0,1.11764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.25,0,0,0,0,0,0,0,0,0,0,0,0,16.2549019607843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.89727463312369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,78.5035833731486,-7.63966346153846,0,-0.1692242114237,0,0,11.3997884717081,0,0,11.5526530612245,0,0,0,0,0,-9.30308529945554,0,8.75591075591076,-9.66489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.553544494721,0,0,0,0,0,0,0.159090909090909,0,0,0,0,0,0,0,0,-19.3717948717949,0,40.0833333333333,0,0,0,0,0,0,1.16666666666667,0,0,0,0,0,0,-10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3226381461676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-7.63966346153846,94.5477408354646,0,-13.4906462585034,0,0,7.13054968287526,0,0,-0.729018492176387,0,0,0,0,0,3.43838383838384,0,-3.04761904761905,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.64112903225806,0,0,0,0,0,0,32.8484848484849,0,0,0,0,0,0,0,0,-9.31818181818182,0,-26,0,0,0,0,0,0,4.65,0,0,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.07560483870968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0075278530563,4.2125,0,0,74.3621848739496,0,0,0,0,8.38963963963964,2.29925994449584,0,6.50751879699248,0,0,0,0,0,1.38625056535504,0,0,0,0,0,-5.94152046783626,0,0,14.202614379085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,2.06593406593407,0,0,0,0,0,0,15.7078265468006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7625,0,0,0,0,0,0,0,0,0,0,0,0,21.3571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2330612244898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.1692242114237,-13.4906462585034,0,49.0472047389856,0,0,14.6587755102041,0,0,-1.12073170731707,0,0,0,0,0,-2.93710691823899,0,-0.914124293785311,19.5913978494624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.10384615384615,0,0,0,0,0,0,0.570967741935484,0,0,0,0,0,0,0,0,45.6666666666667,0,0,0,0,0,0,0,0,15.9,0,0,0,0,0,0,-9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.685960591133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,51.5947115384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0650406504065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.04125177809388,0,0,0,0,0,0,0,0,0,0,1.93421052631579,1.80208333333333,1.70659407138536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04389212057113,0,0,0,0,0,0,0,0,0,0,0,0,-8.08084163898117,0,0,0,0,-5.04545454545455,0,0,0,0,0,0,0,-18.7916666666667,0,-6.88181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24489795918367,0,-18.9393939393939,0,0,0,0,0,0,0,0,0,-22.4705882352941,0,0,0,0,12.0833333333333,0,0,0,0,0,0,19.8461538461538,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,45.2675438596491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84383116883117,0,0,-3.91125541125541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2674253200569,0,0,0,0,0,0,12.6194727891156,0,0,0,0,0,0,0,0,3.10853658536585,0,0,0,0,0,0,0,13.5281385281385,0,0,0,0,0,0,0,0,0,-4.66666666666667,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6778656126482,0.79788838612368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.00709219858156,0,0,0,0,0,0,-19.8333333333333,0,0,0,0,0,0,0,0,0,0,6.23076923076923,7.26666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.58333333333333,0,26.75,0,0,0
0,0,11.3997884717081,7.13054968287526,0,14.6587755102041,0,0,53.1586538461538,0,0,11.9373219373219,0,0,0,0,0,3.54453441295547,0,4.94419306184012,29.5213414634146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7713414634146,0,0,0,0,0,0,18.6030769230769,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,-25.3333333333333,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9357142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.6379492600423,5.56818181818182,0,0,8.38963963963964,0,0,0,0,54.7033816425121,-9.63602941176471,0,-3.50055370985604,0,0,0,0,0,10,0,0,0,0,0,-7,0,0,-8.86666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.85714285714286,0,0,0,0,0,0,12.3618538324421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0,0,0,0,13.4305555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295362903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
