"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"1B","Anthony Rizzo",5800,"CHC@COL 03:10PM ET",8.265,"CHC","COL",NA,0,2.34,NA,"x","x",NA
"OF","Charlie Blackmon",5700,"CHC@COL 03:10PM ET",10.171,"COL","CHC",NA,9.2,0,NA,"1","1",0
"3B","Kris Bryant",5700,"CHC@COL 03:10PM ET",10.118,"CHC","COL",NA,11.9,5,NA,"2","2",5
"3B","Nolan Arenado",5600,"CHC@COL 03:10PM ET",8.971,"COL","CHC",NA,8.6,8,NA,"3","3",8
"OF","Bryce Harper",5600,"BAL@WAS 07:05PM ET",13.067,"WAS","BAL",NA,8,10,NA,"3","3",10
"OF","Mike Trout",5500,"LAA@OAK 03:35PM ET",11,"LAA","OAK",NA,0,2.24,NA,"x","x",NA
"2B","Jose Altuve",5300,"ATL@HOU 02:10PM ET",9.25,"HOU","ATL",NA,10.1,4,NA,"3","3",4
"OF","Mookie Betts",5200,"BOS@MIL 08:10PM ET",9.207,"BOS","MIL",NA,10.3,9,NA,"3","1",9
"OF","Ian Desmond",5200,"CHC@COL 03:10PM ET",8.556,"COL","CHC",NA,7.4,2,NA,"5","6",2
"2B/OF","Ben Zobrist",5200,"CHC@COL 03:10PM ET",6.161,"CHC","COL",NA,0,3,NA,"x","x",NA
"2B","Daniel Murphy",5100,"BAL@WAS 07:05PM ET",9.848,"WAS","BAL",NA,6.4,11,NA,"5","5",11
"SS","Carlos Correa",5000,"ATL@HOU 02:10PM ET",7.633,"HOU","ATL",NA,8.9,18,NA,"4","4",18
"SS","Trea Turner",5000,"BAL@WAS 07:05PM ET",9.217,"WAS","BAL",NA,9.1,5,NA,"1","1",5
"OF","Ryan Braun",4900,"BOS@MIL 08:10PM ET",9.444,"MIL","BOS",NA,8.9,7,NA,"3","3",7
"OF","Nelson Cruz",4900,"SEA@PHI 01:05PM ET",9.273,"SEA","PHI",NA,0,2,NA,"x","x",NA
"OF","Kyle Schwarber",4900,"CHC@COL 03:10PM ET",7.031,"CHC","COL",NA,11.1,2,NA,"1","3",2
"1B","Ryan Zimmerman",4900,"BAL@WAS 07:05PM ET",12.75,"WAS","BAL",NA,8,0,NA,"4","4",0
"1B/OF","Hanley Ramirez",4800,"BOS@MIL 08:10PM ET",7.852,"BOS","MIL",NA,8.5,0,NA,"4","5",0
"1B","Freddie Freeman",4800,"ATL@HOU 02:10PM ET",12.233,"ATL","HOU",NA,10.4,16,NA,"3","3",16
"2B","Javier Baez",4800,"CHC@COL 03:10PM ET",6.9,"CHC","COL",NA,9.5,0,NA,"7","6",0
"SS","Trevor Story",4800,"CHC@COL 03:10PM ET",6.441,"COL","CHC",NA,0,2.02,NA,"x","x",NA
"3B","Manny Machado",4800,"BAL@WAS 07:05PM ET",8.5,"BAL","WAS",NA,8.2,14,NA,"3","3",14
"SS","Xander Bogaerts",4700,"BOS@MIL 08:10PM ET",7.607,"BOS","MIL",NA,7.9,12,NA,"1","3",12
"1B/OF","Jay Bruce",4700,"SF@NYM 01:10PM ET",9.839,"NYM","SF",NA,7.6,19,NA,"3","3",19
"2B","Robinson Cano",4700,"SEA@PHI 01:05PM ET",8.758,"SEA","PHI",NA,8.5,31,NA,"3","3",31
"SS","Jean Segura",4700,"SEA@PHI 01:05PM ET",11.381,"SEA","PHI",NA,8.5,3,NA,"1","1",3
