"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Rich Hill","P","LAD","@ NYM",3.72,"Lugo, R 4.53","L",3.35,0,0,5.2,10.4,1.17,NA,12000,40.7,18,18.32,18.32,"%",38,1.5,17.05,1.4
"Gerrit Cole","P","PIT","vs SD",3.3,"Lamet, R 5.62","R",3.97,0,0,5.8,8.1,1.25,NA,11000,42.8,15.5,21.87,21.87,"%",32,2,10.9,1
"Taijuan Walker","P","ARI","@ SF",3.89,"Stratton, R 7.71","R",3.55,0,0,5.8,8.4,1.22,NA,9800,32.2,16.3,14.44,14.44,"%",46,1.5,15.9,1.6
"Charlie Morton","P","HOU","vs TOR",3.85,"Estrada, R 5.19","R",3.77,0,0,5.9,9.9,1.21,NA,9500,33.1,19,17.81,17.81,"%",60,1.9,18.35,1.9
"Danny Salazar","P","CLE","vs NYY",3.97,"Montgomery, L 4.15","R",4.63,0,0,4.9,12.1,1.37,NA,9400,33.7,16.3,15.37,15.37,"%",44,1.6,33.55,3.6
"Drew Pomeranz","P","BOS","vs CWS",3.31,"Shields, R 6.19","L",3.46,0,0,5.4,9.5,1.35,NA,9000,35.3,16.9,17.45,17.45,"%",47,1.9,27.45,3.1
"Cole Hamels","P","TEX","@ MIN",4.56,"Gibson, R 6.08","L",4.01,0,0,6.4,5.6,1.13,NA,8600,34.6,13.6,11.59,11.59,"%",15,1.3,36.25,4.2
"Dinelson Lamet","P","SD","@ PIT",4.2,"Cole, R 3.97","R",5.62,0,0,5.2,11.8,1.23,NA,8400,39.7,16.7,15.42,15.42,"%",27,1.8,23.75,2.8
"Zach Davies","P","MIL","@ TB",4.9,"Cobb, R 3.89","R",4.42,0,0,5.7,6.2,1.4,NA,8200,28.9,12.2,10.31,10.31,"%",24,1.3,21.95,2.7
"Lance Lynn","P","STL","@ CIN",4.62,"Castillo, R 3.56","R",3.2,0,0,5.8,7.8,1.11,NA,8100,29.7,16.5,11.77,11.77,"%",46,1.5,20.5,2.5
"Luis Castillo","P","CIN","vs STL",3.88,"Lynn, R 3.20","R",3.56,0,0,6,9.6,1.19,NA,8000,33.2,18.2,15.5,15.5,"%",51,1.9,10.85,1.4
