"Miguel Sano_MIN","Jose Abreu_CWS","Avisail Garcia_CWS","Nicholas Castellanos_DET","Mike Moustakas_KC","Whit Merrifield_KC","Brian Dozier_MIN","Melky Cabrera_CWS","Ian Kinsler_DET","Justin Upton_DET","Salvador Perez_KC","Eric Hosmer_KC","Yoan Moncada_CWS","Victor Martinez_DET","Miguel Cabrera_DET","Kennys Vargas_MIN","Mikie Mahtook_DET","Matt Davidson_CWS","Joe Mauer_MIN","Eduardo Escobar_MIN","Eddie Rosario_MIN","Byron Buxton_MIN","Brandon Moss_KC","Alcides Escobar_KC","Jorge Bonifacio_KC","Zack Granite_MIN","Lorenzo Cain_KC","Andrew Romine_DET","Alex Avila_DET","Alex Gordon_KC","Alen Hanson_CWS","Cheslor Cuthbert_KC","Max Kepler_MIN","Paulo Orlando_KC","Billy Burns_KC","Robbie Grossman_MIN","Charlie Tilson_CWS","Jose Iglesias_DET","Jorge Soler_KC","Tim Anderson_CWS","Daniel Palka_MIN","Tyler Saladino_CWS","Adam Engel_CWS","Ryan O'Hearn_KC","Chris Gimenez_MIN","Alex Presley_DET","Ehire Adrianza_MIN","Dixon Machado_DET","JaCoby Jones_DET","Leury Garcia_CWS","Omar Narvaez_CWS","Jacob May_CWS","Terrance Gore_KC","John Hicks_DET","Tyler Collins_DET","Cody Asche_CWS","Jason Castro_MIN","James McCann_DET","Geovany Soto_CWS","Yolmer Sanchez_CWS","Willy Garcia_CWS","Jim Adduci_DET","Jorge Polanco_MIN","Raul Mondesi_KC","Matt den Dekker_DET","Drew Butera_KC","Ramon Torres_KC","Kevan Smith_CWS","Grant Green_CWS","Hunter Dozier_KC","Zack Collins_CWS"
73.0560903369122,0,0,0,0,0,-0.464947987336047,0,0,0,0,0,0,0,0,4.95935960591133,0,0,17.9564582115722,17.640243902439,-5.44426229508197,12.7909604519774,0,0,0,-4.97619047619048,0,0,0,0,0,0,26.2296466973886,0,0,8.96021303258145,0,0,0,0,0,0,0,0,2.74308300395257,0,19.5824175824176,0,0,0,0,0,0,0,0,0,3.16365007541478,0,0,0,0,0,10.3285714285714,0,0,0,0,0,0,0,0
0,54.8984567901235,8.25613682092555,0,0,0,0,17.1498632946001,0,0,0,0,14,0,0,0,0,17.9655172413793,0,0,0,0,0,0,0,0,0,0,0,0,19.7777777777778,0,0,0,0,0,0,0,0,4.59855072463768,0,6.39655172413793,-4.66,0,0,0,0,0,0,-9.42303433001107,9.16396761133603,1.98214285714286,0,0,0,24.5384615384615,0,0,-12.8055555555556,6.40820029027576,0.0904761904761905,0,0,0,0,0,0,7.10588235294118,0,0,0
0,8.25613682092555,82.3748043818466,0,0,0,0,-0.550482879719052,0,0,0,0,35,0,0,0,0,25.3808080808081,0,0,0,0,0,0,0,0,0,0,0,0,-16,0,0,0,0,0,0,0,0,19.8599590373784,0,14.5343915343915,2.2483660130719,0,0,0,0,0,0,5.2030487804878,5.93371212121212,0.333333333333333,0,0,0,12.3461538461538,0,0,44.0444444444444,10.2929292929293,39.4725274725275,0,0,0,0,0,0,2.15886699507389,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61.7620902304447,8.25192307692308,0,0,0,0,10.6987927565392,9.88811188811189,0,0,0,0,0,0,0,0,0,0,20.5045248868778,-3.41820837390458,10.5142165759226,0,3.01281613123718,0,0,20.9381846635368,0,1.94230769230769,0,7.25,0,0,0,0,0.91578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.8888888888889,0,26.9090909090909,-2.5,0,0,0,0
0,0,0,0,8.25192307692308,48.5250391236307,0,0,0,0,5.10664682539683,6.96478873239437,0,0,0,0,0,0,0,0,0,0,4.1775641025641,10.8172926447574,-0.0359438924605494,0,1.02749360613811,0,0,13.421146953405,0,6.125,0,0,0,0,0,0,2.12857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4485294117647,6.35714285714286,0,0,0,0
-0.464947987336047,0,0,0,0,0,45.8704183635691,0,0,0,0,0,0,0,0,8.42610837438424,0,0,5.90999415546464,1.56666666666667,12.875988700565,8.14348334307422,0,0,0,-27.0238095238095,0,0,0,0,0,0,17.2724014336918,0,0,1.39285714285714,0,0,0,0,0,0,0,0,5.23376623376623,0,-2.62820512820513,0,0,0,0,0,0,0,0,0,7.89308176100629,0,0,0,0,0,5.63636363636364,0,0,0,0,0,0,0,0
0,17.1498632946001,-0.550482879719052,0,0,0,0,52.2191142191142,0,0,0,0,-49,0,0,0,0,10.8881578947368,0,0,0,0,0,0,0,0,0,0,0,0,62.5333333333333,0,0,0,0,0,0,0,0,0.703964194373402,0,-4.50569800569801,7.70833333333333,0,0,0,0,0,0,-7.09358974358974,13.8378378378378,-2.8,0,0,0,4.3525641025641,0,0,-7.88888888888889,-1.69720965309201,9.19005847953216,0,0,0,0,0,0,5.25473484848485,0,0,0
0,0,0,0,0,0,0,0,52.7042062415197,6.86405529953917,0,0,0,9.8033381712627,7.26228956228956,0,-0.144827586206897,0,0,0,0,0,0,0,0,0,0,20.0641025641026,17.4865853658537,0,0,0,0,0,0,0,0,-4.82704402515723,0,0,0,0,0,0,0,-16.3076923076923,0,0.5,-4.66666666666667,0,0,0,0,-1.82142857142857,13.0849802371542,0,0,18.1193277310924,0,0,0,28.625,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6.86405529953917,61.3694638694639,0,0,0,0.630874316939891,2.94638694638695,0,2.7,0,0,0,0,0,0,0,0,0,0,8.79365079365079,5.28937198067633,0,0,0,0,0,0,0,0,3.85128205128205,0,0,0,0,0,0,0,15.1176470588235,0,3.65934065934066,2.55357142857143,0,0,0,0,31.0227272727273,1.58333333333333,0,0,6.54054054054054,0,0,0,27.6363636363636,0,0,0,0,0,0,0,0,0
