"Miguel Sano_MIN","Jose Abreu_CWS","Avisail Garcia_CWS","Nicholas Castellanos_DET","Mike Moustakas_KC","Whit Merrifield_KC","Brian Dozier_MIN","Melky Cabrera_CWS","Ian Kinsler_DET","Justin Upton_DET","Salvador Perez_KC","Eric Hosmer_KC","Yoan Moncada_CWS","Victor Martinez_DET","Miguel Cabrera_DET","Kennys Vargas_MIN","Mikie Mahtook_DET","Matt Davidson_CWS","Joe Mauer_MIN","Eduardo Escobar_MIN","Eddie Rosario_MIN","Byron Buxton_MIN","Brandon Moss_KC","Alcides Escobar_KC","Jorge Bonifacio_KC","Zack Granite_MIN","Lorenzo Cain_KC","Andrew Romine_DET","Alex Avila_DET","Alex Gordon_KC","Alen Hanson_CWS","Cheslor Cuthbert_KC","Max Kepler_MIN","Paulo Orlando_KC","Billy Burns_KC","Robbie Grossman_MIN","Charlie Tilson_CWS","Jose Iglesias_DET","Jorge Soler_KC","Tim Anderson_CWS","Daniel Palka_MIN","Tyler Saladino_CWS","Adam Engel_CWS","Ryan O'Hearn_KC","Chris Gimenez_MIN","Alex Presley_DET","Ehire Adrianza_MIN","Dixon Machado_DET","JaCoby Jones_DET","Leury Garcia_CWS","Omar Narvaez_CWS","Jacob May_CWS","Terrance Gore_KC","John Hicks_DET","Tyler Collins_DET","Cody Asche_CWS","Jason Castro_MIN","James McCann_DET","Geovany Soto_CWS","Yolmer Sanchez_CWS","Willy Garcia_CWS","Jim Adduci_DET","Jorge Polanco_MIN","Raul Mondesi_KC","Matt den Dekker_DET","Drew Butera_KC","Ramon Torres_KC","Kevan Smith_CWS","Grant Green_CWS","Hunter Dozier_KC","Zack Collins_CWS"
74,0,0,0,0,0,67,0,0,0,0,0,0,0,0,29,0,0,59,41,61,60,0,0,0,7,0,0,0,0,0,0,63,0,0,57,0,0,0,0,0,0,0,0,23,0,14,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,56,0,0,0,0,0,0,0,0
0,81,71,0,0,0,0,77,0,0,0,0,3,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,70,0,29,25,0,0,0,0,0,0,43,39,8,0,0,0,14,0,0,9,53,21,0,0,0,0,0,0,35,0,0,0
0,71,72,0,0,0,0,68,0,0,0,0,3,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,63,0,28,18,0,0,0,0,0,0,41,33,7,0,0,0,14,0,0,10,45,14,0,0,0,0,0,0,29,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,79,65,0,0,0,0,71,78,0,0,0,0,0,0,0,0,0,0,52,79,58,0,77,0,0,72,0,13,0,9,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,8,0,0,0,0
0,0,0,0,65,72,0,0,0,0,64,71,0,0,0,0,0,0,0,0,0,0,40,72,59,0,69,0,0,63,0,17,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0,0,0
67,0,0,0,0,0,74,0,0,0,0,0,0,0,0,29,0,0,59,40,60,59,0,0,0,7,0,0,0,0,0,0,63,0,0,57,0,0,0,0,0,0,0,0,22,0,13,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,55,0,0,0,0,0,0,0,0
0,77,68,0,0,0,0,78,0,0,0,0,3,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,69,0,27,25,0,0,0,0,0,0,40,37,6,0,0,0,13,0,0,10,52,19,0,0,0,0,0,0,33,0,0,0
0,0,0,0,0,0,0,0,67,63,0,0,0,53,55,0,30,0,0,0,0,0,0,0,0,0,0,27,41,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,14,0,9,7,0,0,0,0,8,23,0,0,35,0,0,0,8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,63,78,0,0,0,61,66,0,30,0,0,0,0,0,0,0,0,0,0,36,46,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,18,0,14,8,0,0,0,0,12,25,0,0,38,0,0,0,12,0,0,0,0,0,0,0,0,0
