"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Max Scherzer","P","WSH","@ SF",3.32,"Cain, R 4.45","R",2.77,0,0,6.8,11.8,0.94,NA,13300,47.1,26.9,27.44,27.44,"%",64,2.1,43.75,3.3
"Jacob deGrom","P","NYM","vs MIL",3.07,"Guerra, R 3.12","R",3.23,0,0,6.4,12.1,1.22,NA,12000,48.2,23.9,27.84,27.84,"%",57,2.3,-0.2,NA
"Chris Archer","P","TB","@ TEX",4.46,"Bibens-Dirkx, R 3.97","R",3.61,0,0,6.6,10.9,1.18,NA,11300,36.5,22.2,16.24,16.24,"%",54,1.4,16.35,1.4
"Carlos Martinez","P","STL","vs LAD",3.78,"Ryu, L 4.28","R",3.32,0,0,6.5,9.8,1.14,NA,10900,37.6,21.2,19.47,19.47,"%",57,1.8,33.8,3.1
"Jake Arrieta","P","CHC","@ SD",3.17,"Perdomo, R 5.61","R",4.92,0,0,5.7,10.1,1.36,NA,9900,40,16.6,19.43,19.43,"%",38,2,21.3,2.2
"Dan Straily","P","MIA","vs PHI",3.52,"Nola, R 4.34","R",3.83,0,0,5.4,9,1.06,NA,9000,38.9,16,16.74,16.74,"%",31,1.9,31,3.4
"Zack Godley","P","ARI","@ PIT",4.34,"Kuhl, R 6.29","R",1.99,0,0,6.3,7.4,1.01,NA,8700,26.1,18.8,11.39,11.39,"%",61,1.3,14.7,1.7
"Drew Pomeranz","P","BOS","@ CWS",4.41,"Pelfrey, R 4.41","L",4.7,0,0,4.9,11.4,1.39,NA,8600,33.2,16,12.39,12.39,"%",35,1.4,29.55,3.4
"James Paxton","P","SEA","vs COL",3.34,"Senzatela, R 3.19","L",1.43,0,0,6.3,10.7,0.96,NA,8200,40.5,25.5,19.99,19.99,"%",60,2.4,26.2,3.2
"Masahiro Tanaka","P","NYY","@ BAL",4.41,"Gausman, R 6.17","R",5.86,0,0,5.5,8.5,1.46,NA,8100,43.9,13.1,11.71,11.71,"%",0,1.4,0.15,0
"Aaron Nola","P","PHI","@ MIA",3.98,"Straily, R 3.83","R",4.34,0,0,5.8,7.8,1.34,NA,8000,24.8,14.3,12.02,12.02,"%",55,1.5,3.15,0.4
"Antonio Senzatela","P","COL","@ SEA",4.66,"Paxton, L 1.43","R",3.19,0,0,6.2,5.4,1.15,NA,7800,25.3,15.3,11.41,11.41,"%",55,1.5,13.05,1.7
"Mike Clevinger","P","CLE","vs OAK",3.94,"Manaea, L 4.35","R",2.82,0,0,4.5,10,1.16,NA,7700,34.8,15.7,12.48,12.48,"%",29,1.6,18.8,2.4
"Jaime Garcia","P","ATL","@ LAA",3.92,"Chavez, R 5.25","L",3.58,0,0,6.1,6.2,1.25,NA,7600,28.2,13.6,11.2,11.2,"%",37,1.5,14.95,2
"Sean Manaea","P","OAK","@ CLE",5.06,"Clevinger, R 2.82","L",4.35,0,0,5.2,9.7,1.11,NA,7200,29,15.6,10.07,10.07,"%",39,1.4,33.35,4.6
"Jesse Chavez","P","LAA","vs ATL",3.58,"Garcia, L 3.58","R",5.25,0,0,5.3,7.1,1.3,NA,6900,31.2,11.3,12.22,12.22,"%",16,1.8,18.15,2.6
"Hyun-Jin Ryu","P","LAD","@ STL",4.22,"Martinez, R 3.32","L",4.28,0,0,5,8.6,1.48,NA,6700,26.3,12.3,10.75,10.75,"%",37,1.6,17.7,2.6
"Ian Kennedy","P","KC","vs DET",4.35,"Boyd, L 5.40","R",4.43,0,0,5.3,7.6,1.15,NA,6600,34.1,12,11.06,11.06,"%",4,1.7,0.55,0.1
"Matt Cain","P","SF","vs WSH",4.18,"Scherzer, R 2.77","R",4.45,0,0,5.5,5.9,1.46,NA,6300,36.2,10.5,11.22,11.22,"%",0,1.8,7.85,1.2
"Luis Perdomo","P","SD","vs CHC",4.33,"Arrieta, R 4.92","R",5.61,0,0,5.4,8.8,1.43,NA,6200,31.5,11,10.63,10.63,"%",5,1.7,17.55,2.8
"Matt Boyd","P","DET","@ KC",4.65,"Kennedy, R 4.43","L",5.4,0,0,5.2,6.2,1.68,NA,6100,30.7,8.2,8.26,8.26,"%",0,1.4,-2.55,NA
"Timothy Adleman","P","CIN","@ TOR",5,"Bolsinger, R 5.75","R",4.95,0,0,5,7.7,1.23,NA,6000,30.7,11.9,8.73,8.73,"%",8,1.5,12.7,2.1
"Junior Guerra","P","MIL","@ NYM",4.43,"deGrom, R 3.23","R",3.12,0,0,4.3,9.4,0.81,NA,5900,18.3,13.4,10.69,10.69,"%",0,1.8,21.3,3.6
"Paul Goldschmidt","1B","ARI","@ PIT",4.16,"Kuhl, R 6.29","R",0.307,0.429,0.254,0,0,0,3,5700,29.4,10.9,12.85,12.85,"%",62,2.3,18,3.2
"Kevin Gausman","P","BAL","vs NYY",4.09,"Tanaka, R 5.86","R",6.17,0,0,4.9,6.4,1.78,NA,5600,30.6,6.6,9.56,9.56,"%",0,1.7,12.2,2.2
"Jose Altuve","2B","HOU","@ MIN",5.36,"Santiago, L 4.31","R",0.323,0.392,0.195,0,0,0,2,5500,31.9,9.6,15.39,15.39,"%",57,2.8,11,2
"Charlie Blackmon","OF","COL","@ SEA",3.34,"Paxton, L 1.43","L",0.325,0.407,0.302,0,0,0,1,5500,28.3,10.9,10.4,10.4,"%",59,1.9,3,0.5
"Hector Santiago","P","MIN","vs HOU",5.36,"Paulino, R","L",4.31,0,0,5.1,6.4,1.35,NA,5400,27.9,11,8.22,8.22,"%",10,1.5,1.5,0.3
"Carlos Correa","SS","HOU","@ MIN",5.36,"Santiago, L 4.31","R",0.303,0.385,0.202,0,0,0,3,5400,30,8.9,15.55,15.55,"%",59,2.9,26,4.8
"Aaron Judge","OF","NYY","@ BAL",4.09,"Gausman, R 6.17","R",0.323,0.463,0.372,0,0,0,5,5400,30.9,11.4,10.93,10.93,"%",56,2,12,2.2
"Kris Bryant","3B","CHC","@ SD",4.33,"Perdomo, R 5.61","R",0.282,0.406,0.265,0,0,0,3,5400,29.9,9.9,12.57,12.57,"%",56,2.3,5,0.9
"Mike Pelfrey","P","CWS","vs BOS",5.09,"Pomeranz, L 4.70","R",4.41,0,0,5,4.7,1.21,NA,5300,23.7,8.8,7.11,7.11,"%",6,1.3,18.85,3.6
"Adam Duvall","OF","CIN","@ TOR",4.5,"Bolsinger, R 5.75","R",0.272,0.36,0.277,0,0,0,4,5300,30.5,9.5,12.24,12.24,"%",52,2.3,0,NA
"Corey Dickerson","OF","TB","@ TEX",5.04,"Bibens-Dirkx, R 3.97","L",0.346,0.424,0.269,0,0,0,1,5300,30.5,9.8,14.67,14.67,"%",60,2.8,7,1.3
"Jose Bautista","OF","TOR","vs CIN",5,"Adleman, R 4.95","R",0.245,0.354,0.212,0,0,0,3,5200,28.3,8.4,13.16,13.16,"%",55,2.5,3,0.6
"Jake Lamb","3B","ARI","@ PIT",4.16,"Kuhl, R 6.29","L",0.283,0.396,0.283,0,0,0,4,5100,27.7,10.2,11.58,11.58,"%",60,2.3,26,5.1
"Evan Longoria","3B","TB","@ TEX",5.04,"Bibens-Dirkx, R 3.97","R",0.237,0.314,0.175,0,0,0,3,5100,27.8,7.4,12.97,12.97,"%",50,2.5,12,2.4
"Anthony Rizzo","1B","CHC","@ SD",4.33,"Perdomo, R 5.61","L",0.229,0.362,0.229,0,0,0,4,5100,28.6,8.9,12.57,12.57,"%",55,2.5,9,1.8
"Francisco Lindor","SS","CLE","vs OAK",5.06,"Manaea, L 4.35","B",0.276,0.368,0.255,0,0,0,2,5000,28.4,9.1,12.02,12.02,"%",55,2.4,14,2.8
"Brian Dozier","2B","MIN","vs HOU",4.64,"Paulino, R","R",0.244,0.339,0.169,0,0,0,1,5000,24.5,8.7,11.7,11.7,"%",63,2.3,17,3.4
"Steven Souza Jr.","OF","TB","@ TEX",5.04,"Bibens-Dirkx, R 3.97","R",0.277,0.383,0.22,0,0,0,5,5000,28.6,8.5,11.95,11.95,"%",51,2.4,16,3.2
"George Springer","OF","HOU","@ MIN",5.36,"Santiago, L 4.31","R",0.245,0.322,0.181,0,0,0,1,4900,27.6,7.9,14.24,14.24,"%",58,2.9,42,8.6
"Mookie Betts","OF","BOS","@ CWS",5.09,"Pelfrey, R 4.41","R",0.276,0.367,0.219,0,0,0,1,4900,32.9,9.9,14.81,14.81,"%",54,3,2,0.4
"Mike Bolsinger","P","TOR","vs CIN",4.5,"Adleman, R 4.95","R",5.75,0,0,5.1,6.2,1.87,NA,4900,17.9,5.8,7.87,7.87,"%",14,1.6,15.2,3.1
"Billy Hamilton","OF","CIN","@ TOR",4.5,"Bolsinger, R 5.75","B",0.251,0.282,0.077,0,0,0,1,4900,27,9.9,11.55,11.55,"%",61,2.4,0,NA
"Nolan Arenado","3B","COL","@ SEA",3.34,"Paxton, L 1.43","R",0.278,0.371,0.258,0,0,0,3,4900,24.8,8.9,9.45,9.45,"%",57,1.9,0,NA
"Michael Conforto","OF","NYM","vs MIL",4.43,"Guerra, R 3.12","L",0.318,0.442,0.325,0,0,0,1,4900,32.1,10,11.34,11.34,"%",48,2.3,9,1.8
"J.D. Martinez","OF","DET","@ KC",4.35,"Kennedy, R 4.43","R",0.278,0.468,0.463,0,0,0,5,4800,36.2,11.1,10.41,10.41,"%",42,2.2,11,2.3
"Chad Kuhl","P","PIT","vs ARI",4.16,"Godley, R 1.99","R",6.29,0,0,4.4,7.4,1.53,NA,4800,31,7.2,8.64,8.64,"%",0,1.8,11.65,2.4
"Robinson Cano","2B","SEA","vs COL",4.66,"Senzatela, R 3.19","L",0.294,0.373,0.235,0,0,0,3,4800,27.7,9.3,11.11,11.11,"%",55,2.3,0,NA
"Jose Ramirez","2B/3B","CLE","vs OAK",5.06,"Manaea, L 4.35","B",0.297,0.37,0.203,0,0,0,6,4700,25.9,8.4,8.71,8.71,"%",49,1.9,2,0.4
"Edwin Encarnacion","1B","CLE","vs OAK",5.06,"Manaea, L 4.35","R",0.232,0.34,0.188,0,0,0,5,4700,25,7.3,10.95,10.95,"%",52,2.3,3,0.6
"Jose Abreu","1B","CWS","vs BOS",4.41,"Pomeranz, L 4.70","R",0.296,0.371,0.219,0,0,0,3,4700,26.4,8.7,10.34,10.34,"%",54,2.2,0,NA
"Justin Smoak","1B","TOR","vs CIN",5,"Adleman, R 4.95","B",0.284,0.389,0.278,0,0,0,5,4700,28.3,8,10.57,10.57,"%",45,2.2,0,NA
"Logan Morrison","1B","TB","@ TEX",5.04,"Bibens-Dirkx, R 3.97","L",0.241,0.371,0.293,0,0,0,4,4700,28,8.2,12.66,12.66,"%",53,2.7,23,4.9
"Elvis Andrus","SS","TEX","vs TB",4.46,"Archer, R 3.61","R",0.288,0.34,0.168,0,0,0,2,4700,25,8.8,9.57,9.57,"%",56,2,21,4.5
"Nelson Cruz","OF","SEA","vs COL",4.66,"Senzatela, R 3.19","R",0.279,0.378,0.246,0,0,0,4,4700,26.5,8.5,11.23,11.23,"%",55,2.4,5,1.1
"Ben Zobrist","2B/OF","CHC","@ SD",4.33,"Perdomo, R 5.61","B",0.257,0.357,0.194,0,0,0,1,4700,23,7,10.72,10.72,"%",56,2.3,0,NA
"Carlos Santana","1B","CLE","vs OAK",5.06,"Manaea, L 4.35","B",0.232,0.326,0.177,0,0,0,4,4600,25.9,8,11.88,11.88,"%",56,2.6,0,NA
"Khris Davis","OF","OAK","@ CLE",3.94,"Clevinger, R 2.82","R",0.228,0.355,0.294,0,0,0,4,4600,26.5,8.7,10.36,10.36,"%",54,2.3,0,NA
"Michael Brantley","OF","CLE","vs OAK",5.06,"Manaea, L 4.35","L",0.307,0.365,0.145,0,0,0,3,4600,24.2,8.4,11.88,11.88,"%",63,2.6,0,NA
"Xander Bogaerts","SS","BOS","@ CWS",5.09,"Pelfrey, R 4.41","R",0.339,0.383,0.137,0,0,0,3,4600,26.9,8.9,13.09,13.09,"%",61,2.8,5,1.1
