Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,8244,Philip Rivers,QB,8,SD,BAL,31,32,6600,26.7
2,13320,Cam Newton,QB,8,CAR,IND,28,20,6800,25.7
3,4314,Tom Brady,QB,8,NE,MIA,17,14,8300,23.2
4,13291,Julio Jones,WR,8,ATL,TB,22,29,9200,22.8
5,14986,DeAndre Hopkins,WR,8,HOU,TEN,8,13,8700,22.7
6,11056,Antonio Brown,WR,8,PIT,CIN,13,15,7800,22.6
7,7242,Drew Brees,QB,8,NO,NYG,17,10,6700,22.6
8,14967,Le'Veon Bell,RB,8,PIT,CIN,13,19,8300,22.5
9,15076,Keenan Allen,WR,8,SD,BAL,31,31,7700,21.6
10,16524,Devonta Freeman,RB,8,ATL,TB,22,11,8000,21.1
11,2699,Matt Forte,RB,8,CHI,MIN,7,5,7300,21.1
12,8355,Julian Edelman,WR,8,NE,MIA,17,21,8100,20.9
13,11667,Brandon Marshall,WR,8,NYJ,OAK,26,10,7600,20.6
14,9369,Justin Forsett,RB,8,BAL,SD,19,31,6100,20.5
15,16389,Odell Beckham Jr,WR,8,NYG,NO,30,18,8500,20.4
16,6029,Calvin Johnson,WR,8,DET,KC,23,32,7900,20.3
17,12845,AJ Green,WR,8,CIN,PIT,16,19,7600,20.1
18,14536,Russell Wilson,QB,8,SEA,DAL,15,11,6300,20
19,16771,Todd Gurley,RB,8,LA,SF,29,26,6300,20
20,11197,Demaryius Thomas,WR,8,DEN,GB,9,9,7700,20
21,16597,Mike Evans,WR,8,TB,ATL,11,4,6800,20
22,14187,Alshon Jeffery,WR,8,CHI,MIN,7,7,6400,19.8
23,8914,Jeremy Maclin,WR,8,KC,DET,32,25,6200,19.8
24,11063,Emmanuel Sanders,WR,8,DEN,GB,9,9,7500,19.7
25,5571,Larry Fitzgerald,WR,8,ARI,CLE,21,14,7700,19.4
26,4358,Steve Smith,WR,8,BAL,SD,19,6,6100,19.2
27,2593,Aaron Rodgers,QB,8,GB,DEN,1,1,7500,19.1
28,16020,Jarvis Landry,WR,8,MIA,NE,16,29,6200,19
29,12841,Andy Dalton,QB,8,CIN,PIT,16,18,6000,18.9
30,9038,Matthew Stafford,QB,8,DET,KC,23,23,5800,18.7
31,732,Matt Ryan,QB,8,ATL,TB,22,29,7100,18.7
32,13799,Ryan Tannehill,QB,8,MIA,NE,16,27,5600,18.7
33,3807,Ben Roethlisberger,QB,8,PIT,CIN,13,14,6700,18.7
34,14008,Andrew Luck,QB,8,IND,CAR,5,3,7400,18.6
35,8283,Ryan Fitzpatrick,QB,8,NYJ,OAK,26,24,5200,18.6
36,4932,Eli Manning,QB,8,NYG,NO,30,31,6600,18.6
37,4807,Adrian Peterson,RB,8,MIN,CHI,20,13,7400,18.5
38,6739,Alex Smith,QB,8,KC,DET,32,25,5000,18.4
39,13791,Lamar Miller,RB,8,MIA,NE,16,6,4700,18.3
40,8972,Jay Cutler,QB,8,CHI,MIN,7,7,5200,18.3
41,14005,TY Hilton,WR,8,IND,CAR,5,5,6900,18.1
42,13337,Mark Ingram,RB,8,NO,NYG,17,21,6400,18
43,8358,Brian Hoyer,QB,8,HOU,TEN,8,12,5300,18
44,16762,Jameis Winston,QB,8,TB,ATL,11,5,5200,17.9
45,2428,Carson Palmer,QB,8,ARI,CLE,21,16,7000,17.8
46,13227,Randall Cobb,WR,8,GB,DEN,1,2,7000,17.8
47,16765,Amari Cooper,WR,8,OAK,NYJ,2,11,6700,17.8
48,16497,Teddy Bridgewater,QB,8,MIN,CHI,20,28,5100,17.6
49,10974,Rob Gronkowski,TE,8,NE,MIA,17,11,8000,17.6
50,16568,Brandin Cooks,WR,8,NO,NYG,17,12,5400,17.6
51,7328,Peyton Manning,QB,8,DEN,GB,9,12,6400,17.6
52,611,Joe Flacco,QB,8,BAL,SD,19,15,5500,17.6
53,16906,Stefon Diggs,WR,8,MIN,CHI,20,27,4800,17.5
54,16311,Derek Carr,QB,8,OAK,NYJ,2,4,5300,17.4
55,12386,Marshawn Lynch,RB,8,SEA,DAL,15,30,7100,17.3
56,14385,Doug Martin,RB,8,TB,ATL,11,29,5500,17.2
57,11182,Eric Decker,WR,8,NYJ,OAK,26,10,5300,17.1
58,1658,Greg Olsen,TE,8,CAR,IND,28,19,6500,17
59,16175,Zach Mettenberger,QB,8,TEN,HOU,27,30,5100,16.9
60,14918,Tyler Eifert,TE,8,CIN,PIT,16,30,5300,16.8
61,7175,Delanie Walker,TE,8,TEN,HOU,27,14,4100,16.7
62,15048,Travis Kelce,TE,8,KC,DET,32,24,5000,16.4
63,5282,Josh McCown,QB,8,CLE,ARI,6,6,5000,16.3
64,12239,Chris Ivory,RB,8,NYJ,OAK,26,18,6000,16.1
65,6828,Chris Johnson,RB,8,ARI,CLE,21,32,4600,16.1
66,16146,Martavis Bryant,WR,8,PIT,CIN,13,15,5300,16.1
67,5820,Frank Gore,RB,8,IND,CAR,5,20,4800,16
68,16307,Charcandrick West,RB,8,KC,DET,32,25,4700,16
69,14046,Ronnie Hillman,RB,8,DEN,GB,9,11,4600,15.9
70,16141,Willie Snead,WR,8,NO,NYG,17,12,4500,15.9
71,15071,Latavius Murray,RB,8,OAK,NYJ,2,1,5900,15.7
72,16232,Donte Moncrief,WR,8,IND,CAR,5,5,5500,15.6
73,13723,Nick Foles,QB,8,LA,SF,29,26,5100,15.5
74,5451,Jonathan Stewart,RB,8,CAR,IND,28,29,4100,15.5
75,8529,Mike Wallace,WR,8,MIN,CHI,20,27,4200,15.5
76,6302,James Jones,WR,8,GB,DEN,1,2,5700,15.4
77,4577,Gary Barnidge,TE,8,CLE,ARI,6,1,4700,15.2
78,14478,Michael Floyd,WR,8,ARI,CLE,21,14,3500,15.2
79,13788,Rishard Matthews,WR,8,MIA,NE,16,29,4300,15.1
80,15138,Eddie Lacy,RB,8,GB,DEN,1,17,6200,14.6
81,15782,Larry Donnell,TE,8,NYG,NO,30,29,3300,14.6
82,13460,Doug Baldwin,WR,8,SEA,DAL,15,7,3500,14.4
83,14122,Ladarius Green,TE,8,SD,BAL,31,2,3000,14.4
84,13443,Colin Kaepernick,QB,8,SF,LA,5,2,5000,14.3
85,16163,Antonio Andrews,RB,8,TEN,HOU,27,28,3300,13.8
86,7711,Malcom Floyd,WR,8,SD,BAL,31,31,3500,13.5
87,12296,LeGarrette Blount,RB,8,NE,MIA,17,21,4700,13.1
88,16112,Jeremy Hill,RB,8,CIN,PIT,16,4,5300,12.7
89,12317,Danny Woodhead,RB,8,SD,BAL,31,14,4500,12.4
90,8066,Darren McFadden,RB,8,DAL,SEA,3,2,3800,12.2
91,8723,Matt Cassel,QB,8,DAL,SEA,3,8,5000,11.3
92,12708,Dion Lewis,RB,8,NE,MIA,17,21,6400,11
93,16838,Duke Johnson,RB,8,CLE,ARI,6,7,4200,10.9
94,11611,Golden Tate,WR,8,DET,KC,23,32,5000,10.8
95,14916,Giovani Bernard,RB,8,CIN,PIT,16,4,4800,10.6
96,9331,Michael Crabtree,WR,8,OAK,NYJ,2,11,4700,10.6
97,1181,Martellus Bennett,TE,8,CHI,MIN,7,27,4900,10.5
98,16640,John Brown,WR,8,ARI,CLE,21,14,5800,9.9
99,13887,Travis Benjamin,WR,8,CLE,ARI,6,16,5300,9.8
100,13957,Kendall Wright,WR,8,TEN,HOU,27,20,5100,9.7
101,8564,Nate Washington,WR,8,HOU,TEN,8,13,3600,9.7
102,11270,Dez Bryant,WR,8,DAL,SEA,3,1,8000,9.4
103,4640,Reggie Bush,RB,8,SF,LA,5,17,3200,9.1
104,11488,Jimmy Graham,TE,8,SEA,DAL,15,5,5100,9.1
105,13870,Marvin Jones,WR,8,CIN,PIT,16,19,4200,9.1
106,1,Arizona Cardinals,DST,8,ARI,CLE,--,--,4000,9
107,32,Los Angeles Rams,DST,8,LA,SF,--,--,3200,9
108,14242,Rueben Randle,WR,8,NYG,NO,30,18,4200,9
109,722,Jason Witten,TE,8,DAL,SEA,3,31,5200,9
110,15215,Tavon Austin,WR,8,LA,SF,29,30,4600,8.9
111,2950,Steve Johnson,WR,8,SD,BAL,31,31,3200,8.8
112,12861,Jordan Cameron,TE,8,MIA,NE,16,8,3300,8.7
113,15126,Theo Riddick,RB,8,DET,KC,23,9,3400,8.5
114,12780,Shane Vereen,RB,8,NYG,NO,30,22,4100,8.4
115,204,Roddy White,WR,8,ATL,TB,22,29,3900,8.3
116,7635,Heath Miller,TE,8,PIT,CIN,13,9,2700,8.3
117,12109,Ted Ginn,WR,8,CAR,IND,28,27,3400,8.2
118,9906,Danny Amendola,WR,8,NE,MIA,17,21,3600,8.2
119,11756,Benjamin Watson,TE,8,NO,NYG,17,28,3500,8.2
120,16609,Charles Sims,RB,8,TB,ATL,11,29,3600,8.1
121,16451,Eric Ebron,TE,8,DET,KC,23,4,3100,8.1
122,90,Seattle Seahawks,DST,8,SEA,DAL,--,--,3700,8
123,5,Carolina Panthers,DST,8,CAR,IND,--,--,3200,8
124,82,New York Jets,DST,8,NYJ,OAK,--,--,2900,8
125,67,Minnesota Vikings,DST,8,MIN,CHI,--,--,3100,8
126,16189,Alfred Blue,RB,8,HOU,TEN,8,8,3500,8
127,10949,CJ Spiller,RB,8,NO,NYG,17,21,3000,7.8
128,7389,Eddie Royal,WR,8,CHI,MIN,7,7,3500,7.8
129,12506,James Starks,RB,8,GB,DEN,1,17,4300,7.5
130,11220,Dexter McCluster,RB,8,TEN,HOU,27,28,3400,7.4
131,8649,Rashad Jennings,RB,8,NYG,NO,30,22,3900,7.3
132,16815,Ameer Abdullah,RB,8,DET,KC,23,9,3900,7.3
133,12830,Torrey Smith,WR,8,SF,LA,5,5,4100,7.3
134,15020,CJ Anderson,RB,8,DEN,GB,9,11,4300,7.2
135,16470,Davante Adams,WR,8,GB,DEN,1,2,3900,7.2
136,2,Atlanta Falcons,DST,8,ATL,TB,--,--,3400,7
137,49,Denver Broncos,DST,8,DEN,GB,--,--,2900,7
138,55,Kansas City Chiefs,DST,8,KC,DET,--,--,2800,7
139,11,Detroit Lions,DST,8,DET,KC,--,--,2600,7
140,15088,Terrance Williams,WR,8,DAL,SEA,3,1,4100,7
141,5084,Vernon Davis,TE,8,SF,LA,5,12,2900,7
142,12722,Kamar Aiken,WR,8,BAL,SD,19,6,4200,6.9
143,16830,Tyler Lockett,WR,8,SEA,DAL,15,7,3000,6.9
144,14749,Jermaine Kearse,WR,8,SEA,DAL,15,7,3400,6.7
145,13878,Mohamed Sanu,WR,8,CIN,PIT,16,19,3200,6.7
146,5094,Marques Colston,WR,8,NO,NYG,17,12,3200,6.6
147,2429,Andre Johnson,WR,8,IND,CAR,5,5,4000,6.5
148,16776,Melvin Gordon,RB,8,SD,BAL,31,14,4000,6.4
149,13735,Chris Polk,RB,8,HOU,TEN,8,8,3000,6.4
150,8534,Jared Cook,TE,8,LA,SF,29,16,2600,6.4
151,16491,Richard Rodgers,TE,8,GB,DEN,1,15,3000,6.4
152,1810,Owen Daniels,TE,8,DEN,GB,9,23,2600,6.4
153,13997,Coby Fleener,TE,8,IND,CAR,5,8,2800,6.3
154,15224,Andre Ellington,RB,8,ARI,CLE,21,32,4300,6.1
155,852,Jacob Tamme,TE,8,ATL,TB,22,20,2700,6.1
156,12,Green Bay Packers,DST,8,GB,DEN,--,--,3300,6
157,21,New England Patriots,DST,8,NE,MIA,--,--,3000,6
158,16083,Crockett Gillmore,TE,8,BAL,SD,19,22,2500,6
159,13275,Kyle Rudolph,TE,8,MIN,CHI,20,6,3000,6
160,16129,Taylor Gabriel,WR,8,CLE,ARI,6,16,3000,6
161,8532,Kenny Britt,WR,8,LA,SF,29,30,3600,5.8
162,14978,Justin Hunter,WR,8,TEN,HOU,27,20,3000,5.5
163,17292,Donteea Dye,WR,8,TB,ATL,11,4,3000,5.4
164,16127,Isaiah Crowell,RB,8,CLE,ARI,6,7,3400,5.2
165,16308,Albert Wilson,WR,8,KC,DET,32,25,3000,5.2
166,16345,Branden Oliver,RB,8,SD,BAL,31,14,3000,5.1
167,14973,Markus Wheaton,WR,8,PIT,CIN,13,15,3000,5.1
