Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,11056,Antonio Brown,WR,16,PIT,BAL,21,32,9300,27.9
2,13320,Cam Newton,QB,16,CAR,ATL,11,9,7500,27.3
3,3807,Ben Roethlisberger,QB,16,PIT,BAL,21,26,6800,26.8
4,16245,Blake Bortles,QB,16,JAX,NO,32,32,6500,24.8
5,7242,Drew Brees,QB,16,NO,JAX,25,27,6800,22.9
6,13291,Julio Jones,WR,16,ATL,CAR,3,7,8300,21.4
7,14986,DeAndre Hopkins,WR,16,HOU,TEN,23,20,8400,20.9
8,14536,Russell Wilson,QB,16,SEA,LA,14,8,7200,20.5
9,16524,Devonta Freeman,RB,16,ATL,CAR,3,11,7400,20.5
10,16597,Mike Evans,WR,16,TB,CHI,15,11,7300,20.2
11,16568,Brandin Cooks,WR,16,NO,JAX,25,15,5900,19.6
12,16847,David Johnson,RB,16,ARI,GB,10,10,5800,19.5
13,11667,Brandon Marshall,WR,16,NYJ,NE,7,16,7600,19.4
14,10974,Rob Gronkowski,TE,16,NE,NYJ,6,3,7600,19.4
15,11197,Demaryius Thomas,WR,16,DEN,CIN,3,11,6800,19.4
16,16263,Allen Robinson,WR,16,JAX,NO,32,19,7500,19.2
17,5571,Larry Fitzgerald,WR,16,ARI,GB,10,13,7100,19.2
18,8914,Jeremy Maclin,WR,16,KC,CLE,28,28,6000,19.2
19,12722,Kamar Aiken,WR,16,BAL,PIT,18,31,5400,19.2
20,7580,DeAngelo Williams,RB,16,PIT,BAL,21,4,6500,19.1
21,2593,Aaron Rodgers,QB,16,GB,ARI,5,6,7000,19
22,11182,Eric Decker,WR,16,NYJ,NE,7,16,6500,19
23,11611,Golden Tate,WR,16,DET,SF,26,18,5800,19
24,9038,Matthew Stafford,QB,16,DET,SF,26,16,6100,19
25,4314,Tom Brady,QB,16,NE,NYJ,6,10,7500,19
26,16020,Jarvis Landry,WR,16,MIA,IND,27,27,6400,18.9
27,1658,Greg Olsen,TE,16,CAR,ATL,11,28,7000,18.9
28,12831,Tyrod Taylor,QB,16,BUF,DAL,12,11,5500,18.9
29,2428,Carson Palmer,QB,16,ARI,GB,10,12,7000,18.8
30,8244,Philip Rivers,QB,16,SD,OAK,23,19,5700,18.7
31,8283,Ryan Fitzpatrick,QB,16,NYJ,NE,7,5,5200,18.7
32,16146,Martavis Bryant,WR,16,PIT,BAL,21,32,5600,18.6
33,2699,Matt Forte,RB,16,CHI,TB,17,8,6500,18.4
34,3943,DeSean Jackson,WR,16,WAS,PHI,28,30,5000,18.4
35,16311,Derek Carr,QB,16,OAK,SD,16,13,5600,18.3
