"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"1B","Anthony Rizzo",5200,"PHI@CHC 08:05PM ET",9.96,"CHC","PHI",9.1,8.5,9.65,NA,"3",NA,NA
"3B","Kris Bryant",5000,"PHI@CHC 08:05PM ET",10.08,"CHC","PHI",8.28,8.3,9.86,NA,"2",NA,NA
"2B","Jose Altuve",4700,"TEX@HOU 08:10PM ET",9.4,"HOU","TEX",8.74,9.6,10.04,NA,"3",NA,NA
"OF","Ryan Braun",4600,"MIL@STL 08:15PM ET",9.92,"MIL","STL",8,6.5,7.85,NA,"3",NA,NA
"SS","Carlos Correa",4600,"TEX@HOU 08:10PM ET",6.652,"HOU","TEX",6.37,8.5,8.19,NA,"4",NA,NA
"1B","Eric Thames",4500,"MIL@STL 08:15PM ET",12.76,"MIL","STL",8.83,7.6,7.24,NA,"2",NA,NA
"2B","Brian Dozier",4400,"OAK@MIN 08:10PM ET",7.955,"MIN","OAK",8.28,7.8,9.42,NA,"1",NA,NA
"OF","Kyle Schwarber",4400,"PHI@CHC 08:05PM ET",6.64,"CHC","PHI",7.88,7.9,8.97,NA,"1",NA,NA
"OF","Dexter Fowler",4400,"MIL@STL 08:15PM ET",7.5,"STL","MIL",8.14,7.7,7.97,NA,"1",NA,NA
"1B","Jose Abreu",4300,"CWS@KC 08:15PM ET",6.783,"CWS","KC",NA,0,7.41,NA,"x",NA,NA
"OF","George Springer",4300,"TEX@HOU 08:10PM ET",8.565,"HOU","TEX",8.33,9.8,9.03,NA,"1",NA,NA
"3B","Todd Frazier",4200,"CWS@KC 08:15PM ET",7.526,"CWS","KC",6.3,7.2,7.25,NA,"4",NA,NA
"1B","Matt Carpenter",4200,"MIL@STL 08:15PM ET",7.25,"STL","MIL",9.23,8.1,8.48,NA,"3",NA,NA
"2B","Rougned Odor",4200,"TEX@HOU 08:10PM ET",6.038,"TEX","HOU",7.28,8.5,7.42,NA,"4",NA,NA
"3B","Miguel Sano",4100,"OAK@MIN 08:10PM ET",11.348,"MIN","OAK",8.49,7.7,8.78,NA,"3",NA,NA
"2B/OF","Ben Zobrist",4100,"PHI@CHC 08:05PM ET",6.818,"CHC","PHI",7.03,6.8,8.15,NA,"4",NA,NA
"2B","Jonathan Villar",4100,"MIL@STL 08:15PM ET",7.963,"MIL","STL",7.4,7.3,7.87,NA,"1",NA,NA
"SS","Aledmys Diaz",4100,"MIL@STL 08:15PM ET",6.833,"STL","MIL",7.27,7.8,8.34,NA,"2",NA,NA
"OF","Stephen Piscotty",4100,"MIL@STL 08:15PM ET",6.696,"STL","MIL",7.91,6.6,7.36,NA,"5",NA,NA
"OF","Shin-Soo Choo",4100,"TEX@HOU 08:10PM ET",7.591,"TEX","HOU",7.16,8.2,7.72,NA,"2",NA,NA
"3B","Adrian Beltre",4000,"TEX@HOU 08:10PM ET",0,"TEX","HOU",NA,0,NA,NA,"x",NA,NA
"OF","Khris Davis",3900,"OAK@MIN 08:10PM ET",10.208,"OAK","MIN",7.44,7.7,8.17,NA,"5",NA,NA
"C","Jonathan Lucroy",3900,"TEX@HOU 08:10PM ET",4.333,"TEX","HOU",5.86,6.6,6.14,NA,"9",NA,NA
"3B/SS","Alex Bregman",3900,"TEX@HOU 08:10PM ET",5.52,"HOU","TEX",5.98,7.5,8.27,NA,"6",NA,NA
"OF","Melky Cabrera",3800,"CWS@KC 08:15PM ET",6.048,"CWS","KC",5.71,6.6,7.31,NA,"3",NA,NA
"OF","Lorenzo Cain",3800,"CWS@KC 08:15PM ET",7.348,"KC","CWS",6.77,8.5,8.58,NA,"2",NA,NA
"OF","Max Kepler",3800,"OAK@MIN 08:10PM ET",7.591,"MIN","OAK",8.33,7.4,8.13,NA,"2",NA,NA
"OF","Randal Grichuk",3800,"MIL@STL 08:15PM ET",6.72,"STL","MIL",5.92,6.5,6.84,NA,"7",NA,NA
"C","Evan Gattis",3800,"TEX@HOU 08:10PM ET",7.778,"HOU","TEX",6.47,8,7.69,NA,"5",NA,NA
"1B","Mike Napoli",3800,"TEX@HOU 08:10PM ET",5.48,"TEX","HOU",6.67,7.2,7.4,NA,"5",NA,NA
"OF","Carlos Gomez",3800,"TEX@HOU 08:10PM ET",7.808,"TEX","HOU",7.86,8.1,7.44,NA,"3",NA,NA
"1B","Eric Hosmer",3700,"CWS@KC 08:15PM ET",5.25,"KC","CWS",5.22,7.3,7.59,NA,"3",NA,NA
"1B","Joe Mauer",3700,"OAK@MIN 08:10PM ET",5.048,"MIN","OAK",5.73,6.1,7.09,NA,"4",NA,NA
"OF","Rajai Davis",3700,"OAK@MIN 08:10PM ET",6.6,"OAK","MIN",6.09,7.8,NA,NA,"1",NA,NA
"2B","Javier Baez",3700,"PHI@CHC 08:05PM ET",5.048,"CHC","PHI",5.67,6.1,6.41,NA,"7",NA,NA
"OF","Jason Heyward",3700,"PHI@CHC 08:05PM ET",7.125,"CHC","PHI",7.01,6.9,7.06,NA,"5",NA,NA
"2B/3B","Jedd Gyorko",3700,"MIL@STL 08:15PM ET",9.6,"STL","MIL",6.96,6.6,7.56,NA,"4",NA,NA
"SS","Elvis Andrus",3700,"TEX@HOU 08:10PM ET",7.96,"TEX","HOU",6.1,6.8,7.04,NA,"7",NA,NA
"OF","Carlos Beltran",3700,"TEX@HOU 08:10PM ET",5.208,"HOU","TEX",6,7.8,7.55,NA,"2",NA,NA
"1B","Kennys Vargas",3600,"OAK@MIN 08:10PM ET",7.8,"MIN","OAK",6.59,6.4,1.7,NA,"5",NA,NA
"OF","Robbie Grossman",3600,"OAK@MIN 08:10PM ET",6.684,"MIN","OAK",6.4,0,6.9,NA,"x",NA,NA
"C","Willson Contreras",3600,"PHI@CHC 08:05PM ET",5.667,"CHC","PHI",6.49,6.3,7,NA,"6",NA,NA
"3B","Maikel Franco",3600,"PHI@CHC 08:05PM ET",7.042,"PHI","CHC",5.9,6.3,7.07,NA,"4",NA,NA
"SS","Addison Russell",3600,"PHI@CHC 08:05PM ET",7.75,"CHC","PHI",7.27,0,7.53,NA,"x",NA,NA
"OF","Odubel Herrera",3600,"PHI@CHC 08:05PM ET",7.417,"PHI","CHC",5.61,5.7,8.04,NA,"3",NA,NA
"OF","Nomar Mazara",3600,"TEX@HOU 08:10PM ET",7.56,"TEX","HOU",6.07,7,7.65,NA,"8",NA,NA
"3B","Mike Moustakas",3500,"CWS@KC 08:15PM ET",7.957,"KC","CWS",5.31,7.5,1.78,NA,"1",NA,NA
"SS","Tim Anderson",3500,"CWS@KC 08:15PM ET",5.913,"CWS","KC",NA,7.1,7.44,NA,"2",NA,NA
"OF","Alex Gordon",3500,"CWS@KC 08:15PM ET",4.292,"KC","CWS",4.8,6.5,7.55,NA,"5",NA,NA
