"Anthony Rizzo_CHC","Charlie Blackmon_COL","Kris Bryant_CHC","Nolan Arenado_COL","Ian Desmond_COL","Kyle Schwarber_CHC","Ben Zobrist_CHC","Javier Baez_CHC","David Dahl_COL","Trevor Story_COL","Willson Contreras_CHC","Jason Heyward_CHC","Addison Russell_CHC","DJ LeMahieu_COL","Carlos Gonzalez_COL","Wil Myers_SD","Albert Almora_CHC","Mark Reynolds_COL","Rougned Odor_TEX","Miguel Montero_CHC","Jon Jay_CHC","Shin-Soo Choo_TEX","Adrian Beltre_TEX","Pat Valaika_COL","Gerardo Parra_COL","Ian Happ_CHC","Mike Napoli_TEX","Carlos Gomez_TEX","Tommy La Stella_CHC","Elvis Andrus_TEX","Joey Gallo_TEX","Ryan Schimpf_SD","Nomar Mazara_TEX","Stephen Cardullo_COL","Raimel Tapia_COL","Matt Szczur_SD","Jonathan Lucroy_TEX","Yangervis Solarte_SD","Dustin Garneau_COL","Delino DeShields_TEX","Manuel Margot_SD","Tom Murphy_COL","Alex Dickerson_SD","Hunter Renfroe_SD","Jurickson Profar_TEX","Cory Spangenberg_SD","Robinson Chirinos_TEX","Travis Jankowski_SD","Tony Wolters_COL","Eloy Jimenez_CHC","Pete Kozma_TEX","Brett Nicholas_TEX","Ryan Rua_TEX","Ryan Hanigan_COL","Cristhian Adames_COL","Christian Bethancourt_SD","Austin Hedges_SD","Alexi Amarista_COL","Erick Aybar_SD","Hanser Alberto_TEX","Luis Sardinas_SD","Allen Cordoba_SD","Jabari Blash_SD","Hector Sanchez_SD","Drew Robinson_TEX","Luis Torrens_SD"
28,0,28,0,0,26,21,20,0,0,20,24,26,0,0,0,12,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,29,0,28,6,0,0,0,0,26,0,0,0,27,26,0,0,26,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
28,0,28,0,0,26,21,20,0,0,20,24,26,0,0,0,12,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28,0,28,5,0,0,0,0,25,0,0,0,26,25,0,0,25,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,6,0,5,6,0,0,0,0,4,0,0,0,6,5,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
26,0,26,0,0,26,21,18,0,0,19,24,24,0,0,0,10,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,21,0,0,21,21,13,0,0,14,19,19,0,0,0,6,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,20,0,0,18,13,20,0,0,16,16,18,0,0,0,8,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26,0,25,4,0,0,0,0,26,0,0,0,24,23,0,0,24,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
20,0,20,0,0,19,14,16,0,0,20,17,19,0,0,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
