"Anthony Rizzo_CHC","Charlie Blackmon_COL","Kris Bryant_CHC","Nolan Arenado_COL","Ian Desmond_COL","Kyle Schwarber_CHC","Ben Zobrist_CHC","Javier Baez_CHC","David Dahl_COL","Trevor Story_COL","Willson Contreras_CHC","Jason Heyward_CHC","Addison Russell_CHC","DJ LeMahieu_COL","Carlos Gonzalez_COL","Wil Myers_SD","Albert Almora_CHC","Mark Reynolds_COL","Rougned Odor_TEX","Miguel Montero_CHC","Jon Jay_CHC","Shin-Soo Choo_TEX","Adrian Beltre_TEX","Pat Valaika_COL","Gerardo Parra_COL","Ian Happ_CHC","Mike Napoli_TEX","Carlos Gomez_TEX","Tommy La Stella_CHC","Elvis Andrus_TEX","Joey Gallo_TEX","Ryan Schimpf_SD","Nomar Mazara_TEX","Stephen Cardullo_COL","Raimel Tapia_COL","Matt Szczur_SD","Jonathan Lucroy_TEX","Yangervis Solarte_SD","Dustin Garneau_COL","Delino DeShields_TEX","Manuel Margot_SD","Tom Murphy_COL","Alex Dickerson_SD","Hunter Renfroe_SD","Jurickson Profar_TEX","Cory Spangenberg_SD","Robinson Chirinos_TEX","Travis Jankowski_SD","Tony Wolters_COL","Eloy Jimenez_CHC","Pete Kozma_TEX","Brett Nicholas_TEX","Ryan Rua_TEX","Ryan Hanigan_COL","Cristhian Adames_COL","Christian Bethancourt_SD","Austin Hedges_SD","Alexi Amarista_COL","Erick Aybar_SD","Hanser Alberto_TEX","Luis Sardinas_SD","Allen Cordoba_SD","Jabari Blash_SD","Hector Sanchez_SD","Drew Robinson_TEX","Luis Torrens_SD"
4.02153846153846,0,24.1661538461538,0,0,11.3242753623188,18.8859649122807,-11.8725490196078,0,0,6.79824561403509,12.2857142857143,63.9261538461538,0,0,0,29.5909090909091,0,0,8.73809523809524,-7.34444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.77350427350427,0,-5.46153846153846,46,0,0,0,0,3.23913043478261,0,0,0,37.4301994301994,4.18115942028986,0,0,13.5271739130435,0,0,0,0,0,0,-6.73529411764706,0,0,0,0,0,0,0,0,2.5,0,0,0,0,7.57575757575758,0,0,0,0,0,0,0,0,0,0.0879120879120879,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
0,17.3415384615385,0,-3.54333333333333,9.6,0,0,0,0,6.01383399209486,0,0,0,4.18115942028986,20.7461538461538,0,0,0.0474308300395257,0,0,0,0,0,-75,9.14338235294118,0,0,0,0,0,0,0,0,-7.66666666666667,0,0,0,0,0.722222222222222,0,0,0,0,0,0,0,0,0,11.2142857142857,0,0,0,0,0,0,0,0,-4.33333333333333,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.25692307692308,0,0,0,0,0,6.09425287356322,0,0,6.41995073891626,0,0,1.46674876847291,0,-21.4285714285714,0,-8.87179487179487,0,0,0,0,0,0,0,0,7.5,0,-4.33760683760684,0,10.5,-7.9,-12.6428571428571,0,0,19.3333333333333
-14.0909090909091,0,19.8181818181818,0,0,1.42222222222222,20.9333333333333,-7,0,0,-5.20833333333333,-9.55555555555556,29.5909090909091,0,0,0,39.1818181818182,0,0,-6.5,-5.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13.1861538461538,0,2.10833333333333,-21.0833333333333,0,0,0,0,13.7246376811594,0,0,0,13.5271739130435,0.0474308300395257,0,0,80.2046153846154,0,0,0,0,0,69,3.95588235294118,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.672727272727273,0,0,0,0,0,0,0,0,0,9.77472527472528,0,0,0,0,0,0,0,0,31.5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9655913978495,0,0,14.988603988604,0,0,0,0,3.98645320197044,33.8252873563218,0,3.10344827586207,-1.36436781609195,0,16.5899470899471,0,0,0,0.372294372294372,0,0,15.3666666666667,0,0,0,0,-2.57575757575758,0,-26,0,0,0,0,0,18.4679487179487,0,0,0,0,0,0,0,0,0,0,0,0,0
5.17857142857143,0,32.5178571428571,0,0,36.1666666666667,-15.3333333333333,-15.8333333333333,0,0,0,-2.16666666666667,8.73809523809524,0,0,0,-6.5,0,0,56.5535714285714,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.4318181818182,0,15.7045454545455,0,0,10.6888888888889,-5.73611111111111,-14.4,0,0,0.0714285714285714,1.5,-7.34444444444444,0,0,0,-5.33333333333333,0,0,44.4,22.9318181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.988603988604,0,0,68.7891737891738,0,0,0,0,-15.645,20.1846153846154,0,-5.93846153846154,0.587692307692308,0,27.4057971014493,0,0,0,5.7719298245614,0,0,49.7878787878788,0,0,0,0,12.3030303030303,0,2.53571428571429,0,0,0,0,0,60.75,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54,0,15,0,0,0,0,0,-3,0,0,0,0,-75,0,0,69,0,0,0,0,0,57,15,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17.8315789473684,0,1.31578947368421,-32.1666666666667,0,0,0,0,3.88235294117647,0,0,0,-6.73529411764706,9.14338235294118,0,0,3.95588235294118,0,0,0,0,0,15,46.0105263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33333333333333,0,0,0,0,0,0,0,0,0,7.99358974358974,0,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98645320197044,0,0,-15.645,0,0,0,0,36.1477832512315,-3.81481481481481,0,1.6521164021164,1.99074074074074,0,-12.7369230769231,0,0,0,-1.24675324675325,0,0,-5.28571428571429,0,0,0,0,-4.18181818181818,0,-15,0,0,0,0,0,-15.3272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8252873563218,0,0,20.1846153846154,0,0,0,0,-3.81481481481481,67.9091954022988,0,0.568965517241379,-2.97660098522167,0,29.3931623931624,0,0,0,-5.21666666666667,0,0,18.1857142857143,0,0,0,0,4.15909090909091,0,-14.0416666666667,0,0,0,0,0,22.3409090909091,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10344827586207,0,0,-5.93846153846154,0,0,0,0,1.6521164021164,0.568965517241379,0,53.8850574712644,2.77093596059113,0,14.8461538461538,0,0,0,18.7229437229437,0,0,20.0571428571429,0,0,0,0,5.59090909090909,0,20.1428571428571,0,0,0,0,0,14.3012820512821,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.36436781609195,0,0,0.587692307692308,0,0,0,0,1.99074074074074,-2.97660098522167,0,2.77093596059113,75.0816091954023,0,-6.74603174603175,0,0,0,9.26666666666667,0,0,11.0238095238095,0,0,0,0,2.26515151515152,0,48.7222222222222,0,0,0,0,0,30.5909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.25692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5184615384615,0,0,0,0,0,3.97538461538462,0,0,2.65833333333333,0,0,-11.8166666666667,0,14.8,0,-2.08333333333333,0,0,0,0,0,0,0,0,-2.19480519480519,0,-3.8695652173913,0,0,1.16666666666667,-2.1,0,0,-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5899470899471,0,0,27.4057971014493,0,0,0,0,-12.7369230769231,29.3931623931624,0,14.8461538461538,-6.74603174603175,0,77.9523809523809,0,0,0,21.0421052631579,0,0,4.67948717948718,0,0,0,0,14.9545454545455,0,2.5,0,0,0,0,0,3.66363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0
