P,P,C,1B,2B,3B,SS,OF,OF,OF
Jacob deGrom,Nick Martinez,Luke Maile,Anthony Rizzo,Javier Baez,Kris Bryant,Jordy Mercer,Kyle Schwarber,Albert Almora,Kevin Pillar
Trevor Cahill,Nate Karns,Miguel Montero,Anthony Rizzo,Ben Zobrist,Kris Bryant,Wilmer Difo,Billy Hamilton,Christian Yelich,Joc Pederson
Jacob deGrom,Blake Snell,Miguel Montero,Anthony Rizzo,Ben Zobrist,Kris Bryant,Andrelton Simmons,Ben Revere,Tommy Pham,Jose Osuna
Marcus Stroman,Trevor Cahill,Caleb Joseph,Anthony Rizzo,Ben Zobrist,Kris Bryant,Wilmer Difo,Kyle Schwarber,Aaron Hicks,Kevin Pillar
Masahiro Tanaka,Gio Gonzalez,Miguel Montero,Anthony Rizzo,Ben Zobrist,Kris Bryant,Wilmer Difo,Corey Dickerson,Andrew Toles,Matt Joyce
Gio Gonzalez,Nate Karns,Yasmani Grandal,Anthony Rizzo,Chris Taylor,Kris Bryant,Aledmys Diaz,Kyle Schwarber,Yasiel Puig,Joc Pederson
Marcus Stroman,Nate Karns,Miguel Montero,Anthony Rizzo,Ben Zobrist,Kris Bryant,Ronald Torreyes,Bryce Harper,Tommy Pham,Jaff Decker
Jacob deGrom,Nate Karns,Luke Maile,Kendrys Morales,Dee Gordon,Kris Bryant,Corey Seager,Kyle Schwarber,Jose Bautista,Kevin Pillar
Marcus Stroman,Nate Karns,Salvador Perez,Anthony Rizzo,Jedd Gyorko,Kris Bryant,Jordy Mercer,Kyle Schwarber,Albert Almora,Joey Rickard
Jacob deGrom,Nate Karns,Martin Maldonado,Anthony Rizzo,Cliff Pennington,Kris Bryant,Corey Seager,Kyle Schwarber,Cameron Maybin,Ben Revere
Masahiro Tanaka,Nate Karns,Luke Maile,Anthony Rizzo,Dee Gordon,Kris Bryant,Francisco Lindor,Kyle Schwarber,Albert Almora,Matt Joyce
Jacob deGrom,Nate Karns,Roberto Perez,Carlos Santana,Javier Baez,Kris Bryant,Francisco Lindor,Kyle Schwarber,Abraham Almonte,Andrew Toles
Marcus Stroman,Gio Gonzalez,Yasmani Grandal,Anthony Rizzo,Whit Merrifield,Kris Bryant,Andrelton Simmons,Kyle Schwarber,Albert Almora,Jaff Decker
Trevor Bauer,Nate Karns,Gary Sanchez,Anthony Rizzo,Ben Zobrist,Kris Bryant,Ronald Torreyes,Kyle Schwarber,Manuel Margot,Lonnie Chisenhall
Masahiro Tanaka,Nick Martinez,Salvador Perez,Anthony Rizzo,Ben Zobrist,Kris Bryant,Corey Seager,Kyle Schwarber,Alex Gordon,Kevin Pillar
Gio Gonzalez,Matt Moore,Luke Maile,Anthony Rizzo,Ben Zobrist,Kris Bryant,Corey Seager,Kyle Schwarber,Aaron Hicks,Matt Joyce
Trevor Bauer,Jake Arrieta,Miguel Montero,Anthony Rizzo,Ben Zobrist,Kris Bryant,Aledmys Diaz,Kyle Schwarber,Tommy Pham,Matt Joyce
Jacob deGrom,Nate Karns,Caleb Joseph,Anthony Rizzo,Jonathan Schoop,Kris Bryant,JJ Hardy,Kyle Schwarber,Jorge Soler,Joey Rickard
Jacob deGrom,Blake Snell,Derek Norris,Anthony Rizzo,Brad Miller,Evan Longoria,Corey Seager,Kyle Schwarber,Corey Dickerson,Andrew Toles
Marcus Stroman,Blake Snell,Yadier Molina,Anthony Rizzo,Jed Lowrie,Kris Bryant,Corey Seager,Kyle Schwarber,Albert Almora,Matt Joyce
