P,P,C,1B,2B,3B,SS,OF,OF,OF
Max Scherzer,Kevin Gausman,Matt Wieters,Anthony Rizzo,Jonathan Villar,Anthony Rendon,Aledmys Diaz,Ryan Braun,Domingo Santana,Jaff Decker
Max Scherzer,Kevin Gausman,Miguel Montero,Brandon Belt,Jonathan Villar,Mike Moustakas,Orlando Arcia,Ryan Braun,Kyle Schwarber,Michael Conforto
Max Scherzer,Brian Johnson,Miguel Montero,Anthony Rizzo,Ben Zobrist,Kris Bryant,Brandon Crawford,Bryce Harper,Keon Broxton,Domingo Santana
Yu Darvish,Mike Foltynewicz,Salvador Perez,Anthony Rizzo,Jonathan Villar,Mike Moustakas,Troy Tulowitzki,Ryan Braun,Kyle Schwarber,Domingo Santana
Yu Darvish,Luis Severino,Manny Pina,Albert Pujols,Daniel Murphy,Kris Bryant,Orlando Arcia,Mike Trout,Ryan Braun,Domingo Santana
Yu Darvish,Luis Severino,Salvador Perez,Anthony Rizzo,Daniel Murphy,Anthony Rendon,Aledmys Diaz,Ryan Braun,Kyle Schwarber,Jason Heyward
Yu Darvish,Matt Andriese,Manny Pina,Albert Pujols,Jonathan Villar,Kris Bryant,Andrelton Simmons,Bryce Harper,Ryan Braun,Kyle Schwarber
Max Scherzer,Brian Johnson,Salvador Perez,Anthony Rizzo,Daniel Murphy,Anthony Rendon,Orlando Arcia,Bryce Harper,Ryan Braun,Josh Reddick
Max Scherzer,Luis Severino,Salvador Perez,Eric Thames,Jonathan Villar,Yunel Escobar,Orlando Arcia,Ryan Braun,Kyle Schwarber,Adam Eaton
Yu Darvish,Shelby Miller,Miguel Montero,Anthony Rizzo,Jonathan Villar,Kris Bryant,Orlando Arcia,Keon Broxton,Domingo Santana,Josh Reddick
Max Scherzer,Kevin Gausman,Manny Pina,Victor Martinez,Jonathan Villar,Anthony Rendon,Brandon Crawford,Ryan Braun,Kyle Schwarber,Josh Reddick
Max Scherzer,Luis Severino,Manny Pina,Brandon Belt,Cesar Hernandez,Kris Bryant,Andrelton Simmons,Bryce Harper,Ryan Braun,Domingo Santana
Max Scherzer,Brian Johnson,Francisco Cervelli,Anthony Rizzo,Jonathan Villar,Anthony Rendon,Brandon Crawford,Mike Trout,Ryan Braun,Keon Broxton
Max Scherzer,Brian Johnson,Brian McCann,Eric Thames,Daniel Murphy,Kris Bryant,Asdrubal Cabrera,Ryan Braun,Kyle Schwarber,Keon Broxton
Max Scherzer,Matt Andriese,Miguel Montero,Anthony Rizzo,Wilmer Difo,Kris Bryant,Andrelton Simmons,Ryan Braun,Kyle Schwarber,Josh Reddick
Max Scherzer,Matt Andriese,Miguel Montero,Albert Pujols,Jonathan Villar,Yunel Escobar,Troy Tulowitzki,Ryan Braun,Kyle Schwarber,Domingo Santana
Max Scherzer,Brian Johnson,Matt Wieters,Anthony Rizzo,Javier Baez,Mike Moustakas,Aledmys Diaz,Mike Trout,Ryan Braun,Kyle Schwarber
Max Scherzer,Brian Johnson,Miguel Montero,Chris Davis,Adam Frazier,Kris Bryant,Aledmys Diaz,Mike Trout,Kyle Schwarber,Domingo Santana
Yu Darvish,Kevin Gausman,Miguel Montero,Anthony Rizzo,Ben Zobrist,Eduardo Nunez,Orlando Arcia,Ryan Braun,Kyle Schwarber,Domingo Santana
Max Scherzer,Mike Foltynewicz,Alex Avila,Victor Martinez,Jonathan Villar,Eduardo Nunez,Aledmys Diaz,Ryan Braun,Kyle Schwarber,Domingo Santana
Max Scherzer,Luis Severino,Manny Pina,Anthony Rizzo,Daniel Murphy,Kris Bryant,Brandon Crawford,Ryan Braun,Jason Heyward,Jaff Decker
Yu Darvish,Kevin Gausman,Francisco Cervelli,Albert Pujols,Jonathan Villar,Anthony Rendon,Francisco Lindor,Ryan Braun,Kyle Schwarber,Domingo Santana
Yu Darvish,Luis Severino,Alex Avila,Albert Pujols,Ben Zobrist,Kris Bryant,Francisco Lindor,Ryan Braun,Kyle Schwarber,Jason Heyward
Max Scherzer,Brian Johnson,Brian McCann,Anthony Rizzo,Ben Zobrist,Anthony Rendon,Francisco Lindor,Ryan Braun,Kyle Schwarber,Jason Heyward
Max Scherzer,Brian Johnson,Matt Wieters,Albert Pujols,Jonathan Villar,Kris Bryant,Brandon Crawford,Bryce Harper,Kyle Schwarber,Adam Eaton
Yu Darvish,Luis Severino,Miguel Montero,Anthony Rizzo,Jose Altuve,Kris Bryant,Orlando Arcia,Ryan Braun,Adam Eaton,Jason Heyward
Max Scherzer,Kevin Gausman,Salvador Perez,Eric Thames,Cesar Hernandez,Mike Moustakas,Aledmys Diaz,Ryan Braun,Kyle Schwarber,Domingo Santana
Max Scherzer,Brian Johnson,Brian McCann,Albert Pujols,Jonathan Villar,Mike Moustakas,Orlando Arcia,Mike Trout,Bryce Harper,Ryan Braun
Max Scherzer,Matt Andriese,Salvador Perez,Anthony Rizzo,Jonathan Villar,Anthony Rendon,Brandon Crawford,Kyle Schwarber,Domingo Santana,Jason Heyward
Yu Darvish,Shelby Miller,Brian McCann,Anthony Rizzo,Cesar Hernandez,Kris Bryant,Dansby Swanson,Ryan Braun,Kyle Schwarber,Domingo Santana
