"Mike Trout_LAA","Corey Seager_LAD","Starling Marte_PIT","Khris Davis_OAK","Andrew McCutchen_PIT","Gregory Polanco_PIT","Albert Pujols_LAA","Rajai Davis_OAK","Yasiel Puig_LAD","Ryon Healy_OAK","Logan Forsythe_LAD","Joc Pederson_LAD","Kole Calhoun_LAA","Justin Turner_LAD","Yasmani Grandal_LAD","Cody Bellinger_LAD","Cameron Maybin_LAA","Marcus Semien_OAK","CJ Cron_LAA","Adrian Gonzalez_LAD","Trevor Plouffe_OAK","Luis Valbuena_LAA","Chase Utley_LAD","Franklin Gutierrez_LAD","Josh Harrison_PIT","Josh Bell_PIT","Stephen Vogt_OAK","Jefry Marte_LAA","Alen Hanson_PIT","Chris Taylor_LAD","Yunel Escobar_LAA","Ben Revere_LAA","Josh Phegley_OAK","Mark Canha_OAK","Trayce Thompson_LAD","Andrew Toles_LAD","Austin Barnes_LAD","Yonder Alonso_OAK","Andrelton Simmons_LAA","Rob Segedin_LAD","Jed Lowrie_OAK","Danny Espinosa_LAA","Andre Ethier_LAD","Francisco Cervelli_PIT","David Freese_PIT","Jordy Mercer_PIT","Adam Frazier_PIT","Jake Smolinski_OAK","Ryan LaMarre_OAK","John Jaso_PIT","Scott Van Slyke_LAD","Danny Ortiz_PIT","Kike Hernandez_LAD","Kevin Newman_PIT","Bruce Maxwell_OAK","Jose Osuna_PIT","Matt Joyce_OAK","Adam Rosales_OAK","Elias Diaz_PIT","Phil Gosselin_PIT","Max Moroff_PIT","Martin Maldonado_LAA","Juan Graterol_LAA","Chad Pinder_OAK","Gift Ngoepe_PIT","Jaff Decker_OAK","Carlos Perez_LAA","Chris Stewart_PIT","Brett Eibner_LAD","John Bormann_PIT","Cliff Pennington_LAA","Matt Olson_OAK"
27,0,0,0,0,0,26,0,0,0,0,0,25,0,0,0,19,0,13,0,0,0,0,0,0,0,0,15,0,0,26,10,0,0,0,0,0,0,26,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,3,0,0,0,4,0
0,27,0,0,0,0,0,0,26,0,11,12,0,24,22,10,0,0,0,21,0,0,12,4,0,0,0,0,0,6,0,0,0,0,2,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,28,0,0,0,16,0,25,0,0,0,0,0,0,0,9,0,0,26,0,0,0,0,0,19,0,0,0,0,0,8,4,0,0,0,22,0,0,26,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,21,21,0,0,0,0,0,8,0,12,0,0,0,0,0,0
0,0,11,0,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,26,11,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
0,0,7,0,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,23,7,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
26,0,0,0,0,0,29,0,0,0,0,0,27,0,0,0,22,0,12,0,0,3,0,0,0,0,0,15,0,0,28,12,0,0,0,0,0,0,28,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,3,0,0,0,5,0
0,0,0,16,0,0,0,16,0,14,0,0,0,0,0,0,0,9,0,0,15,0,0,0,0,0,10,0,0,0,0,0,5,4,0,0,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,10,0,0,0,0,0,4,0,2,0,0,0,0,0,0
0,26,0,0,0,0,0,0,28,0,11,13,0,25,22,10,0,0,0,21,0,0,11,4,0,0,0,0,0,8,0,0,0,0,2,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,25,0,0,0,14,0,26,0,0,0,0,0,0,0,9,0,0,24,0,0,0,0,0,17,0,0,0,0,0,8,4,0,0,0,20,0,0,24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,19,0,0,0,0,0,8,0,12,0,0,0,0,0,0
0,11,0,0,0,0,0,0,11,0,11,6,0,10,8,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,0,0,0,0,0,0,13,0,6,13,0,12,11,2,0,0,0,10,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,27,0,0,0,0,0,28,0,0,0,20,0,12,0,0,3,0,0,0,0,0,14,0,0,27,12,0,0,0,0,0,0,27,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,3,0,0,0,5,0
0,24,0,0,0,0,0,0,25,0,10,12,0,26,20,10,0,0,0,19,0,0,10,4,0,0,0,0,0,6,0,0,0,0,2,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,0,0,0,0,0,0,22,0,8,11,0,20,23,9,0,0,0,19,0,0,12,2,0,0,0,0,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,0,0,0,10,0,0,2,0,10,9,11,0,0,0,7,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,22,0,0,0,0,0,20,0,0,0,22,0,7,0,0,2,0,0,0,0,0,13,0,0,22,5,0,0,0,0,0,0,22,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0
0,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,7,0,0,0,0,0,2,4,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,7,0,13,0,0,0,0,0,0,0,0,3,0,0,12,6,0,0,0,0,0,0,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,2,0,0,0,3,0
0,21,0,0,0,0,0,0,21,0,9,10,0,19,19,7,0,0,0,22,0,0,11,3,0,0,0,0,0,4,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,26,0,0,0,15,0,24,0,0,0,0,0,0,0,8,0,0,27,0,0,0,0,0,18,0,0,0,0,0,8,3,0,0,0,21,0,0,25,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,20,21,0,0,0,0,0,7,0,12,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
0,12,0,0,0,0,0,0,11,0,0,6,0,10,12,6,0,0,0,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,4,0,3,0,0,4,2,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,0,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,23,8,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
0,0,9,0,25,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,24,9,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
0,0,0,19,0,0,0,10,0,17,0,0,0,0,0,0,0,7,0,0,18,0,0,0,0,0,20,0,0,0,0,0,0,2,0,0,0,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,0,0,0,0,0,2,0,9,0,0,0,0,0,0
15,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,13,0,3,0,0,0,0,0,0,0,0,16,0,0,15,5,0,0,0,0,0,0,16,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,8,0,0,2,0,6,5,6,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,28,0,0,0,0,0,27,0,0,0,22,0,12,0,0,3,0,0,0,0,0,15,0,0,29,12,0,0,0,0,0,0,28,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,3,0,0,0,4,0
10,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,5,0,6,0,0,3,0,0,0,0,0,5,0,0,12,13,0,0,0,0,0,0,12,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,2,0,0,0,5,0
0,0,0,8,0,0,0,5,0,8,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,5,0,4,0,0,0,0,0,0
0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,0,0,0,0,0,0,16,0,4,10,0,15,17,8,0,0,0,15,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,6,0,3,2,0,6,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,22,0,0,0,12,0,20,0,0,0,0,0,0,0,6,0,0,21,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,23,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,16,0,0,0,0,0,5,0,11,0,0,0,0,0,0
26,0,0,0,0,0,28,0,0,0,0,0,27,0,0,0,22,0,12,0,0,3,0,0,0,0,0,16,0,0,28,12,0,0,0,0,0,0,29,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,2,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,26,0,0,0,14,0,24,0,0,0,0,0,0,0,9,0,0,25,0,0,0,0,0,20,0,0,0,0,0,6,4,0,0,0,21,0,0,27,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,21,20,0,0,0,0,0,6,0,12,0,0,0,0,0,0
24,0,0,0,0,0,25,0,0,0,0,0,24,0,0,0,21,0,11,0,0,0,0,0,0,0,0,15,0,0,26,9,0,0,0,0,0,0,25,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
