"Player.Name","Pos","Salary","Team","Opp","Proj.FP","Actual.FP","Ownership.Pctg"
"Alex Collins","RB",3000,"SEA","SF",5,5.1,0.00204191229169942
"Rod Streater","WR",3000,"SF","@SEA",3.4,2.9,0.000816764916679769
"Paul Richardson","WR",3000,"SEA","SF",2.3,0,0.00571735441675838
"Tanner McEvoy","WR",3000,"SEA","SF",0,0,0.000816764916679769
"Aaron Burbridge","WR",3000,"SF","@SEA",1.3,0,0.00163352983335954
"Jimmy Graham","TE",3000,"SEA","SF",9.8,24,3.04469541815301
"Anthony Sherman","RB",3000,"KC","NYJ",0,1.3,0.00122514737501965
"Knile Davis","RB",3000,"KC","NYJ",0,0,0.000816764916679769
"Troymaine Pope","RB",3000,"NYJ","@KC",0,0,0.000204191229169942
"Julian Howsare","RB",3000,"NYJ","@KC",0,0,0
"Albert Wilson","WR",3000,"KC","NYJ",5.1,0,0.00469639827090867
"Charone Peake","WR",3000,"NYJ","@KC",0,0,0.000204191229169942
"De'Anthony Thomas","WR",3000,"KC","NYJ",0,0,0.0014293386041896
"Robby Anderson","WR",3000,"NYJ","@KC",5.2,5.4,0.00204191229169942
"Demarcus Robinson","WR",3000,"KC","NYJ",0,0,0.000612573687509827
"Jalin Marshall","WR",3000,"NYJ","@KC",6.8,2.9,0.0102095614584971
"Tyreek Hill","WR",3000,"KC","NYJ",0,5.3,0.017764636937785
"Robert Turbin","RB",3000,"IND","SD",3,6.9,0.00551316318758844
"Jordan Todman","RB",3000,"IND","SD",0,0,0.000408382458339884
"Andre Williams","RB",3000,"SD","@IND",2.2,0,0.00551316318758844
"Josh Ferguson","RB",3000,"IND","SD",3.2,6.1,0.0275658159379422
"Derek Watt","RB",3000,"SD","@IND",0,1.6,0.000408382458339884
"Kenneth Farrow","RB",3000,"SD","@IND",5.1,0,0.0191939755419746
"Isaiah Burse","WR",3000,"SD","@IND",1.9,0,0.0014293386041896
"Quan Bray","WR",3000,"IND","SD",2.9,0,0.00735088425011792
"Jonathan Grimes","RB",3000,"HOU","@NE",0,5.9,0
"Kenjon Barner","RB",3000,"PHI","PIT",2.2,10.2,0.00183772106252948
"Fitzgerald Toussaint","RB",3000,"PIT","@PHI",4.4,0,0.00306286843754913
"Roosevelt Nix","RB",3000,"PIT","@PHI",0,0,0.000204191229169942
"Daryl Richardson","RB",3000,"PIT","@PHI",2.9,0.1,0.000612573687509827
"Wendell Smallwood","RB",3000,"PHI","PIT",1.6,13.9,0.00122514737501965
