"Player.Name","Pos","Salary","Team","Opp","Proj.FP","Actual.FP","Ownership.Pctg"
"Julio Jones","WR",9500,"ATL","@PHI",19.4,26.5,7.87107302307597
"Mike Evans","WR",9000,"TB","CHI",19.9,10.6,17.4590034085044
"Antonio Brown","WR",8900,"PIT","DAL",24.2,37.4,15.3202137426945
"Odell Beckham","WR",8800,"NYG","CIN",20,25.7,0
"A.J. Green","WR",8500,"CIN","@NYG",21,19.8,0
"David Johnson","RB",8400,"ARI","SF",27.1,27.1,47.8575480231186
"Ezekiel Elliott","RB",7900,"DAL","@PIT",19.6,43.9,17.3198355877839
"Le'Veon Bell","RB",7700,"PIT","DAL",22.1,34.4,12.0299253399562
"Aaron Rodgers","QB",7600,"GB","@TEN",20.2,32.5,6.81002485261327
"Larry Fitzgerald","WR",7600,"ARI","SF",15.8,28.3,7.9093995342903
"Jordy Nelson","WR",7500,"GB","@TEN",16.1,33.6,8.07565142293561
"Tom Brady","QB",7400,"NE","SEA",18.5,15.3,9.96915141697371
"Matt Ryan","QB",7300,"ATL","@PHI",18.2,13.7,5.34390804362749
"Jarvis Landry","WR",7200,"MIA","@SD",16.7,11.3,0.972301004495274
"DeAndre Hopkins","WR",7100,"HOU","@JAX",18,9.8,4.15101667458748
"Melvin Gordon","RB",7100,"SD","MIA",20.7,18.2,25.9567574749472
"Allen Robinson","WR",7000,"JAX","HOU",14.7,30.7,1.55810043590019
"Brandin Cooks","WR",7000,"NO","DEN",14.4,18.8,2.14696598820225
"Devontae Booker","RB",7000,"DEN","@NO",13.3,10.8,3.60712089544357
"Jay Ajayi","RB",7000,"MIA","@SD",14.2,9,22.630868001792
"Dez Bryant","WR",7000,"DAL","@PIT",15.4,26.6,2.18648487976548
"Rob Gronkowski","TE",6900,"NE","SEA",14.3,8.6,11.473424397124
"DeMarco Murray","RB",6900,"TEN","GB",14.7,31,6.06989733605196
"Drew Brees","QB",6900,"NO","DEN",17.3,26,3.46403525357672
"Brandon Marshall","WR",6900,"NYJ","LA",15.8,5.5,2.10250723519362
"Kelvin Benjamin","WR",6800,"CAR","KC",12.7,14.4,7.38867000192484
"Ben Roethlisberger","QB",6800,"PIT","DAL",18.9,31.4,8.79482711336641
"Emmanuel Sanders","WR",6800,"DEN","@NO",16.2,10.4,6.12185105125362
"Devonta Freeman","RB",6800,"ATL","@PHI",17.6,11.1,7.19175690430807
"Cam Newton","QB",6800,"CAR","KC",20.4,24.8,5.19758594081365
"Demaryius Thomas","WR",6700,"DEN","@NO",17.4,22.7,6.31620904812277
"Spencer Ware","RB",6700,"KC","@CAR",12.8,10.2,1.46475408858705
"Philip Rivers","QB",6700,"SD","MIA",17.4,24,4.3871079836678
"Alshon Jeffery","WR",6600,"CHI","@TB",0,8.7,27.1000798894834
"Ty Montgomery","WR",6500,"GB","@TEN",11.8,4,4.01559633496349
"Carson Palmer","QB",6500,"ARI","SF",18,20.6,8.60404625754393
"Randall Cobb","WR",6400,"GB","@TEN",14.6,7.1,4.02854217875144
"Lamar Miller","RB",6400,"HOU","@JAX",15.2,8.3,6.50630854374588
"Davante Adams","WR",6300,"GB","@TEN",9.8,24.6,4.81806830976679
"Jameis Winston","QB",6300,"TB","CHI",18.1,22.5,4.17707870221323
"Joe Flacco","QB",6200,"BAL","CLE",16.5,24.1,0
"Jordan Reed","TE",6200,"WAS","MIN",15.2,6.1,5.18361805672664
"Russell Wilson","QB",6200,"SEA","@NE",17.7,29.5,1.6759757503905
"Mike Wallace","WR",6200,"BAL","CLE",10.9,9.9,0
"Jacquizz Rodgers","RB",6200,"TB","CHI",0,0,0.0114127833393804
"Stefon Diggs","WR",6200,"MIN","@WAS",13.7,32.4,8.8202077807928
"Matt Forte","RB",6100,"NYJ","LA",13.5,12.9,4.30960326098991
"Terrelle Pryor","WR",6100,"CLE","@BAL",13.2,9.8,0
"Michael Thomas","WR",6100,"NO","DEN",12,6,7.13963284905657
"Dak Prescott","QB",6100,"DAL","@PIT",17.7,22.8,5.57046030991669
"Julian Edelman","WR",6000,"NE","SEA",15.1,15.9,5.49193354693976
"Jordan Howard","RB",6000,"CHI","@TB",14.5,12,16.4517826937916
"Christine Michael","RB",5900,"SEA","@NE",8.7,3.6,0.158756926452277
"Greg Olsen","TE",5900,"CAR","KC",12.9,8.9,4.07691875290643
"Eli Manning","QB",5900,"NYG","CIN",18.3,20,0
"Jordan Matthews","WR",5900,"PHI","ATL",16,13.3,18.3720260756548
"Andy Dalton","QB",5800,"CIN","@NYG",17.8,12.7,0
"Doug Martin","RB",5800,"TB","CHI",13.6,11.6,0.363335326311916
"Colin Kaepernick","QB",5800,"SF","@ARI",15.2,23.9,0.221271724744107
"Doug Baldwin","WR",5800,"SEA","@NE",14,29.9,5.77912687097252
"Marcus Mariota","QB",5700,"TEN","GB",17.7,28.6,11.8343749627381
"Tyrell Williams","WR",5700,"SD","MIA",12.1,26.5,6.54616811540879
"Terrance West","RB",5700,"BAL","CLE",13,8.7,0
"Trevor Siemian","QB",5600,"DEN","@NO",17.6,16.8,3.00428745905451
"Jeremy Maclin","WR",5600,"KC","@CAR",0,0,0.0240179470276513
"Travis Kelce","TE",5600,"KC","@CAR",13.4,8.1,7.87805696511947
"Carlos Hyde","RB",5500,"SF","@ARI",10.4,1.4,0.168125629193559
"Tony Romo","QB",5500,"DAL","@PIT",0,0,0.00136272039873199
"Will Fuller","WR",5500,"HOU","@JAX",0,0,0.122133815736354
"Blake Bortles","QB",5500,"JAX","HOU",14.7,19.7,1.09119835928464
"Steve Smith","WR",5500,"BAL","CLE",12.5,17,0
"Brock Osweiler","QB",5400,"HOU","@JAX",14.8,14.3,0.318365553153761
"Alex Smith","QB",5400,"KC","@CAR",17.9,9.4,0.596019834395404
"Kirk Cousins","QB",5400,"WAS","MIN",16,18.4,1.66166718620382
