"Player.Name","Pos","Salary","Team","Opp","Proj.FP","Actual.FP","Ownership.Pctg"
"Vikings","D",3900,"MIN","@JAX",11.7,7,18.3401102657209
"Broncos","D",3800,"DEN","@TEN",6,6,3.04029759315323
"Lions","D",3600,"DET","CHI",6.8,5,7.76010547155908
"Bengals","D",3500,"CIN","@CLE",7.2,9,10.6965295595586
"Patriots","D",3400,"NE","BAL",10.9,8,0
"Titans","D",3300,"TEN","DEN",7.3,11,1.42470946491828
"Cardinals","D",3200,"ARI","@MIA",9,6,4.82434723936184
"Jets","D",3100,"NYJ","@SF",8.3,3,1.70103962285927
"Falcons","D",3100,"ATL","@LA",9.4,26,4.68074433800616
"Chiefs","D",3100,"KC","OAK",9,11,0
"Seahawks","D",3000,"SEA","@GB",6.9,-3,3.11309782753447
"Eagles","D",2900,"PHI","WAS",7.7,10,0.897795573390626
"Panthers","D",2900,"CAR","SD",6.5,18,2.03063824498167
"Texans","D",2800,"HOU","@IND",7.1,8,0.574855509290908
"Steelers","D",2800,"PIT","@BUF",6.6,8,2.69538428757868
"Redskins","D",2700,"WAS","@PHI",7.4,9,2.59639372497492
"Cowboys","D",2700,"DAL","@NYG",9.4,12,1.22406491650168
"Ravens","D",2700,"BAL","@NE",6.1,6,0
"Raiders","D",2700,"OAK","@KC",7.2,7,0
"Dolphins","D",2600,"MIA","ARI",9.8,12,3.13373935740476
"Chargers","D",2600,"SD","@CAR",6.6,3,3.97360547599812
"Colts","D",2600,"IND","HOU",7.5,4,3.55633583991051
"49ers","D",2600,"SF","NYJ",6.4,8,4.62459049868161
"Packers","D",2600,"GB","SEA",4.9,19,0.94662499889024
"Giants","D",2600,"NYG","DAL",6.7,15,0.690492466951357
"Bills","D",2500,"BUF","PIT",7,6,1.19698678054281
"Jaguars","D",2500,"JAX","MIN",6.7,2,3.16703214751813
"Rams","D",2500,"LA","ATL",7.7,1,0.743095075330486
"Saints","D",2400,"NO","@TB",8.6,5,0.581736019247672
"Buccaneers","D",2400,"TB","NO",7.4,11,8.1156724699699
"Bears","D",2300,"CHI","@DET",5.1,14,1.28732121771709
"Browns","D",2200,"CLE","CIN",5.9,4,2.38265401244706
