"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"37","Matt Andriese","Alex Meyer","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Trea Turner","Albert Almora","AJ Pollock","Josh Reddick"
"38","Julio Urias","Alex Meyer","Willson Contreras","Anthony Rizzo","Javier Baez","Kris Bryant","Aledmys Diaz","Bryce Harper","Albert Almora","Corey Dickerson"
"39","Max Scherzer","Alex Meyer","Willson Contreras","Anthony Rizzo","Cliff Pennington","Kris Bryant","Addison Russell","Albert Almora","Gerardo Parra","Brandon Moss"
"40","Robbie Ray","Alex Meyer","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","AJ Pollock","Gerardo Parra","Andrew Toles"
"41","Carlos Carrasco","Chris Young","Willson Contreras","Anthony Rizzo","Javier Baez","Kris Bryant","Aledmys Diaz","Albert Almora","David Peralta","Andrew Toles"
"42","Max Scherzer","Alex Meyer","Willson Contreras","Freddie Freeman","Brandon Phillips","Kris Bryant","Addison Russell","Matt Kemp","Ender Inciarte","Nick Markakis"
"43","Carlos Carrasco","Alex Meyer","Willson Contreras","Anthony Rizzo","Javier Baez","Mike Moustakas","Addison Russell","Albert Almora","Billy Hamilton","David Peralta"
"44","Carlos Carrasco","Chris Young","Willson Contreras","Anthony Rizzo","Jose Ramirez","Kris Bryant","Addison Russell","Albert Almora","Justin Upton","Mikie Mahtook"
"45","Carlos Carrasco","Chris Young","Willson Contreras","Eric Hosmer","Javier Baez","Kris Bryant","Addison Russell","Albert Almora","Billy Hamilton","Max Kepler"
"46","Carlos Carrasco","Chris Young","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Jose Iglesias","Albert Almora","Gerardo Parra","Ender Inciarte"
"47","Max Scherzer","Chris Young","Willson Contreras","Anthony Rizzo","Alexi Amarista","Kris Bryant","Addison Russell","Albert Almora","David Peralta","Lonnie Chisenhall"
"48","Matt Andriese","Alex Meyer","Gary Sanchez","Anthony Rizzo","Javier Baez","Kris Bryant","Addison Russell","George Springer","Albert Almora","Corey Dickerson"
"49","Julio Urias","Matt Andriese","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Kole Calhoun","Andrew Toles","Mikie Mahtook"
"50","Robbie Ray","Alex Meyer","Willson Contreras","Anthony Rizzo","Javier Baez","Kris Bryant","Addison Russell","Matt Kemp","Max Kepler","David Peralta"
