Rk,ID,Player,Pos,Team,Opp,Week,Snaps,Snap Pct,Rush Pct,Tgt Pct,Touch Pct,Util Pct,Fantasy Points,Points/100 Snaps
1,16524,Devonta Freeman,RB,ATL,HOU,4,41,58,34,15,46,49,37.90,80.2
2,16112,Jeremy Hill,RB,CIN,KC,4,30,56,30,0,30,30,24,80
3,14046,Ronnie Hillman,RB,DEN,MIN,4,25,44,44,4,48,48,20.80,67.2
4,15669,Nathan Stupar,OLB,ATL,HOU,4,26,34,0,0,0,0,0,57.7
5,14385,Doug Martin,RB,TB,CAR,4,38,48,53,13,66,66,28.30,53.4
6,8649,Rashad Jennings,RB,NYG,BUF,4,29,41,31,7,38,38,17.20,52.4
7,15196,Kenny Stills,WR,MIA,NYJ,4,27,42,0,30,19,30,19.10,52.2
8,15215,Tavon Austin,WR,LA,ARI,4,47,89,4,15,17,19,29.60,50.2
9,17089,Terron Ward,RB,ATL,HOU,4,30,42,63,3,67,67,16,50
10,16127,Isaiah Crowell,RB,CLE,SD,4,26,37,46,12,58,58,15.50,48.1
11,8358,Brian Hoyer,QB,HOU,ATL,4,36,47,0,0,83,83,17.28,48
12,16771,Todd Gurley,RB,LA,ARI,4,36,68,53,6,58,58,21.10,44.7
13,11527,Sam Bradford,QB,PHI,WAS,4,56,100,2,0,52,52,24.20,43.2
14,15183,Desmond Trufant,CB,ATL,HOU,4,40,52,0,0,0,0,0,42.5
15,12239,Chris Ivory,RB,NYJ,MIA,4,54,70,54,4,54,57,25.60,41.9
16,16838,Duke Johnson,RB,CLE,SD,4,43,61,19,23,40,42,26.60,40.9
17,12109,Ted Ginn,WR,CAR,TB,4,34,59,0,9,6,9,15.80,40.6
18,8244,Philip Rivers,QB,SD,CLE,4,65,100,2,0,60,60,29.22,40.3
19,3341,Calais Campbell,DE,ARI,LA,4,43,81,0,0,0,0,0,39.2
20,17054,Ryan Delaire,DE,CAR,TB,4,40,51,0,0,0,0,0,39.2
21,12153,Ed Dickson,TE,CAR,TB,4,34,59,0,6,3,6,14.10,38.5
22,12317,Danny Woodhead,RB,SD,CLE,4,36,55,22,11,33,33,17.80,38.3
23,15017,Demetrius McCray,CB,JAX,IND,4,25,32,0,0,0,0,0,38
24,11313,Riley Cooper,WR,PHI,WAS,4,36,64,0,8,6,8,15.20,36.7
25,13723,Nick Foles,QB,LA,ARI,4,53,100,2,0,47,47,18.74,35.4
26,13735,Chris Polk,RB,HOU,ATL,4,32,42,9,13,19,22,14,34.4
27,15085,Joseph Randle,RB,DAL,NO,4,25,41,44,0,44,44,8.60,34.4
28,12841,Andy Dalton,QB,CIN,KC,4,54,100,6,0,50,50,21.44,34.1
29,13162,Leonard Hankerson,WR,ATL,HOU,4,48,68,0,17,13,17,25.30,34
30,16334,Jeremiah Attaochu,OLB,SD,CLE,4,42,59,0,0,0,0,0,34
31,14967,Le'Veon Bell,RB,PIT,BAL,4,62,98,36,11,47,47,31,33.9
32,16847,David Johnson,RB,ARI,LA,4,36,49,8,28,19,36,17.10,33.6
33,5282,Josh McCown,QB,CLE,SD,4,71,100,0,0,58,58,26.24,31.3
34,13337,Mark Ingram,RB,NO,DAL,4,41,56,42,17,56,59,18.80,31.2
35,15216,Stedman Bailey,WR,LA,ARI,4,29,55,0,10,7,10,11,31
36,7242,Drew Brees,QB,NO,DAL,4,73,100,0,0,56,56,25.36,30.6
37,16799,Preston Smith,OLB,WAS,PHI,4,30,54,0,0,0,0,0,29.7
38,16609,Charles Sims,RB,TB,CAR,4,39,49,15,13,23,28,14.30,29
39,14340,Josh Norman,CB,CAR,TB,4,67,85,0,0,0,0,0,28.4
40,16463,Caraun Reid,DT,DET,SEA,4,39,60,0,0,0,0,0,28.2
41,1370,James Harrison,OLB,PIT,BAL,4,48,61,0,0,0,0,0,28.1
42,16670,Aaron Lynch,OLB,SF,GB,4,59,81,0,0,0,0,0,28
43,16420,Trent Murphy,OLB,WAS,PHI,4,33,59,0,0,0,0,0,27.9
44,5929,Domata Peko,NT,CIN,KC,4,40,53,0,0,0,0,0,27.8
45,13320,Cam Newton,QB,CAR,TB,4,58,100,21,0,59,59,17.06,27.7
