"","Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent"
"1","RB","David Johnson (7852233)","David Johnson",7852233,9800,"ARI@MIA","ARI","David","Johnson","MIA"
"2","RB","Le'Veon Bell (7852224)","Le'Veon Bell",7852224,9000,"PIT@BUF","PIT","Le'Veon","Bell","BUF"
"3","WR","Mike Evans (7852390)","Mike Evans",7852390,8900,"NO@TB","TB","Mike","Evans","NO"
"4","WR","Antonio Brown (7852363)","Antonio Brown",7852363,8700,"PIT@BUF","PIT","Antonio","Brown","BUF"
"5","WR","Julio Jones (7852259)","Julio Jones",7852259,8500,"ATL@LA","ATL","Julio","Jones","LA"
"6","RB","LeSean McCoy (7852212)","LeSean McCoy",7852212,8200,"PIT@BUF","BUF","LeSean","McCoy","PIT"
"7","WR","Odell Beckham Jr. (7852366)","Odell Beckham Jr.",7852366,8000,"DAL@NYG","NYG","Odell","Beckham","DAL"
"8","WR","A.J. Green (7852315)","A.J. Green",7852315,7700,"CIN@CLE","CIN","A.J.","Green","CLE"
"9","QB","Drew Brees (7852075)","Drew Brees",7852075,7400,"NO@TB","NO","Drew","Brees","TB"
"10","RB","Melvin Gordon (7852242)","Melvin Gordon",7852242,7400,"SD@CAR","SD","Melvin","Gordon","CAR"
"11","QB","Cam Newton (7852135)","Cam Newton",7852135,7200,"SD@CAR","CAR","Cam","Newton","SD"
"12","WR","Larry Fitzgerald (7852371)","Larry Fitzgerald",7852371,7100,"ARI@MIA","ARI","Larry","Fitzgerald","MIA"
"13","QB","Ben Roethlisberger (7852118)","Ben Roethlisberger",7852118,7000,"PIT@BUF","PIT","Ben","Roethlisberger","BUF"
"14","WR","Doug Baldwin (7852395)","Doug Baldwin",7852395,6800,"SEA@GB","SEA","Doug","Baldwin","GB"
"15","WR","Jordy Nelson (7852302)","Jordy Nelson",7852302,6800,"SEA@GB","GB","Jordy","Nelson","SEA"
"16","QB","Matthew Stafford (7852078)","Matthew Stafford",7852078,6800,"CHI@DET","DET","Matthew","Stafford","CHI"
"17","QB","Jameis Winston (7852132)","Jameis Winston",7852132,6700,"NO@TB","TB","Jameis","Winston","NO"
"18","WR","Michael Thomas (7852276)","Michael Thomas",7852276,6700,"NO@TB","NO","Michael","Thomas","TB"
"19","WR","Golden Tate (7852270)","Golden Tate",7852270,6600,"CHI@DET","DET","Golden","Tate","CHI"
