"Mike Trout_LAA","Miguel Cabrera_DET","Joey Votto_CIN","Ian Kinsler_DET","JD Martinez_DET","Billy Hamilton_CIN","Justin Upton_DET","Adam Duvall_CIN","Hunter Pence_SF","Buster Posey_SF","Eugenio Suarez_CIN","Nicholas Castellanos_DET","Eduardo Nunez_SF","Brandon Belt_SF","Zack Cozart_CIN","Albert Pujols_LAA","Denard Span_SF","Joe Panik_SF","Kole Calhoun_LAA","Christian Arroyo_SF","Victor Martinez_DET","Cameron Maybin_LAA","Brandon Crawford_SF","Alex Avila_DET","CJ Cron_LAA","Luis Valbuena_LAA","Yunel Escobar_LAA","Jefry Marte_LAA","Tyler Collins_DET","Jose Peraza_CIN","Scooter Gennett_CIN","Jarrett Parker_SF","Scott Schebler_CIN","Jim Adduci_DET","Ben Revere_LAA","Nick Hundley_SF","Andrelton Simmons_LAA","Arismendy Alcantara_CIN","Mac Williamson_SF","Danny Espinosa_LAA","Aaron Hill_SF","Gorkys Hernandez_SF","Kelby Tomlinson_SF","JaCoby Jones_DET","James McCann_DET","Jesse Winker_CIN","Phillip Ervin_CIN","Dixon Machado_DET","John Hicks_DET","Mikie Mahtook_DET","Jose Iglesias_DET","Conor Gillaspie_SF","Justin Ruggiano_SF","Drew Stubbs_SF","Devin Mesoraco_CIN","Michael Morse_SF","Tucker Barnhart_CIN","Martin Maldonado_LAA","Juan Graterol_LAA","Tim Federowicz_SF","Patrick Kivlehan_CIN","Andrew Romine_DET","Carlos Perez_LAA","Cliff Pennington_LAA","Chris Marrero_SF","Stuart Turner_CIN"
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,25,0,0,19,0,0,13,0,26,15,0,0,0,0,0,0,10,0,26,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,3,4,0,0
0,17,0,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,0,0,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,11,0,0,2,0,4,15,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
0,0,31,0,0,29,0,28,0,0,28,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,0,29,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,0,0,0,3,0,0,0,0,4
0,12,0,21,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,12,0,0,0,0,15,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,12,0,0,2,4,6,15,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,29,0,0,29,0,26,0,0,26,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,0,2,0,0,0,0,4
0,15,0,19,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,12,0,0,0,0,17,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,15,0,0,4,4,6,18,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
0,0,28,0,0,26,0,28,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,26,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,0,0,0,2,0,0,0,0,4
0,0,0,0,0,0,0,0,31,24,0,0,29,27,0,0,11,28,0,12,0,0,17,0,0,0,0,0,0,0,0,7,0,0,0,13,0,0,0,0,4,17,2,0,0,0,0,0,0,0,0,7,0,3,0,4,0,0,0,0,0,0,0,0,8,0
0,0,0,0,0,0,0,0,24,26,0,0,26,23,0,0,7,23,0,12,0,0,14,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,3,17,2,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,0,0,0,6,0
0,0,28,0,0,26,0,25,0,0,28,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,26,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,0,0,0,3,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,29,26,0,0,31,27,0,0,11,28,0,12,0,0,17,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,4,18,2,0,0,0,0,0,0,0,0,6,0,3,0,4,0,0,0,0,0,0,0,0,9,0
