"Place_lo","Place_hi","Payout"
"1","1","20000"
"2","2","10000"
"3","3","5000"
"4","4","2500"
"5","5","1500"
"6","6","1000"
"7","8","750"
"9","10","500"
"11","13","400"
"14","16","300"
"17","20","250"
"21","25","200"
"26","30","150"
"31","40","125"
"41","55","100"
"56","75","80"
"76","100","60"
"101","130","50"
"131","170","40"
"171","220","35"
"221","280","30"
"281","360","25"
"361","460","20"
"461","610","15"
"611","860","12"
"861","1210","10"
"1211","1710","9"
"1711","2460","8"
"2461","3960","7"
"3961","6960","6"
"6961","14640","5"
