"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,3600,133.333333333333,48,"Salvador Perez","KC",NA,"C",4,3,3,5,0,8,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,8600,46.1046511627907,39.65,"Marco Estrada","TOR",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,7.66666666666667,0,0,1,5,1,0
3,2,5200,75,39,"Kris Bryant","CHC",NA,"3B",3,4,2,2,0,3,1,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,11300,31.5486725663717,35.65,"Stephen Strasburg","WAS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,7.66666666666667,0,0,2,5,1,0
5,3,5500,61.8181818181818,34,"Mike Trout","LAA",NA,"OF",3,2,1,3,1,3,0,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,3,6600,51.1363636363636,33.75,"Clayton Richard","SD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,9,1,0,1,5,0,0
7,4,3900,84.6153846153846,33,"Max Kepler","MIN",NA,"OF",4,2,1,2,1,8,2,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,5,3100,100,31,"Yan Gomes","CLE",NA,"C",7,2,1,5,0,3,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,6,3600,86.1111111111111,31,"Brandon Moss","KC",NA,"OF",7,2,2,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,7,3800,81.5789473684211,31,"Eric Hosmer","KC",NA,"1B",3,4,1,1,0,8,3,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,4,6600,42.1212121212121,27.8,"Jaime Garcia","ATL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,0,0,1,7,0,0
12,5,9100,30.5494505494505,27.8,"Eduardo Rodriguez","BOS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,8,0,0,3,6,1,0
13,6,10800,25.4166666666667,27.45,"Chris Archer","TB",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,6.33333333333333,0,0,3,6,2,0
14,7,7900,34.4303797468354,27.2,"Derek Holland","CHW",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,8,0,0,1,6,2,0
15,8,3000,90,27,"Andrelton Simmons","LAA",NA,"SS",2,3,1,3,0,6,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,9,4400,59.0909090909091,26,"Brian Dozier","MIN",NA,"2B",1,2,0,2,0,9,2,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,8,9400,26.9148936170213,25.3,"Jake Arrieta","CHC",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,0,0,0,5,1,1
18,10,4400,56.8181818181818,25,"DJ LeMahieu","COL",NA,"2B",2,1,1,2,0,5,2,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,11,4600,54.3478260869565,25,"Miguel Sano","MIN",NA,"3B",3,1,0,4,0,8,2,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,12,4200,57.1428571428571,24,"Tim Anderson","CHW",NA,"SS",7,2,1,2,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,9,7100,33.0281690140845,23.45,"Adam Wainwright","STL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6.33333333333333,0,0,1,5,3,0
22,10,8400,27.5,23.1,"Brandon McCarthy","LAD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,0,0,1,3,1,0
23,13,2200,104.545454545455,23,"Chad Pinder","OAK",NA,"2B/SS",7,2,1,2,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,11,7600,29.2763157894737,22.25,"C.C. Sabathia","NYY",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,0,0,1,4,1,0
25,14,2600,84.6153846153846,22,"Christian Vazquez","BOS",NA,"C",8,2,0,1,1,5,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,15,4200,50,21,"Devon Travis","TOR",NA,"2B",5,1,1,3,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,16,3800,55.2631578947368,21,"Mike Napoli","TEX",NA,"1B",5,1,1,1,0,3,1,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,17,3800,55.2631578947368,21,"Marwin Gonzalez","HOU",NA,"3B/OF",7,1,1,2,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,18,3700,56.7567567567568,21,"Robbie Grossman","MIN",NA,"OF",2,1,1,2,0,5,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,19,4900,42.8571428571429,21,"Joey Votto","CIN",NA,"1B",3,1,1,3,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,20,3600,58.3333333333333,21,"Willson Contreras","CHC",NA,"C",7,2,0,3,0,3,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,21,4400,47.7272727272727,21,"Brett Gardner","NYY",NA,"OF",1,1,1,2,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,22,4000,52.5,21,"Hanley Ramirez","BOS",NA,"1B",5,2,0,2,0,4,2,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,12,9300,22.0967741935484,20.55,"Danny Salazar","CLE",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,5.66666666666667,0,0,3,4,3,0
35,23,3200,62.5,20,"Jefry Marte","LAA",NA,"1B",4,2,1,2,0,4,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,24,4800,41.6666666666667,20,"Jay Bruce","NYM",NA,"OF",3,1,1,3,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,25,3200,62.5,20,"C.J. Cron","LAA",NA,"1B",5,1,1,4,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,26,3900,51.2820512820513,20,"Jonathan Villar","MIL",NA,"2B",1,1,0,0,1,4,2,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,27,3600,55.5555555555556,20,"Joc Pederson","LAD",NA,"OF",7,2,1,1,0,2,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,28,3600,55.5555555555556,20,"Randal Grichuk","STL",NA,"OF",8,1,0,4,0,4,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,29,4200,47.6190476190476,20,"Adam Jones","BAL",NA,"OF",2,1,1,1,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,30,4900,40.8163265306123,20,"Anthony Rizzo","CHC",NA,"1B",4,1,1,2,0,3,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,31,3800,52.6315789473684,20,"Carlos Beltran","HOU",NA,"OF",5,2,1,1,0,2,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,13,12700,15.6299212598425,19.85,"Yu Darvish","TEX",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,5,0,0,2,5,4,0
45,14,8300,23.5542168674699,19.55,"Aaron Nola","PHI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,7,0,0,1,4,2,1
46,15,5500,35.3636363636364,19.45,"Chad Kuhl","PIT",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,5,0,0,0,1,2,0
47,32,3400,55.8823529411765,19,"Adrian Gonzalez","LAD",NA,"1B",5,0,0,3,0,4,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,33,3200,59.375,19,"Jorge Bonifacio","KC",NA,"OF",5,1,1,2,0,9,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,34,3700,51.3513513513513,19,"Curtis Granderson","NYM",NA,"OF",5,1,1,1,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,35,3700,51.3513513513513,19,"Andrew Benintendi","BOS",NA,"OF",4,1,0,1,2,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,36,4000,47.5,19,"Travis Shaw","MIL",NA,"3B",4,1,1,2,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,37,4200,42.8571428571429,18,"Carlos Gonzalez","COL",NA,"OF",5,1,1,1,0,3,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,38,3700,48.6486486486486,18,"Aledmys Diaz","STL",NA,"SS",7,3,0,0,0,3,0,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,39,3800,47.3684210526316,18,"Edwin Encarnacion","CLE",NA,"1B",5,3,0,1,0,4,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,16,7200,24.375,17.55,"Wade Miley","BAL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,7,0,0,0,6,1,0
56,40,3800,44.7368421052632,17,"Scott Schebler","CIN",NA,"OF",6,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,41,2700,62.962962962963,17,"Pete Kozma","TEX",NA,"SS/3B",9,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,42,3800,44.7368421052632,17,"Yasmani Grandal","LAD",NA,"C",4,2,0,0,0,4,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,43,4800,35.4166666666667,17,"Daniel Murphy","WAS",NA,"2B",5,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,44,4000,40,16,"Cameron Maybin","LAA",NA,"OF",1,3,0,0,0,5,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,45,3200,50,16,"Brandon Crawford","SF",NA,"SS",5,1,1,1,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,46,5100,31.3725490196078,16,"Jose Altuve","HOU",NA,"2B",3,1,1,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,47,3500,45.7142857142857,16,"Mitch Moreland","BOS",NA,"1B",6,1,1,2,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,48,3400,47.0588235294118,16,"Ryan Schimpf","SD",NA,"3B",4,1,1,1,0,3,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
