"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg"
"WR","Julio Jones (0000000)","Julio Jones",0,9500,"Atl@Phi 00:00PM ET","Atl","Julio","Jones","Phi",22.23,19.4,1,0.25625
"WR","Mike Evans (0000000)","Mike Evans",0,9000,"Chi@TB 00:00PM ET","TB","Mike","Evans","Chi",22.68,19.9,1,0.330188679245283
"WR","Antonio Brown (0000000)","Antonio Brown",0,8900,"Dal@Pit 00:00PM ET","Pit","Antonio","Brown","Dal",22.21,24.2,1,0.275541795665635
"WR","Odell Beckham (0000000)","Odell Beckham",0,8800,"Cin@NYG 00:00PM ET","NYG","Odell","Beckham","Cin",20.03,20,1,0.270700636942675
"WR","A.J. Green (0000000)","A.J. Green",0,8500,"Cin@NYG 00:00PM ET","Cin","A.J.","Green","NYG",24.15,21,1,0.317725752508361
"RB","David Johnson (0000000)","David Johnson",0,8400,"SF@Ari 00:00PM ET","Ari","David","Johnson","SF",26.65,27.1,2,0.164670658682635
"RB","Ezekiel Elliott (0000000)","Ezekiel Elliott",0,7900,"Dal@Pit 00:00PM ET","Dal","Ezekiel","Elliott","Pit",21.84,19.6,6,0.0778210116731518
"RB","Le'Veon Bell (0000000)","Le'Veon Bell",0,7700,"Dal@Pit 00:00PM ET","Pit","Le'Veon","Bell","Dal",22.87,22.1,2,0.145510835913313
"QB","Aaron Rodgers (0000000)","Aaron Rodgers",0,7600,"GB@Ten 00:00PM ET","GB","Aaron","Rodgers","Ten",22.56,20.2,0,0
"WR","Larry Fitzgerald (0000000)","Larry Fitzgerald",0,7600,"SF@Ari 00:00PM ET","Ari","Larry","Fitzgerald","SF",18.53,15.8,1,0.254491017964072
"WR","Jordy Nelson (0000000)","Jordy Nelson",0,7500,"GB@Ten 00:00PM ET","GB","Jordy","Nelson","Ten",17.72,16.1,1,0.229607250755287
"QB","Tom Brady (0000000)","Tom Brady",0,7400,"Sea@NE 00:00PM ET","NE","Tom","Brady","Sea",21.79,18.5,0,0
"QB","Matt Ryan (0000000)","Matt Ryan",0,7300,"Atl@Phi 00:00PM ET","Atl","Matt","Ryan","Phi",20.12,18.2,0,0
"WR","Jarvis Landry (0000000)","Jarvis Landry",0,7200,"Mia@SD 00:00PM ET","Mia","Jarvis","Landry","SD",17.4,16.7,1,0.302904564315353
"WR","DeAndre Hopkins (0000000)","DeAndre Hopkins",0,7100,"Hou@Jax 00:00PM ET","Hou","DeAndre","Hopkins","Jax",15.05,18,1,0.252525252525253
"RB","Melvin Gordon (0000000)","Melvin Gordon",0,7100,"Mia@SD 00:00PM ET","SD","Melvin","Gordon","Mia",20.2,20.7,5,0.115151515151515
"WR","Allen Robinson (0000000)","Allen Robinson",0,7000,"Hou@Jax 00:00PM ET","Jax","Allen","Robinson","Hou",15.32,14.7,1,0.248538011695906
"WR","Brandin Cooks (0000000)","Brandin Cooks",0,7000,"Den@NO 00:00PM ET","NO","Brandin","Cooks","Den",16.21,14.4,2,0.182857142857143
"RB","Devontae Booker (0000000)","Devontae Booker",0,7000,"Den@NO 00:00PM ET","Den","Devontae","Booker","NO",15.46,13.3,5,0.0737179487179487
"RB","Jay Ajayi (0000000)","Jay Ajayi",0,7000,"Mia@SD 00:00PM ET","Mia","Jay","Ajayi","SD",18.28,14.2,5,0.0622406639004149
"WR","Dez Bryant (0000000)","Dez Bryant",0,7000,"Dal@Pit 00:00PM ET","Dal","Dez","Bryant","Pit",15.32,15.4,3,0.167315175097276
"TE","Rob Gronkowski (0000000)","Rob Gronkowski",0,6900,"Sea@NE 00:00PM ET","NE","Rob","Gronkowski","Sea",18.38,14.3,5,0.111111111111111
