"Position","Name","Roster_Position","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Trevor Bauer","T1","CLE@KC 07:15PM ET",15.727,"CLE"
"SP","Jason Vargas","T2","CLE@KC 07:15PM ET",15.654,"KC"
"1B","Edwin Encarnacion","T5","CLE@KC 07:15PM ET",8.576,"CLE"
"OF","Jay Bruce","T7","CLE@KC 07:15PM ET",9.196,"CLE"
"2B/3B","Jose Ramirez","T7","CLE@KC 07:15PM ET",9.043,"CLE"
"1B","Eric Hosmer","T8","CLE@KC 07:15PM ET",8.603,"KC"
"SP","Zack Greinke","T1","ARI@MIN 07:10PM ET",22.246,"ARI"
"SP","Jose Berrios","T2","ARI@MIN 07:10PM ET",15.691,"MIN"
"1B","Paul Goldschmidt","T4","ARI@MIN 07:10PM ET",10.934,"ARI"
"OF","J.D. Martinez","T5","ARI@MIN 07:10PM ET",9.286,"ARI"
"3B","Jake Lamb","T6","ARI@MIN 07:10PM ET",9.391,"ARI"
"OF","A.J. Pollock","T6","ARI@MIN 07:10PM ET",8.105,"ARI"
"3B","Miguel Sano","T8","ARI@MIN 07:10PM ET",8.892,"MIN"
"SP","Kevin Gausman","T1","LAA@BAL 07:05PM ET",12.338,"BAL"
"SP","J.C. Ramirez","T2","LAA@BAL 07:05PM ET",11.78,"LAA"
"OF","Mike Trout","T3","LAA@BAL 07:05PM ET",11.658,"LAA"
"3B","Manny Machado","T4","LAA@BAL 07:05PM ET",8.675,"BAL"
"2B","Jonathan Schoop","T7","LAA@BAL 07:05PM ET",8.767,"BAL"
"OF","Adam Jones","T8","LAA@BAL 07:05PM ET",7.759,"BAL"
"OF","Andrew Benintendi","T6","NYY@BOS 07:10PM ET",8.5,"BOS"
"OF","Mookie Betts","T6","NYY@BOS 07:10PM ET",9.397,"BOS"
"3B","Rafael Devers","T7","NYY@BOS 07:10PM ET",11.632,"BOS"
"OF","Aaron Judge","T8","NYY@BOS 07:10PM ET",10.504,"NYY"
"SP","Martin Perez","T2","CWS@TEX 08:05PM ET",9.389,"TEX"
"3B","Adrian Beltre","T3","CWS@TEX 08:05PM ET",8.956,"TEX"
"OF","Nomar Mazara","T4","CWS@TEX 08:05PM ET",7.845,"TEX"
"1B/3B","Joey Gallo","T4","CWS@TEX 08:05PM ET",8.198,"TEX"
"SS","Elvis Andrus","T5","CWS@TEX 08:05PM ET",9.197,"TEX"
"1B","Jose Abreu","T7","CWS@TEX 08:05PM ET",8.703,"CWS"
"OF","Giancarlo Stanton","T3","MIA@NYM 07:10PM ET",10.627,"MIA"
"OF","Curtis Granderson","T7","MIA@NYM 07:10PM ET",6.964,"NYM"
"OF","Michael Conforto","T8","MIA@NYM 07:10PM ET",8.904,"NYM"
"OF","Yoenis Cespedes","T8","MIA@NYM 07:10PM ET",7.689,"NYM"
"OF","Marcell Ozuna","T8","MIA@NYM 07:10PM ET",8.975,"MIA"
"SP","Collin McHugh","T1","OAK@HOU 07:10PM ET",12.97,"HOU"
"2B","Jose Altuve","T4","OAK@HOU 07:10PM ET",10.678,"HOU"
"OF","George Springer","T4","OAK@HOU 07:10PM ET",10.225,"HOU"
"1B","Yuli Gurriel","T6","OAK@HOU 07:10PM ET",7.832,"HOU"
"OF","Khris Davis","T7","OAK@HOU 07:10PM ET",8.832,"OAK"
"SP","Chad Bettis","T2","MIL@COL 08:10PM ET",16.15,"COL"
"OF","Charlie Blackmon","T3","MIL@COL 08:10PM ET",11.273,"COL"
"3B","Nolan Arenado","T3","MIL@COL 08:10PM ET",9.992,"COL"
"3B","Travis Shaw","T4","MIL@COL 08:10PM ET",9.463,"MIL"
"OF","Ryan Braun","T4","MIL@COL 08:10PM ET",8.838,"MIL"
"OF","Gerardo Parra","T5","MIL@COL 08:10PM ET",7.573,"COL"
"1B","Mark Reynolds","T5","MIL@COL 08:10PM ET",8.474,"COL"
"1B/OF","Eric Thames","T6","MIL@COL 08:10PM ET",8.435,"MIL"
"2B","Neil Walker","T6","MIL@COL 08:10PM ET",7.333,"MIL"
"SP","Julio Teheran","T2","CIN@ATL 07:10PM ET",9.821,"ATL"
"1B","Joey Votto","T3","CIN@ATL 07:10PM ET",10.154,"CIN"
"1B/3B","Freddie Freeman","T5","CIN@ATL 07:10PM ET",10.776,"ATL"
"OF","Adam Duvall","T6","CIN@ATL 07:10PM ET",8.714,"CIN"
"SS","Zack Cozart","T7","CIN@ATL 07:10PM ET",8.989,"CIN"
"OF","Ender Inciarte","T8","CIN@ATL 07:10PM ET",8.263,"ATL"
"SP","Stephen Strasburg","T1","WAS@SD 08:40PM ET",21.158,"WAS"
"1B","Ryan Zimmerman","T3","WAS@SD 08:40PM ET",9.327,"WAS"
"2B","Daniel Murphy","T3","WAS@SD 08:40PM ET",9.143,"WAS"
"2B/OF","Howie Kendrick","T5","WAS@SD 08:40PM ET",8.536,"WAS"
"3B","Anthony Rendon","T5","WAS@SD 08:40PM ET",9.063,"WAS"
"SP","Jerad Eickhoff","T2","PHI@SF 09:05PM ET",12.826,"PHI"
"SP","Ty Blach","T2","PHI@SF 09:05PM ET",7.657,"SF"
