"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
24,737849773,"fromunda1 (2/2)",0,168,"P James Paxton P Wily Peralta C Jett Bandy 1B Eric Thames 2B Josh Harrison 3B Jake Lamb SS Hernán Pérez OF Nelson Cruz OF Charlie Blackmon OF Bryce Harper",NA,"David Peralta","10.54%",16
25,737821819,"socjok11 (5/7)",0,167.35,"P James Paxton P Rick Porcello C Geovany Soto 1B Eric Thames 2B Jonathan Villar 3B Ryon Healy SS Trea Turner OF Nelson Cruz OF Jarrod Dyson OF A.J. Pollock",NA,"Paul Goldschmidt","10.29%",26
26,737752051,"mark111tennis",0,167.2,"P James Paxton P Julio Teheran C Brian McCann 1B Mark Reynolds 2B Yangervis Solarte 3B Jake Lamb SS Elvis Andrus OF Carlos Gómez OF A.J. Pollock OF Carlos Santana",NA,"Austin Hedges","10.20%",5
27,737535827,"Metro123 (1/2)",0,166.8,"P Trevor Cahill P Tanner Roark C J.T. Realmuto 1B Freddie Freeman 2B Daniel Murphy 3B Kris Bryant SS Trea Turner OF Nelson Cruz OF Bryce Harper OF Adam Eaton",NA,"Salvador Pérez","9.35%",0
28,737638805,"ssmith3131",0,166,"P Luis Severino P Héctor Santiago C Buster Posey 1B Paul Goldschmidt 2B Daniel Murphy 3B Nolan Arenado SS Addison Russell OF Aaron Judge OF A.J. Pollock OF Bryce Harper",NA,"Jonathan Villar","9.35%",8
29,737765638,"RobJD4",0,165.4,"P James Paxton P Dylan Bundy C Jett Bandy 1B Anthony Rizzo 2B César Hernández 3B Joey Gallo SS Trea Turner OF Jason Heyward OF Giancarlo Stanton OF Bryce Harper",NA,"Jason Heyward","9.01%",7
30,737672190,"strops14",0,165.2,"P James Paxton P Julio Teheran C J.T. Realmuto 1B Anthony Rizzo 2B Starlin Castro 3B Jake Lamb SS Trea Turner OF Aaron Judge OF Marcell Ozuna OF A.J. Pollock",NA,"Kris Bryant","8.67%",19
31,737628949,"Anunnaki (8/45)",0,165.05,"P James Paxton P José Quintana C Mike Zunino 1B Mark Reynolds 2B Daniel Murphy 3B Kris Bryant SS Taylor Motter OF Nelson Cruz OF Brett Gardner OF Jon Jay",NA,"Yangervis Solarte","8.08%",14
31,737687153,"nickski23",0,165.05,"P José Quintana P Luis Severino C J.T. Realmuto 1B Matt Holliday 2B Jonathan Villar 3B Mike Moustakas SS Orlando Arcia OF Jarrod Dyson OF Ryan Braun OF Scott Schebler",NA,"J.T. Realmuto","7.91%",8
31,737821230,"socjok11 (4/7)",0,165.05,"P James Paxton P Nate Karns C Geovany Soto 1B Eric Thames 2B Jonathan Villar 3B Jake Lamb SS Trea Turner OF Nelson Cruz OF Jarrod Dyson OF A.J. Pollock",NA,"Mike Moustakas","7.91%",0
34,737821293,"Donnie_Azoff (1/4)",0,164.95,"P Dylan Bundy P Alex Wood C Robinson Chirinos 1B Paul Goldschmidt 2B Daniel Murphy 3B Jake Lamb SS Trea Turner OF David Peralta OF A.J. Pollock OF Yasmany Tomás",NA,"Chris Owings","7.91%",2
35,737663705,"princessnicole93 (5/6)",0,164.4,"P James Paxton P Dylan Bundy C Jett Bandy 1B Eric Thames 2B Yangervis Solarte 3B Jake Lamb SS Trea Turner OF Mookie Betts OF A.J. Pollock OF Hernán Pérez",NA,"Anthony Rizzo","7.57%",25
36,737571175,"dogg47 (2/4)",0,164.1,"P Matt Shoemaker P Héctor Santiago C Buster Posey 1B Eric Thames 2B Daniel Murphy 3B Travis Shaw SS Trea Turner OF Ryan Braun OF David Peralta OF A.J. Pollock",NA,"Jean Segura","7.57%",19
37,737775528,"aneisia (2/3)",0,163.7,"P James Paxton P Trevor Cahill C Austin Hedges 1B Eric Thames 2B Brandon Phillips 3B Kris Bryant SS Trea Turner OF Mookie Betts OF A.J. Pollock OF Bryce Harper",NA,"Mookie Betts","7.48%",8
38,737571178,"dogg47 (3/4)",0,163.6,"P Dylan Bundy P Trevor Cahill C Jett Bandy 1B Joey Votto 2B Daniel Murphy 3B Travis Shaw SS Trea Turner OF Billy Hamilton OF Adam Duvall OF Bryce Harper",NA,"Christian Yelich","7.48%",2
39,737655230,"JDroMartinez",0,163.4,"P James Paxton P Dylan Bundy C Jett Bandy 1B Eric Thames 2B César Hernández 3B Travis Shaw SS Trea Turner OF Nelson Cruz OF Mookie Betts OF David Peralta",NA,"Matt Shoemaker","7.31%",17.85
39,737806656,"duster82 (1/3)",0,163.4,"P James Paxton P Dylan Bundy C Jett Bandy 1B Eric Thames 2B César Hernández 3B Jake Lamb SS Trea Turner OF Avisaíl García OF Matt Kemp OF Bryce Harper",NA,"Trevor Cahill","7.31%",12.95
