"Place_lo","Place_hi","Payout"
"1","1","120"
"2","2","80"
"3","3","60"
"4","4","50"
"5","7","40"
"8","11","30"
"12","16","25"
"17","21","20"
"22","26","15"
"27","39","10"
"40","59","8"
"60","119","6"
