"Charlie Blackmon_COL","Nelson Cruz_SEA","Nolan Arenado_COL","Jean Segura_SEA","Robinson Cano_SEA","Trevor Story_COL","Cody Bellinger_LAD","Mark Reynolds_COL","Kyle Seager_SEA","Carlos Gonzalez_COL","Corey Seager_LAD","DJ LeMahieu_COL","David Dahl_COL","Mitch Haniger_SEA","Chase Utley_LAD","Tommy Pham_STL","Ian Desmond_COL","Gerardo Parra_COL","Dexter Fowler_STL","Chris Taylor_LAD","Logan Forsythe_LAD","Randal Grichuk_STL","Stephen Piscotty_STL","Joc Pederson_LAD","Justin Turner_LAD","Kike Hernandez_LAD","Matt Carpenter_STL","Adrian Gonzalez_LAD","Yadier Molina_STL","Jedd Gyorko_STL","Leonys Martin_SEA","Franklin Gutierrez_LAD","Yasmani Grandal_LAD","Aledmys Diaz_STL","Jarrod Dyson_SEA","Pat Valaika_COL","Guillermo Heredia_SEA","Austin Barnes_LAD","Yasiel Puig_LAD","Stephen Cardullo_COL","Raimel Tapia_COL","Dustin Garneau_COL","Ben Gamel_SEA","Jhonny Peralta_STL","Trayce Thompson_LAD","Tony Wolters_COL","Taylor Motter_SEA","Tom Murphy_COL","Kolten Wong_STL","Andrew Toles_LAD","Alexi Amarista_COL","Rob Segedin_LAD","Harrison Bader_STL","Shawn O'Malley_SEA","Danny Valencia_SEA","Andre Ethier_LAD","Scott Van Slyke_LAD","Jose Martinez_STL","Greg Garcia_STL","Carlos Ruiz_SEA","Boog Powell_SEA","Magneuris Sierra_STL","Tuffy Gosewisch_SEA","Mike Zunino_SEA","Carson Kelly_STL","Ryan Hanigan_COL","Cristhian Adames_COL","Eric Fryer_STL","Paul DeJong_STL","Daniel Vogelbach_SEA","Mike Freeman_LAD","Brett Eibner_LAD"
0,0,0,0,0,0,10.4852216748768,0,0,0,48.2961352657005,0,0,0,-2.38176638176638,0,0,0,0,-10.195652173913,0,0,0,15.8181818181818,18.4133064516129,0,0,7.79310344827586,0,0,0,0,19.5345345345345,0,0,0,0,0,9.70426829268293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.72093023255814,0,2.31818181818182,0,0,6.65913978494624,0,9.43048780487805,0,13.1664634146341,0,45.1657004830918,0,0,0,0,2.71541501976285,-6.27538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.489130434782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-10.6493506493506,0,0,0,-2.38176638176638,0,0,0,57.707671957672,0,0,0,0,11.9285714285714,0,0,0,8.67142857142857,6.15833333333333,0,0,13.8,0,0,0,0,0.477207977207977,0,0,0,0,0,7.80833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.71428571428571,0,21.1620553359684,0,0,-0.290909090909091,0,4.28947368421053,0,7.7952380952381,0,2.71541501976285,0,0,0,0,53.8188405797101,-26.7638888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.9553846153846,0,-5.93650793650794,0,0,8.69761904761905,0,2.59090909090909,0,4.11660079051383,0,-6.27538461538462,0,0,0,0,-26.7638888888889,65.1428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0352564102564,0,0,-2.4758064516129,4.46461538461538,0,0,0,-15.6890756302521,0,5.00924369747899,-4.32758620689655,0,0,0,-1.78095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58974358974359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-14.75,0,0,0,-10.195652173913,0,0,0,11.9285714285714,0,0,0,0,57.977207977208,0,0,0,34.3909090909091,1.08791208791209,0,0,-6.12121212121212,0,0,0,0,8.80994152046784,0,0,0,0,0,-0.978260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
