"Charlie Blackmon_COL","Nelson Cruz_SEA","Nolan Arenado_COL","Jean Segura_SEA","Robinson Cano_SEA","Trevor Story_COL","Cody Bellinger_LAD","Mark Reynolds_COL","Kyle Seager_SEA","Carlos Gonzalez_COL","Corey Seager_LAD","DJ LeMahieu_COL","David Dahl_COL","Mitch Haniger_SEA","Chase Utley_LAD","Tommy Pham_STL","Ian Desmond_COL","Gerardo Parra_COL","Dexter Fowler_STL","Chris Taylor_LAD","Logan Forsythe_LAD","Randal Grichuk_STL","Stephen Piscotty_STL","Joc Pederson_LAD","Justin Turner_LAD","Kike Hernandez_LAD","Matt Carpenter_STL","Adrian Gonzalez_LAD","Yadier Molina_STL","Jedd Gyorko_STL","Leonys Martin_SEA","Franklin Gutierrez_LAD","Yasmani Grandal_LAD","Aledmys Diaz_STL","Jarrod Dyson_SEA","Pat Valaika_COL","Guillermo Heredia_SEA","Austin Barnes_LAD","Yasiel Puig_LAD","Stephen Cardullo_COL","Raimel Tapia_COL","Dustin Garneau_COL","Ben Gamel_SEA","Jhonny Peralta_STL","Trayce Thompson_LAD","Tony Wolters_COL","Taylor Motter_SEA","Tom Murphy_COL","Kolten Wong_STL","Andrew Toles_LAD","Alexi Amarista_COL","Rob Segedin_LAD","Harrison Bader_STL","Shawn O'Malley_SEA","Danny Valencia_SEA","Andre Ethier_LAD","Scott Van Slyke_LAD","Jose Martinez_STL","Greg Garcia_STL","Carlos Ruiz_SEA","Boog Powell_SEA","Magneuris Sierra_STL","Tuffy Gosewisch_SEA","Mike Zunino_SEA","Carson Kelly_STL","Ryan Hanigan_COL","Cristhian Adames_COL","Eric Fryer_STL","Paul DeJong_STL","Daniel Vogelbach_SEA","Mike Freeman_LAD","Brett Eibner_LAD"
47,0,46,0,0,33,0,42,0,43,0,44,0,0,0,0,22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,15,0,0,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
0,47,0,35,37,0,0,0,43,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,41,0,31,0,0,0,0,0,24,0,0,0,31,0,0,0,0,0,0,0,38,0,0,0,0,16,0,0,5,26,0,0,0,0,0,0,0,0
46,0,48,0,0,33,0,43,0,43,0,45,0,0,0,0,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,15,0,0,0,25,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,35,0,39,29,0,0,0,37,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,34,0,29,0,0,0,0,0,28,0,0,0,20,0,0,0,0,0,0,0,32,0,0,0,0,13,0,0,6,20,0,0,0,0,0,0,0,0
0,37,0,29,41,0,0,0,37,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,36,0,27,0,0,0,0,0,18,0,0,0,22,0,0,0,0,0,0,0,32,0,0,0,0,12,0,0,0,28,0,0,0,0,0,0,0,0
33,0,33,0,0,34,0,31,0,30,0,31,0,0,0,0,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,13,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,31,0,0,0,29,0,0,0,22,0,0,0,0,24,7,0,0,12,18,0,0,17,0,0,0,4,25,0,0,0,0,6,26,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
42,0,43,0,0,31,0,44,0,39,0,41,0,0,0,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,14,0,0,0,22,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,43,0,37,37,0,0,0,47,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,41,0,31,0,0,0,0,0,27,0,0,0,28,0,0,0,0,0,0,0,39,0,0,0,0,17,0,0,6,24,0,0,0,0,0,0,0,0
43,0,43,0,0,30,0,39,0,44,0,41,0,0,0,0,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,12,0,0,0,24,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,29,0,0,0,46,0,0,0,27,0,0,0,0,23,17,0,0,22,32,0,0,30,0,0,0,7,37,0,0,0,0,9,41,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
