"Anthony Rizzo_ChC","Kris Bryant_ChC","Ryan Braun_Mil","Kyle Schwarber_ChC","Nelson Cruz_Sea","Andrew McCutchen_Pit","Dexter Fowler_StL","Gregory Polanco_Pit","Robinson Cano_Sea","Jean Segura_Sea","Ben Zobrist_ChC","Matt Carpenter_StL","Eric Thames_Mil","Rougned Odor_Tex","Giancarlo Stanton_Mia","Jonathan Villar_Mil","Aledmys Diaz_StL","Stephen Piscotty_StL","Shin-Soo Choo_Tex","Kyle Seager_Sea","Adrian Beltre_Tex","Khris Davis_Oak","Javier Baez_ChC","Starling Marte_Pit","Jonathan Lucroy_Tex","Christian Yelich_Mia","Willson Contreras_ChC","Addison Russell_ChC","Randal Grichuk_StL","Mike Napoli_Tex","Rajai Davis_Oak","Carlos Gomez_Tex","Dee Gordon_Mia","Adam Frazier_Pit","Elvis Andrus_Tex","Keon Broxton_Mil","Josh Harrison_Pit","Trevor Plouffe_Oak","Nomar Mazara_Tex","Mitch Haniger_Sea","Jason Heyward_ChC","Domingo Santana_Mil","Yadier Molina_StL","Jedd Gyorko_StL","Ryon Healy_Oak","Joey Gallo_Tex","Marcus Semien_Oak","Miguel Montero_ChC","Albert Almora_ChC","Alen Hanson_Pit","Delino DeShields_Tex","Danny Valencia_Sea","Travis Shaw_Mil","Hernan Perez_Mil","Jon Jay_ChC","Jhonny Peralta_StL","Stephen Vogt_Oak","Yonder Alonso_Oak","Taylor Motter_Sea","Leonys Martin_Sea","Marcell Ozuna_Mia","Orlando Arcia_Mil","Josh Bell_Pit","Matt Adams_StL","Jurickson Profar_Tex","JT Realmuto_Mia","Matt Szczur_ChC","Kolten Wong_StL","David Freese_Pit","Jordy Mercer_Pit","Josh Phegley_Oak","Mark Canha_Oak","Martin Prado_Mia","Jarrod Dyson_Sea","Ian Happ_ChC","Nick Franklin_Mil","Francisco Cervelli_Pit","Jesus Aguilar_Mil","Tommy La Stella_ChC","John Jaso_Pit","Kevin Newman_Pit","Harrison Bader_StL","Robinson Chirinos_Tex","Mike Zunino_Sea","Ben Gamel_Sea","Andrew Susac_Mil","Kirk Nieuwenhuis_Mil","Jose Martinez_StL","Jose Osuna_Pit","Brett Nicholas_Tex","Jed Lowrie_Oak","Justin Bour_Mia","Greg Garcia_StL","Ryan Rua_Tex","Jake Smolinski_Oak","Derek Dietrich_Mia","Guillermo Heredia_Sea","Manny Pina_Mil","Phil Gosselin_Pit","Shawn O'Malley_Sea","Jett Bandy_Mil","Carson Kelly_StL","Hanser Alberto_Tex","Matt Joyce_Oak","Carlos Ruiz_Sea","Destin Hood_Mia","Eric Fryer_StL","Adam Rosales_Oak","Tyler Moore_Mia","Ichiro Suzuki_Mia","Adeiny Hechavarria_Mia","Eloy Jimenez_ChC","Chris Stewart_Pit","AJ Ellis_Mia","Chad Pinder_Oak","Drew Robinson_Tex","Jaff Decker_Oak","Mike Freeman_Sea","JT Riddle_Mia","Miguel Rojas_Mia"
-2.38888888888889,14.8611111111111,0,-17.2777777777778,0,0,0,0,0,0,27.3611111111111,0,0,0,0,0,0,0,0,0,0,0,1.78571428571429,0,0,0,-1.78571428571429,12.6607142857143,0,0,0,0,0,0,0,0,0,0,0,0,-1.07142857142857,0,0,0,0,0,0,-64,12,0,0,0,0,0,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-10.0444444444444,0,0,0,0,26.6222222222222,0,0,0,0,7.48214285714286,7.625,0,0,0,0,0,0,0,0,0,0,12.9821428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125,-2,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,-1.75,0,0,0,-5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,44.7916666666667,0,0,0,0,0,0,0,0,0,74.3636363636364,0,0,-38.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.5178571428571,0,0,0,0,0,-6.47619047619048,0,0,0,0,0,0,0,0,0,0,-8.07777777777778,92.3333333333333,0,0,0,0,0,0,0,6.11818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.83333333333333,0,0,0,0,0,0,0,0,0,0,9.6,0,0,-15.8666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,32.4102564102564,0,0,0,0,14.7272727272727,0,0,0,0,0,3.06666666666667,0,0,0,0,7.69871794871795,0,25.6153846153846,0,0,3.98076923076923,0,0,0,33.7307692307692,0,0,0,0,0,0,-0.724358974358974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.659090909091,0,0,0,0,0,0,0,0,0,0,-9.34090909090909,0,0,0,0,0,0,-11.8909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.4318181818182,0,0,0,0,-19.4166666666667,0,0,0,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.86363636363636,0,0,0,-4.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,178.5,7.91666666666667,0,0,-3.33333333333333,0,0,0,0,21,-24.952380952381
0,0,-28.3,0,0,0,0,0,0,0,0,0,-38.6666666666667,0,0,100.102564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411111111111111,0,0,0,0,0,-1.62222222222222,0,0,0,0,0,0,0,0,0,0,-19.4848484848485,3.9,0,0,0,0,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36.6666666666667,0,0,0,0,0,0,0,0,5.33333333333333,0,0,0,0,0,0,0,0,0,0,51.4666666666667,0,0,-4.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,24.9454545454545,0,0,0,0,7.48214285714286,0,0,0,0,147.072727272727,-6.27777777777778,0,0,0,0,0,0,0,0,0,0,37.5909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,28.05,0,0,0,0,0,0,0,0,0,0,0,-3.73809523809524,0,0,0,0,0,0,0,55.5,0,0,0,-7.76190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-6.31818181818182,0,0,0,0,7.625,0,0,0,0,-6.27777777777778,71.969696969697,0,0,0,0,0,0,0,0,0,0,-5.47777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57777777777778,29.6,0,0,0,0,0,0,0,0,0,0,0,5.47619047619048,0,0,0,0,0,0,0,-15.5,0,0,0,-11.1428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.8,0,0,0,0,45.45,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,14.7272727272727,0,0,0,0,66.0606060606061,0,0,0,0,0,21.8611111111111,0,0,0,0,-6.87878787878788,0,11.0909090909091,0,0,-11.9090909090909,0,0,0,53.5151515151515,0,0,0,0,0,0,-15.2424242424242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11.8021978021978,0,0,0,5.44505494505495,0.933333333333333,0,0,0,0,0,0,0,0,0,24.4010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.956043956044,0,0,0,0,0,0,0,0,0,0,0,3.13636363636364,0,0,0,0,0,0,-10.0714285714286,1.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12820512820513,0,0,0,0,0,0,0,0,0,14.0888888888889,0,0,0,0,0,0,0,0,0,0,0,0,30.25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
