"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"RP","Jarlin Garcia",4800,"Mia@Sea 03:40PM ET",3.575,"Mia",NA,NA,0.356,NA,NA
"RP","Yohander Mendez",4700,"Tex@Oak 03:35PM ET",0,"Tex",NA,NA,NA,NA,NA
"SP","Jose Urena",4700,"Mia@Sea 03:40PM ET",7.2,"Mia",NA,NA,0.5105,NA,NA
"RP","David Phelps",4700,"Mia@Sea 03:40PM ET",3.943,"Mia",NA,NA,0.766,NA,NA
"SP","Brent Suter",4600,"Mil@ChC 02:20PM ET",0.033,"Mil",NA,NA,NA,NA,NA
"RP","Trevor Williams",4600,"Pit@StL 01:45PM ET",7.217,"Pit",NA,NA,0.344,NA,NA
"RP","Dustin McGowan",4600,"Mia@Sea 03:40PM ET",3.542,"Mia",NA,NA,0.553,NA,NA
"RP","Brad Ziegler",4600,"Mia@Sea 03:40PM ET",3.164,"Mia",NA,NA,0.817,NA,NA
"RP","Junichi Tazawa",4600,"Mia@Sea 03:40PM ET",1.175,"Mia",NA,NA,0.991,NA,NA
"RP","AJ Ramos",4600,"Mia@Sea 03:40PM ET",4.317,"Mia",NA,NA,1.306,NA,NA
"RP","Severino Gonzalez",4600,"Mia@Sea 03:40PM ET",0,"Mia",NA,NA,NA,NA,NA
"RP","Kyle Barraclough",4600,"Mia@Sea 03:40PM ET",3.85,"Mia",NA,NA,1.52,NA,NA
"RP","Nick Wittgren",4600,"Mia@Sea 03:40PM ET",6.933,"Mia",NA,NA,NA,NA,NA
"RP","Odrisamer Despaigne",4600,"Mia@Sea 03:40PM ET",0,"Mia",NA,NA,NA,NA,NA
"SP","Juan Nicasio",4500,"Pit@StL 01:45PM ET",2.558,"Pit",NA,NA,0.793,NA,NA
"SP","Nick Martinez",4500,"Tex@Oak 03:35PM ET",0,"Tex",NA,NA,NA,NA,NA
"RP","Carlos Torres",4400,"Mil@ChC 02:20PM ET",2.371,"Mil",NA,NA,0.847,NA,NA
"RP","Jared Hughes",4400,"Mil@ChC 02:20PM ET",1.942,"Mil",NA,NA,0.5105,NA,NA
"RP","Neftali Feliz",4400,"Mil@ChC 02:20PM ET",3.193,"Mil",NA,NA,1.09,NA,NA
"RP","Jhan Marinez",4400,"Mil@ChC 02:20PM ET",2.41,"Mil",NA,NA,0.821,NA,NA
"RP","Oliver Drake",4400,"Mil@ChC 02:20PM ET",3.35,"Mil",NA,NA,0.574,NA,NA
"RP","David Goforth",4400,"Mil@ChC 02:20PM ET",1.65,"Mil",NA,NA,NA,NA,NA
"RP","Jacob Barnes",4400,"Mil@ChC 02:20PM ET",3.894,"Mil",NA,NA,0.7225,NA,NA
"RP","Corey Knebel",4400,"Mil@ChC 02:20PM ET",4.281,"Mil",NA,NA,1.24,NA,NA
"SP","Raul Alcantara",4400,"Tex@Oak 03:35PM ET",-4.2,"Oak",NA,NA,0.388,NA,NA
"RP","Matt Bush",4400,"Tex@Oak 03:35PM ET",4.875,"Tex",NA,NA,1.308,NA,NA
"RP","Jeremy Jeffress",4400,"Tex@Oak 03:35PM ET",1.472,"Tex",NA,NA,0.953,NA,NA
"RP","Tony Barnette",4400,"Tex@Oak 03:35PM ET",2.36,"Tex",NA,NA,0.937,NA,NA
"RP","Sam Dyson",4400,"Tex@Oak 03:35PM ET",-3.942,"Tex",NA,NA,NA,NA,NA
"RP","Tanner Scheppers",4400,"Tex@Oak 03:35PM ET",0,"Tex",NA,NA,NA,NA,NA
"RP","Dario Alvarez",4400,"Tex@Oak 03:35PM ET",2.4,"Tex",NA,NA,0.706,NA,NA
"RP","Alex Claudio",4400,"Tex@Oak 03:35PM ET",2.775,"Tex",NA,NA,0.6085,NA,NA
"RP","Jose Leclerc",4400,"Tex@Oak 03:35PM ET",5.85,"Tex",NA,NA,0.576,NA,NA
"RP","Keone Kela",4400,"Tex@Oak 03:35PM ET",4.25,"Tex",NA,NA,0.964,NA,NA
"RP","Mike Hauschild",4400,"Tex@Oak 03:35PM ET",1.7,"Tex",NA,NA,0.533,NA,NA
"RP","Casey Fien",4400,"Mia@Sea 03:40PM ET",0.55,"Sea",NA,NA,NA,NA,NA
"RP","Marc Rzepczynski",4400,"Mia@Sea 03:40PM ET",1.325,"Sea",NA,NA,0.808,NA,NA
"RP","Steve Cishek",4400,"Mia@Sea 03:40PM ET",0,"Sea",NA,NA,NA,NA,NA
"RP","Evan Scribner",4400,"Mia@Sea 03:40PM ET",-0.39,"Sea",NA,NA,1.075,NA,NA
"RP","Nick Vincent",4400,"Mia@Sea 03:40PM ET",3.592,"Sea",NA,NA,1.155,NA,NA
"RP","James Pazos",4400,"Mia@Sea 03:40PM ET",1.867,"Sea",NA,NA,0.62,NA,NA
"RP","Tony Zych",4400,"Mia@Sea 03:40PM ET",0.15,"Sea",NA,NA,NA,NA,NA
"RP","Evan Marshall",4400,"Mia@Sea 03:40PM ET",6.6,"Sea",NA,NA,0.508,NA,NA
"RP","Edwin Diaz",4400,"Mia@Sea 03:40PM ET",3.47,"Sea",NA,NA,1.726,NA,NA
"RP","Shae Simmons",4400,"Mia@Sea 03:40PM ET",0,"Sea",NA,NA,NA,NA,NA
"RP","Dan Altavilla",4400,"Mia@Sea 03:40PM ET",2.886,"Sea",NA,NA,1.146,NA,NA
"RP","Pedro Strop",4300,"Mil@ChC 02:20PM ET",1.693,"ChC",NA,NA,1.216,NA,NA
"RP","Wade Davis",4300,"Mil@ChC 02:20PM ET",4.267,"ChC",NA,NA,1.84,NA,NA
"RP","Brian Duensing",4300,"Mil@ChC 02:20PM ET",-0.65,"ChC",NA,NA,NA,NA,NA
"RP","Hector Rondon",4300,"Mil@ChC 02:20PM ET",3.6,"ChC",NA,NA,1.572,NA,NA
"RP","Justin Grimm",4300,"Mil@ChC 02:20PM ET",1.125,"ChC",NA,NA,0.9825,NA,NA
"RP","Koji Uehara",4300,"Mil@ChC 02:20PM ET",2.279,"ChC",NA,NA,1.681,NA,NA
"RP","Carl Edwards",4300,"Mil@ChC 02:20PM ET",3.22,"ChC",NA,NA,NA,NA,NA
"RP","Jonathan Broxton",4300,"Pit@StL 01:45PM ET",0.213,"StL",NA,NA,0.728,NA,NA
"RP","Seung Hwan Oh",4300,"Pit@StL 01:45PM ET",0.31,"StL",NA,NA,1.388,NA,NA
"RP","Tony Watson",4300,"Pit@StL 01:45PM ET",2.05,"Pit",NA,NA,1.03,NA,NA
"RP","Miguel Socolovich",4300,"Pit@StL 01:45PM ET",0.1,"StL",NA,NA,0.534,NA,NA
"RP","Antonio Bastardo",4300,"Pit@StL 01:45PM ET",-2.7,"Pit",NA,NA,0.742,NA,NA
"RP","Brett Cecil",4300,"Pit@StL 01:45PM ET",0.836,"StL",NA,NA,0.961,NA,NA
"RP","Daniel Hudson",4300,"Pit@StL 01:45PM ET",1.929,"Pit",NA,NA,0.864,NA,NA
"RP","Kevin Siegrist",4300,"Pit@StL 01:45PM ET",-0.81,"StL",NA,NA,1.22,NA,NA
"RP","Tyler Lyons",4300,"Pit@StL 01:45PM ET",0,"StL",NA,NA,NA,NA,NA
"RP","Trevor Rosenthal",4300,"Pit@StL 01:45PM ET",3.817,"StL",NA,NA,1.137,NA,NA
"RP","Felipe Rivero",4300,"Pit@StL 01:45PM ET",3.244,"Pit",NA,NA,0.935,NA,NA
"RP","Sam Tuivailala",4300,"Pit@StL 01:45PM ET",2.117,"StL",NA,NA,NA,NA,NA
