"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","RankTargets","RollingTargetPctg"
"WR","Antonio Brown (0000000)","Antonio Brown",0,10000,"Pit@Mia 00:00PM ET","Pit","Antonio","Brown","Mia",24.54,23.6,37,58,5,1,1,1,0.297435897435897
"WR","Julio Jones (0000000)","Julio Jones",0,8900,"Atl@Sea 00:00PM ET","Atl","Julio","Jones","Sea",18.09,21.2,25,42,3,1,1,1,0.247058823529412
"WR","Odell Beckham (0000000)","Odell Beckham",0,8800,"Bal@NYG 00:00PM ET","NYG","Odell","Beckham","Bal",19.14,17.4,29,55,1,1,2,1,0.283505154639175
"WR","A.J. Green (0000000)","A.J. Green",0,8600,"Cin@NE 00:00PM ET","Cin","A.J.","Green","NE",19.24,23.3,36,55,2,1,1,1,0.287958115183246
"QB","Cam Newton (0000000)","Cam Newton",0,8100,"Car@NO 00:00PM ET","Car","Cam","Newton","NO",27.67,27.4,NA,NA,NA,NA,NA,NA,NA
"WR","Kelvin Benjamin (0000000)","Kelvin Benjamin",0,8100,"Car@NO 00:00PM ET","Car","Kelvin","Benjamin","NO",20,16.1,21,37,4,2,1,2,0.197860962566845
"WR","Jordy Nelson (0000000)","Jordy Nelson",0,8000,"Dal@GB 00:00PM ET","GB","Jordy","Nelson","Dal",18.9,18,21,40,5,2,1,1,0.27027027027027
"RB","David Johnson (0000000)","David Johnson",0,8000,"NYJ@Ari 00:00PM ET","Ari","David","Johnson","NYJ",19.44,16.8,18,28,0,3,4,4,0.142857142857143
"QB","Drew Brees (0000000)","Drew Brees",0,7900,"Car@NO 00:00PM ET","NO","Drew","Brees","Car",27.41,22.9,NA,NA,NA,NA,NA,NA,NA
"RB","Le'Veon Bell (0000000)","Le'Veon Bell",0,7900,"Pit@Mia 00:00PM ET","Pit","Le'Veon","Bell","Mia",23.58,29.7,NA,NA,NA,NA,NA,NA,NA
"WR","Allen Robinson (0000000)","Allen Robinson",0,7800,"Jax@Chi 00:00PM ET","Jax","Allen","Robinson","Chi",19.94,17,21,46,3,1,1,1,0.282208588957055
"WR","T.Y. Hilton (0000000)","T.Y. Hilton",0,7700,"Ind@Hou 00:00PM ET","Ind","T.Y.","Hilton","Hou",20.88,15.4,36,60,3,1,1,1,0.28436018957346
"RB","DeMarco Murray (0000000)","DeMarco Murray",0,7700,"Cle@Ten 00:00PM ET","Ten","DeMarco","Murray","Cle",21.4,21.5,23,26,2,1,2,3,0.152941176470588
"WR","Larry Fitzgerald (0000000)","Larry Fitzgerald",0,7700,"NYJ@Ari 00:00PM ET","Ari","Larry","Fitzgerald","NYJ",20.62,18.9,33,49,6,1,1,1,0.25
"QB","Tom Brady (0000000)","Tom Brady",0,7700,"Cin@NE 00:00PM ET","NE","Tom","Brady","Cin",25.09,22.2,NA,NA,NA,NA,NA,NA,NA
