"Place_lo","Place_hi","Payout"
"1","1","15000"
"2","2","10000"
"3","3","7500"
"4","4","5000"
"5","5","4000"
"6","6","2500"
"7","7","1500"
"8","8","1000"
"9","10","800"
"11","15","700"
"16","20","600"
"21","25","500"
"26","35","400"
"36","50","300"
"51","70","250"
"71","95","200"
"96","145","150"
"146","220","120"
"221","320","100"
"321","470","90"
"471","900","80"
