"Position","Name","Roster_Position","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Trevor Bauer",NA,"CLE@KC 07:15PM ET",15.727,"CLE"
"SP","Jason Vargas",NA,"CLE@KC 07:15PM ET",15.654,"KC"
"1B","Edwin Encarnacion",NA,"CLE@KC 07:15PM ET",8.576,"CLE"
"OF","Jay Bruce",NA,"CLE@KC 07:15PM ET",9.196,"CLE"
"2B/3B","Jose Ramirez",NA,"CLE@KC 07:15PM ET",9.043,"CLE"
"1B","Eric Hosmer",NA,"CLE@KC 07:15PM ET",8.603,"KC"
"SP","Zack Greinke",NA,"ARI@MIN 07:10PM ET",22.246,"ARI"
"SP","Jose Berrios",NA,"ARI@MIN 07:10PM ET",15.691,"MIN"
"1B","Paul Goldschmidt",NA,"ARI@MIN 07:10PM ET",10.934,"ARI"
"OF","J.D. Martinez",NA,"ARI@MIN 07:10PM ET",9.286,"ARI"
"3B","Jake Lamb",NA,"ARI@MIN 07:10PM ET",9.391,"ARI"
"OF","A.J. Pollock",NA,"ARI@MIN 07:10PM ET",8.105,"ARI"
"3B","Miguel Sano",NA,"ARI@MIN 07:10PM ET",8.892,"MIN"
"SP","Kevin Gausman",NA,"LAA@BAL 07:05PM ET",12.338,"BAL"
"SP","J.C. Ramirez",NA,"LAA@BAL 07:05PM ET",11.78,"LAA"
"OF","Mike Trout",NA,"LAA@BAL 07:05PM ET",11.658,"LAA"
"3B","Manny Machado",NA,"LAA@BAL 07:05PM ET",8.675,"BAL"
"2B","Jonathan Schoop",NA,"LAA@BAL 07:05PM ET",8.767,"BAL"
"OF","Adam Jones",NA,"LAA@BAL 07:05PM ET",7.759,"BAL"
"OF","Andrew Benintendi",NA,"NYY@BOS 07:10PM ET",8.5,"BOS"
"OF","Mookie Betts",NA,"NYY@BOS 07:10PM ET",9.397,"BOS"
"3B","Rafael Devers",NA,"NYY@BOS 07:10PM ET",11.632,"BOS"
"OF","Aaron Judge",NA,"NYY@BOS 07:10PM ET",10.504,"NYY"
"SP","Martin Perez",NA,"CWS@TEX 08:05PM ET",9.389,"TEX"
"3B","Adrian Beltre",NA,"CWS@TEX 08:05PM ET",8.956,"TEX"
"OF","Nomar Mazara",NA,"CWS@TEX 08:05PM ET",7.845,"TEX"
"1B/3B","Joey Gallo",NA,"CWS@TEX 08:05PM ET",8.198,"TEX"
"SS","Elvis Andrus",NA,"CWS@TEX 08:05PM ET",9.197,"TEX"
"1B","Jose Abreu",NA,"CWS@TEX 08:05PM ET",8.703,"CWS"
"OF","Giancarlo Stanton",NA,"MIA@NYM 07:10PM ET",10.627,"MIA"
"OF","Curtis Granderson",NA,"MIA@NYM 07:10PM ET",6.964,"NYM"
"OF","Michael Conforto",NA,"MIA@NYM 07:10PM ET",8.904,"NYM"
"OF","Yoenis Cespedes",NA,"MIA@NYM 07:10PM ET",7.689,"NYM"
"OF","Marcell Ozuna",NA,"MIA@NYM 07:10PM ET",8.975,"MIA"
"SP","Collin McHugh",NA,"OAK@HOU 07:10PM ET",12.97,"HOU"
"2B","Jose Altuve",NA,"OAK@HOU 07:10PM ET",10.678,"HOU"
"OF","George Springer",NA,"OAK@HOU 07:10PM ET",10.225,"HOU"
"1B","Yuli Gurriel",NA,"OAK@HOU 07:10PM ET",7.832,"HOU"
"OF","Khris Davis",NA,"OAK@HOU 07:10PM ET",8.832,"OAK"
"SP","Chad Bettis",NA,"MIL@COL 08:10PM ET",16.15,"COL"
"OF","Charlie Blackmon",NA,"MIL@COL 08:10PM ET",11.273,"COL"
"3B","Nolan Arenado",NA,"MIL@COL 08:10PM ET",9.992,"COL"
"3B","Travis Shaw",NA,"MIL@COL 08:10PM ET",9.463,"MIL"
"OF","Ryan Braun",NA,"MIL@COL 08:10PM ET",8.838,"MIL"
"OF","Gerardo Parra",NA,"MIL@COL 08:10PM ET",7.573,"COL"
"1B","Mark Reynolds",NA,"MIL@COL 08:10PM ET",8.474,"COL"
"1B/OF","Eric Thames",NA,"MIL@COL 08:10PM ET",8.435,"MIL"
"2B","Neil Walker",NA,"MIL@COL 08:10PM ET",7.333,"MIL"
"SP","Julio Teheran",NA,"CIN@ATL 07:10PM ET",9.821,"ATL"
"1B","Joey Votto",NA,"CIN@ATL 07:10PM ET",10.154,"CIN"
"1B/3B","Freddie Freeman",NA,"CIN@ATL 07:10PM ET",10.776,"ATL"
"OF","Adam Duvall",NA,"CIN@ATL 07:10PM ET",8.714,"CIN"
"SS","Zack Cozart",NA,"CIN@ATL 07:10PM ET",8.989,"CIN"
"OF","Ender Inciarte",NA,"CIN@ATL 07:10PM ET",8.263,"ATL"
"SP","Stephen Strasburg",NA,"WAS@SD 08:40PM ET",21.158,"WAS"
"1B","Ryan Zimmerman",NA,"WAS@SD 08:40PM ET",9.327,"WAS"
"2B","Daniel Murphy",NA,"WAS@SD 08:40PM ET",9.143,"WAS"
"2B/OF","Howie Kendrick",NA,"WAS@SD 08:40PM ET",8.536,"WAS"
"3B","Anthony Rendon",NA,"WAS@SD 08:40PM ET",9.063,"WAS"
"SP","Jerad Eickhoff",NA,"PHI@SF 09:05PM ET",12.826,"PHI"
"SP","Ty Blach",NA,"PHI@SF 09:05PM ET",7.657,"SF"
