"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
22,754193245,"blowjobbles (31/50)",0,148.6,"1B Albert Pujols OF Nelson Cruz C Martín Maldonado P Jhoulys Chacin 2B Danny Espinosa SS Jean Segura P Matt Shoemaker OF Mike Trout 3B Kyle Seager OF Ben Gamel",NA,"Miguel González","14.34%",0.15
22,754445394,"MLemaire (45/50)",0,148.6,"P Matt Garza OF Cameron Maybin 1B José Abreu OF Avisaíl García OF Mike Trout 3B Kyle Seager SS Hernán Pérez 2B Yolmer Sánchez P Christian Bergman C Jett Bandy",NA,"Cameron Maybin","13.15%",15
25,754147858,"Nucky_T (18/36)",0,147.45,"P Jhoulys Chacin SS Jean Segura OF Avisaíl García OF Mike Trout 3B Matt Davidson 1B Wil Myers 2B Yolmer Sánchez OF Ben Gamel P Christian Bergman C Austin Hedges",NA,"Matt Joyce","11.96%",0
25,754156238,"Nucky_T (36/36)",0,147.45,"P Jhoulys Chacin SS Jean Segura OF Avisaíl García OF Mike Trout 3B Matt Davidson 1B Wil Myers 2B Yolmer Sánchez OF Ben Gamel P Christian Bergman C Austin Hedges",NA,"Keon Broxton","11.16%",3
27,754445357,"MLemaire (8/50)",0,146.6,"1B Albert Pujols OF Melky Cabrera P Matt Garza 3B Todd Frazier 2B Danny Espinosa OF Avisaíl García OF Mike Trout SS Andrelton Simmons P Christian Bergman C Kevan Smith",NA,"Luis Valbuena","10.97%",0
28,754112331,"terlina (32/50)",0,146.45,"1B Albert Pujols 2B Jed Lowrie OF Cameron Maybin P Jhoulys Chacin SS Jean Segura OF Mike Trout 3B Kyle Seager OF Ben Gamel P Christian Bergman C Jett Bandy",NA,"Avisaíl García","10.17%",17
29,754112326,"terlina (27/50)",0,146.4,"C Martín Maldonado 2B Jed Lowrie OF Cameron Maybin 3B Todd Frazier P Jhoulys Chacin 1B José Abreu OF Avisaíl García OF Mike Trout P Jesse Hahn SS Tim Anderson",NA,"José Abreu","9.15%",21
30,753940551,"suidmach (49/50)",0,145.6,"OF Nelson Cruz OF Cameron Maybin P Jhoulys Chacin 2B Danny Espinosa SS Jean Segura P Matt Shoemaker 1B José Abreu OF Mike Trout 3B Kyle Seager C Austin Hedges",NA,"Domingo Santana","8.61%",5
30,754445352,"MLemaire (3/50)",0,145.6,"1B Albert Pujols OF Nelson Cruz C Martín Maldonado P Matt Garza 2B Danny Espinosa OF Avisaíl García OF Mike Trout 3B Kyle Seager SS Hernán Pérez P Christian Bergman",NA,"Yolmer Sánchez","8.36%",10
30,754445387,"MLemaire (38/50)",0,145.6,"C Martín Maldonado P Matt Garza 3B Todd Frazier 1B José Abreu OF Mike Trout OF Domingo Santana 2B Yolmer Sánchez SS Andrelton Simmons OF Ben Gamel P Christian Bergman",NA,"Martín Maldonado","8.08%",14
