"Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","S.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
1,4900,16.3,-0.17,-0.25,-0.22,3.1,0.1,8.6,9,5.9,0.6,5.2,7.5,5.5,3.4,20.4,11.7,3,2,5.5,4,12,0,0.352941176470588,1,1,1,0
0,4800,18.3,-0.03,-0.12,0.04,0,0,0,7.3,5.6,1,9.9,16.9,0,2.5,18.9,9.2,20,26,0,0,0,0,0,7,7,1,1
3,4700,19,-0.06,-0.05,0.09,0,0,0,5,5,1,13.8,8.9,8.9,8.9,8.9,11.8,2,1,8.9,2,4,0,0.153846153846154,3,3,1,1
7,4700,23,0.05,0.17,0.16,0.1,0,8.5,5,4.9,0.5,7.2,8.5,19.2,0.9,13.8,8.2,25,27,19.2,3,6,1,0.193548387096774,2,2,1,1
0,4700,16.3,-0.04,-0.16,-0.11,0,0,0,5.7,4.1,0.4,10.2,8.2,3.3,0.5,15.7,9.8,7,3,3.3,2,7,0,0.179487179487179,3,2,2,0
3,4600,21.8,0.02,0.07,-0.1,0.3,0,4,6.3,4.6,0.3,8.9,5.8,4.7,1.6,18.5,11.3,13,6,4.7,4,9,0,0.209302325581395,3,2,2,0
2,4500,27,-0.05,0.02,0.07,0,0,0,5.3,7.7,1.3,7.4,10.8,6.5,5.3,19.6,7.8,6,11,6.5,3,3,0,0.0789473684210526,6,6,4,0
2,4400,20.5,-0.16,-0.18,-0.26,0.3,0,5.7,6,3.8,0.3,7.1,8.8,13.4,0.9,9.4,8.9,11,13,13.4,4,6,0,0.130434782608696,3,3,4,0
27,4400,25.3,0.1,-0.02,0.03,0.3,0,3,8,8.1,1.1,7,8.2,10.2,3.5,21.6,15,16,21,10.2,7,9,0,0.230769230769231,1,1,2,1
8,4300,28.8,0.16,0.22,0.08,0,0,0,4.3,6.4,0.9,8.2,7.4,13.4,3.6,19.9,8.2,28,29,13.4,4,4,1,0.142857142857143,1,3,1,0
2,4300,28.3,0.05,0.17,0.02,0,0,0,4.3,4.1,0.8,7.3,9.6,1.9,-0.5,14.3,10,1,4,1.9,1,4,0,0.125,3,3,2,0
5,4300,22.8,0.06,0.25,0.12,0,0,0,7,7,0,4.9,6.4,6.4,6.4,6.4,11.4,2,2,6.4,3,6,0,0.206896551724138,3,2,2,0
10,4300,23,0.05,0.17,0.16,0,0,0,8.3,9.2,1.3,7.3,11,6.9,2.9,26.6,11.9,25,27,6.9,5,8,0,0.258064516129032,1,1,2,0
0,4200,22.3,-0.02,-0.09,0.01,0,0,0,6.3,6.8,0.9,5.1,10.2,14,2.2,13.5,7.2,9,8,14,3,7,1,0.189189189189189,3,3,1,0
0,4200,25.3,-0.07,0.13,-0.09,0,0,0,7.3,6.8,1,6.9,15.3,11.1,7.1,15.9,9.3,14,20,11.1,6,6,0,0.142857142857143,2,4,1,0
18,4200,20.5,-0.07,-0.07,0.03,0,0,0,11,11,2,9.7,24.7,24.7,24.7,24.7,12.1,21,10,24.7,5,11,1,0.314285714285714,1,1,1,0
6,4100,25.5,0.01,-0.1,-0.03,0,0,0,7,7,2,8.4,17.9,17.9,17.9,17.9,11.3,15,18,17.9,6,6,1,0.166666666666667,2,4,2,0
24,4100,21,-0.04,0.03,-0.01,0,0,0,11,11,1,6.9,14.6,14.6,14.6,14.6,14.2,32,25,14.6,7,11,0,0.275,1,1,2,0
3,4000,22.5,0.12,-0.17,0.22,0.3,0,5.5,3,6.9,0.7,7.6,6.5,13.1,5.3,13.6,8.3,10,14,13.1,4,4,0,0.133333333333333,2,3,2,0
0,4000,21,0,-0.26,0.07,0.1,0,0,6,5.6,0.5,6.9,11,6,2.7,15,7,23,30,6,4,5,0,0.227272727272727,1,2,1,0
6,4000,21,-0.08,-0.13,-0.11,0,0,0,4.3,6.8,1,8.2,5.7,3.8,1.4,20,12.1,17,22,3.8,2,6,0,0.193548387096774,6,2,4,0
9,4000,25.3,0.19,0.13,0.11,0,0,0,6,6,0,9.7,11.8,11.8,11.8,11.8,11.6,12,5,11.8,6,7,0,0.166666666666667,2,4,4,0
2,3900,28.3,0.05,0.17,0.02,0.3,0,16,6,6.1,0.6,7.6,10.6,3.5,2.7,21.1,7.6,1,4,3.5,1,1,0,0.03125,3,6,2,0
2,3900,23,0.05,0.17,0.16,0,0,0,7.7,7.9,0.6,7.6,10.2,3.4,5.5,19.9,10,25,27,3.4,2,3,0,0.0967741935483871,4,4,2,0
1,3800,23.8,0.04,0.14,0.05,0.1,0,5.5,3.3,6.1,0.7,7.3,3.9,7.8,2.5,18.7,5,8,17,7.8,3,5,0,0.138888888888889,3,3,2,1
0,3800,16.3,-0.04,-0.16,-0.11,0.1,0,5,3.7,3.8,0.3,7.4,6.4,11,1.7,9.2,6.8,7,3,11,5,6,0,0.153846153846154,2,3,2,0
0,3700,16.3,-0.17,-0.25,-0.22,0,0,0,5,4.7,0.3,9.5,11.9,10.7,2,14.3,8.2,3,2,10.7,4,6,0,0.176470588235294,1,2,1,0
1,3700,25.5,0.01,-0.1,-0.03,0,0,0,2.5,2.5,0,13.4,4.9,7.6,1,8.7,4.4,15,18,7.6,2,3,0,0.0833333333333333,5,5,3,0
20,3700,25.3,0.1,-0.02,0.03,0,0,0,3.7,3.7,0.3,14.6,8.7,9.1,0.2,17.2,12.2,16,21,9.1,2,5,0,0.128205128205128,5,4,2,0
0,3600,25.5,0.01,-0.1,-0.03,0,0,0,2.7,2.8,0.1,7.9,4.8,0,-1,9.7,3.1,15,18,0,0,0,0,0,6,6,3,0
3,3600,25.3,0.1,-0.02,0.03,0,0,0,7.3,5.2,0.4,7.8,9.8,1.6,1.5,14.7,8.9,16,21,1.6,1,3,0,0.0769230769230769,6,6,2,0
2,3600,25.3,-0.07,0.13,-0.09,0.1,0,0,6.7,5.4,0.9,7.6,14,11.8,2.7,15.8,10.8,14,20,11.8,6,9,0,0.214285714285714,2,3,1,0
2,3500,22.8,0.06,0.25,0.12,0.1,0,-1,6,6.3,1.3,6.7,10.3,15.7,3.2,17.4,9.3,2,2,15.7,4,6,1,0.206896551724138,1,2,1,0
6,3500,19,-0.06,-0.05,0.09,0.3,0,-1,5,5,1.3,7.3,5,9.8,0,9.9,10.6,2,1,9.8,3,7,0,0.269230769230769,1,1,1,0
1,3500,21.8,0.02,0.07,-0.1,0,0,0,5,4.1,0.4,10.2,12,10.7,2,16.2,8.4,13,6,10.7,5,7,0,0.162790697674419,2,3,2,0
4,3500,23.8,0.04,0.14,0.05,0.1,0.1,4,3.7,4.7,0.4,7.4,7.5,15,2.2,12.5,9.7,8,17,15,3,5,1,0.138888888888889,3,3,1,0
0,3500,21.5,-0.15,-0.09,-0.1,0,0,0,3.7,3.8,0.5,6.4,4.2,8.3,-0.2,10.4,6.1,5,19,8.3,4,7,0,0.155555555555556,5,2,3,0
2,3500,19.8,-0.07,0.11,-0.1,0,0,0,4.3,3.5,0.4,6.9,8.5,15.7,0.1,10.2,8.3,16,24,15.7,4,5,1,0.142857142857143,3,3,1,0
2,3500,22.5,0.12,-0.17,0.22,0,0,0,3,3,1,8,4.4,4.4,4.4,4.4,8.7,10,14,4.4,2,3,0,0.1,3,5,2,0
0,3500,20.8,-0.05,0.01,-0.09,0,0,0,0,0,0,0,0,0,0,0,1.6,19,12,0,0,0,0,0,7,8,1,0
2,3400,18.3,-0.03,-0.12,0.04,0,0,0,4,4.3,0.4,6.7,3,2.6,0.1,11.3,10.4,20,26,2.6,1,5,0,0.185185185185185,5,2,1,0
0,3400,21,-0.04,0.03,-0.01,0,0,0,6,4.6,0.6,6.9,9.2,6,0.2,14.1,6,32,25,6,3,7,0,0.175,3,2,2,0
0,3300,16.3,-0.17,-0.25,-0.22,0,0,0,3.7,4.2,0.4,6,3.7,5.3,-1.3,12.4,3.6,3,2,5.3,3,5,0,0.147058823529412,3,3,1,0
1,3300,21.8,0.08,0.17,0.15,0,0,0,7.7,5.6,0.6,9.1,15,6.4,2.4,16.6,7.9,29,31,6.4,3,5,0,0.111111111111111,3,4,2,0
2,3300,21,-0.04,0.03,-0.01,0.1,0,3.5,2.7,4.7,0.1,9.9,2.7,5.6,0.9,18.6,13.2,32,25,5.6,3,4,0,0.1,3,5,2,0
0,3300,19.8,-0.07,0.11,-0.1,0,0,0,3.3,4.6,0.6,8.2,4.5,3.4,0.8,15.5,5.7,16,24,0,2,2,0,0.0571428571428571,4,5,3,0
0,3300,20.5,-0.07,-0.07,0.03,0,0,0,4.7,2.4,0.3,6.7,8.6,0,-1.9,11.5,3.7,21,10,0,0,0,0,0,9,9,3,0
6,3200,21.8,0.08,0.17,0.15,0,0,0,7,5.1,1.1,6.8,13.9,14.5,-0.6,18.5,7.8,29,31,14.5,8,12,0,0.266666666666667,2,2,2,0
0,3200,21.5,-0.15,-0.09,-0.1,0.3,0,5.2,5,4.1,0.6,6.8,5.1,3.1,0.9,11.3,5.3,5,19,3.1,3,5,0,0.111111111111111,6,6,3,0
0,3200,23,0.05,0.17,0.16,0,0,0,2,2,0,17.5,4.5,4.5,4.5,4.5,7.1,25,27,4.5,1,2,0,0.0645161290322581,7,6,2,0
0,3200,18.3,-0.03,-0.12,0.04,0,0,0,2,2,1,7,3.4,3.4,3.4,3.4,2.8,20,26,3.4,2,2,0,0.0740740740740741,3,5,1,0
0,3200,20.8,-0.05,0.01,-0.09,0.3,0,22.3,2.3,2.1,0.1,9.9,6.7,9.4,-0.3,8.6,6.9,19,12,9.4,4,5,0,0.147058823529412,2,4,1,0
0,3100,19,-0.06,-0.05,0.09,0.2,0,2,4.7,5.6,0.7,6.7,5.6,-0.1,1.8,13,6.3,2,1,-0.1,0,3,0,0.115384615384615,6,4,1,0
0,3100,22.3,0,0.16,-0.12,0.4,0,6,4.7,5.1,0.6,6.1,7.6,4.2,1.8,11.4,3.2,27,16,4.2,2,3,0,0.0769230769230769,5,5,2,0
0,3100,22.3,0,0.16,-0.12,0,0,0,1.7,3.7,0.7,2.8,1.5,1.9,-0.2,9.8,5.1,27,16,1.9,1,2,0,0.0512820512820513,7,6,2,0
0,3100,21,-0.04,0.03,-0.01,0.1,0,-6,6.3,5.2,0.6,5.5,7,4.1,2.2,10.2,2.1,32,25,4.1,2,4,0,0.1,6,5,2,0
0,3000,26.5,0.08,0.1,0.12,0,0,0,3.7,3,0.5,6.3,5.2,0,1.3,6.5,2.8,31,9,0,0,1,0,0.04,6,5,2,0
0,3000,20.8,-0.05,0.01,-0.09,0.1,0,-11,3,4.6,0.2,7.9,3.2,1.5,0.7,13.2,7.6,19,12,1.5,1,6,0,0.176470588235294,4,3,1,0
3,3000,16.3,-0.04,-0.16,-0.11,0,0,0,3.7,2.3,0.1,5.8,4.4,13.1,-2.1,9.1,8.1,7,3,0,8,13,0,0.333333333333333,1,1,2,0
0,3000,21.8,0.08,0.17,0.15,0,0,0,7,3.3,0.4,7.8,8,2.6,1.1,8.1,1.3,29,31,2.6,1,2,0,0.0444444444444444,4,5,2,0
0,3000,25.3,-0.07,0.13,-0.09,0,0,0,2.7,2.8,0.5,6.1,4.7,0,-0.4,8.3,0,14,20,0,0,1,0,0.0238095238095238,9,6,1,0
0,3000,25.3,0.19,0.13,0.11,0,0,0,4.3,3.1,0.3,9.3,7.2,0,0,10.9,1.2,12,5,0,0,0,0,0,8,9,4,0
0,3000,21.8,0.09,-0.06,0.09,0,0,0,3.7,3.8,0.7,5.1,4,1,2,6.3,6.5,30,32,1,1,2,0,0.0526315789473684,6,6,3,0
0,3000,21,-0.08,-0.13,-0.11,0.6,0,4.7,4.7,7.6,0.9,5.5,6,0,4,15.1,2.7,17,22,0,0,0,0,0,8,8,4,0
0,3000,25.8,-0.03,-0.02,-0.29,0,0,0,5,2.9,0.4,6,3.3,0,-1.1,10,3.6,26,15,0,0,1,0,0.024390243902439,9,8,2,0
