"Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","S.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
9,5000,23,0.06,0.05,0.04,0.1,0,8.5,5,4.8,0.6,7,14.2,19.6,0.8,15,10.5,26,28,20.1,8,13,3,0.180555555555556,2,3,1,0
19,4900,26,0.06,0.13,0.19,0,0,0,9.7,6.3,1,9.5,19.8,21.6,3.3,20.3,14.1,23,25,21.6,8,13,0,0.180555555555556,2,2,3,0
0,4800,26.3,-0.01,0.05,0.1,0.2,0,7.3,6,6.3,1,9.7,4.2,2.1,4.9,20.6,9.2,21,29,2.4,2,8,0,0.108108108108108,8,4,4,0
6,4800,18.8,0.01,-0.16,0.07,0,0,0,9,9,1,11.7,21.1,21.1,15.9,26.2,12.8,20,27,17.4,9,18,1,0.26865671641791,2,2,2,0
15,4800,20.8,-0.07,-0.04,0.01,0,0,0,6,4.6,0.2,7.7,11.7,16.8,1.3,12.1,8.8,17,16,15.2,13,14,1,0.191780821917808,1,3,2,0
11,4700,25.3,0.11,0.19,0.17,0,0,0,5,6.6,0.9,8.7,9.7,12.8,4.2,19.3,8.7,28,26,12.1,8,12,1,0.164383561643836,3,2,1,0
31,4700,22.8,0.09,-0.04,0.1,0,0,0,9,9,1,6.1,11,11,5.8,16.1,12.8,32,32,7.3,11,19,0,0.253333333333333,2,1,4,0
16,4400,26.5,0.02,0.11,-0.11,0.2,0,5.7,6.7,3.8,0.2,7,8.4,8.7,0.9,9.1,11.9,24,15,4,5,10,0,0.113636363636364,7,3,5,0
1,4300,15.8,-0.17,-0.29,-0.26,0,0,0,8,4.3,0.4,8.8,9.6,8.9,1.7,12.7,11,2,1,14.5,5,16,1,0.219178082191781,3,2,2,0
21,4300,25,0.08,0.13,0.09,0,0,0,5.3,4.3,1,13.1,13.7,12.1,2.7,17.9,13.1,27,10,15.1,5,11,1,0.166666666666667,5,2,2,0
0,4200,20.8,-0.03,-0.04,-0.06,0,0,0,6,7.6,1.2,7.2,13.1,10.7,5.2,19.5,8.2,15,18,14.8,9,12,2,0.144578313253012,3,3,1,0
6,4200,26.3,0.04,0.22,0,0.3,0,4,5.3,4.7,0.4,9.7,8.3,9.3,2.3,19,13.8,14,17,13.9,9,16,0,0.192771084337349,2,2,2,0
3,4200,28,-0.03,0.02,-0.29,0,0,0,5.5,5.5,0,10.4,10.7,10.7,9.1,12.3,12.3,32,19,9.6,10,12,0,0.137931034482759,3,3,4,1
0,4100,24.5,-0.04,-0.06,-0.01,0,0,0,5.3,4.1,0.9,7.3,12.9,5.9,0,14.7,6.6,6,7,9.9,3,8,1,0.108108108108108,5,3,2,0
3,4100,18.5,0.03,-0.11,0.11,2.9,0.1,8.2,9.7,6.3,0.6,5.3,9.1,8.1,3.9,20.6,13.7,30,29,10.6,9,21,0,0.328125,2,1,1,1
4,4100,23,0.06,0.05,0.04,0,0,0,7.3,9.1,1.3,7.6,9.8,8.2,2.9,26.6,11.6,26,28,9.4,8,14,0,0.194444444444444,2,2,2,0
3,4100,26.8,-0.02,0,0,0,0,0,6.7,7,0.9,5.1,9.3,9.3,2.6,13.5,9.5,29,14,4.6,7,16,1,0.207792207792208,3,3,2,0
3,4000,19.3,-0.04,0.18,-0.08,0.5,0,9,6.5,6.5,1,5.4,7.5,7.5,6,8.9,11.6,19,20,8.5,7,13,0,0.220338983050847,3,2,2,0
1,3900,25,0.05,0.23,0.14,0,0,0,5,5,1,6.8,9.9,9.9,-1.4,21.2,6.2,1,6,1.9,7,9,1,0.126760563380282,4,4,2,0
5,3900,22,0.03,0.01,-0.09,0,0,0,5.7,7.1,1,8,4.6,6.1,1.8,20.1,14,5,4,8.4,6,15,0,0.189873417721519,3,2,4,0
3,3900,18.5,0.03,-0.11,0.11,0,0,0,7,5.1,0.3,9.4,12.4,13.1,2,14.6,9.6,30,29,15.4,10,16,0,0.25,1,2,1,0
0,3900,21.8,0.16,0.13,0.1,0,0,0,5.7,6.8,1.1,6.9,9.8,7.8,6.2,15.5,9.7,10,9,4.5,8,12,0,0.13953488372093,4,4,2,0
0,3900,19.8,-0.15,-0.12,-0.11,0.1,0.1,4,4.3,4.5,0.4,7.9,8.8,12.4,2.3,12.7,6.3,3,8,9.9,7,11,1,0.148648648648649,4,4,2,0
0,3800,25,0.05,0.23,0.14,0.3,0,6,3.3,3.3,0,16.4,7.3,10,2.2,12.4,5.1,1,6,12.3,4,7,0,0.0985915492957746,5,5,6,0
9,3800,21.8,0.16,0.13,0.1,0.1,0,0,8.3,5.9,1,7.4,17.5,13.9,3.7,16.6,8.9,10,9,15.9,12,17,1,0.197674418604651,1,1,1,0
0,3700,19.8,-0.15,-0.12,-0.11,0.1,0,5.5,4,5.9,0.8,7.9,10.5,13.9,3.1,19.8,5.4,3,8,20,7,9,2,0.121621621621622,4,5,1,0
1,3700,24.5,-0.04,-0.06,-0.01,0.4,0,14.2,2.7,5.9,0.5,7.8,4,5.1,2.6,21.1,6.7,6,7,6.6,3,6,1,0.0810810810810811,5,5,2,0
2,3600,26,0.06,0.13,0.19,0,0,0,4.3,4.3,0.4,7,5.5,7.3,0.6,12.1,9.6,23,25,11.9,4,10,1,0.138888888888889,4,3,1,0
0,3600,25,0.08,0.13,0.09,0,0,0,4,4.8,0.5,7.5,2.9,1.7,0.8,13.8,9.5,27,10,1.7,2,8,0,0.121212121212121,7,5,5,0
0,3500,24.3,-0.03,0.04,0.07,0,0,0,4.3,3.6,0.8,8.6,6.8,7.7,-0.6,15.4,6.6,8,13,5.5,5,10,1,0.114942528735632,5,4,1,0
0,3500,22.8,-0.16,-0.21,-0.25,0,0,0,5.5,5.5,0.5,9.3,8.6,8.6,2.7,14.5,7.8,9,3,12.8,8,11,0,0.126436781609195,3,5,3,0
3,3500,21.5,0.13,-0.21,0.18,0,0,0,5,3.7,0.6,6.8,9.4,11.9,0.4,10.3,8.4,13,11,8.2,8,12,1,0.173913043478261,2,2,1,0
3,3500,19.3,-0.04,0.18,-0.08,0.1,0,-1,6,6.3,1.3,6.7,12.7,15.4,3.4,17.8,9.4,19,20,15.2,8,12,1,0.203389830508475,2,3,1,0
9,3400,16,0.04,0.16,0.04,0.3,0,-1,7.7,6.3,1.3,5.7,7.1,8,1.2,9.4,14.1,20,23,6.2,7,17,0,0.283333333333333,1,1,2,1
1,3400,22.8,-0.16,-0.21,-0.25,0.3,0,5.5,5.3,6.9,0.8,7.7,7.6,10,5.3,13.6,6.9,9,3,6.9,7,13,0,0.149425287356322,4,3,3,0
