"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
22,793009409,"mooch23 (2/2)",0,180.25,"P Matt Garza P German Márquez OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu 1B Paul Goldschmidt OF A.J. Pollock OF J.D. Martinez C Jonathan Lucroy SS Adam Rosales",NA,"Javier Báez","16.71%",22
24,792993670,"DenverBax",0,180.2,"P Zack Greinke P German Márquez OF Charlie Blackmon OF Gerardo Parra 1B Paul Goldschmidt OF J.D. Martinez 3B Jake Lamb SS Javier Báez 2B Brandon Drury C Jett Bandy",NA,"René Rivera","16.44%",9
25,792956896,"dcampbell1224 (2/4)",0,179.35,"P Michael Wacha P Rafael Montero OF Charlie Blackmon 2B DJ LeMahieu 1B Paul Goldschmidt OF Yoenis Céspedes OF A.J. Pollock 3B Jake Lamb C Yadier Molina SS Javier Báez",NA,"Jedd Gyorko","16.33%",3
26,792896023,"thaley440 (5/8)",0,179.3,"P Michael Wacha P German Márquez 1B Paul Goldschmidt OF Grégor Blanco OF A.J. Pollock OF J.D. Martinez 2B Ian Happ 3B Jake Lamb C Willson Contreras SS Javier Báez",NA,"Kris Bryant","16.27%",5
26,792958884,"abtech",0,179.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Michael Conforto 1B Mark Reynolds OF J.D. Martinez C Willson Contreras SS Javier Báez 2B Brandon Drury",NA,"Tommy Pham","15.95%",3
28,792936980,"mikegabler",0,178.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 2B DJ LeMahieu OF Gerardo Parra 1B Paul Goldschmidt 3B Jake Lamb C Yadier Molina SS Javier Báez OF Jon Jay",NA,"Michael Conforto","15.51%",5
29,793020356,"tmurderer420",0,178.25,"P Matt Garza P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Gerardo Parra 1B Paul Goldschmidt 2B Asdrúbal Cabrera SS Trevor Story C Willson Contreras OF Carlos González",NA,"Matt Garza","15.45%",19.15
30,792804126,"Awesemo (39/60)",0,177.6,"P José Quintana P Rafael Montero OF Charlie Blackmon OF Michael Conforto 1B Paul Goldschmidt 2B Asdrúbal Cabrera 3B Kris Bryant SS Amed Rosario C Willson Contreras OF Jon Jay",NA,"Paul Goldschmidt","14.36%",52
31,792784780,"jenjay23",0,177.25,"P Matt Garza P German Márquez OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu OF Jay Bruce OF Yoenis Céspedes 1B Mark Reynolds C Willson Contreras SS Javier Báez",NA,"Brandon Drury","13.32%",17
32,793003516,"kirlir08",0,175.35,"P Michael Wacha P Matt Garza OF Charlie Blackmon 1B Paul Goldschmidt 3B Kris Bryant OF Eric Thames 2B Ian Happ C Willson Contreras OF Carlos González SS Javier Báez",NA,"Stephen Piscotty","12.77%",2
33,792891695,"allstarscl",0,175.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt SS Trevor Story OF A.J. Pollock C Willson Contreras OF Carlos González 2B Brandon Drury",NA,"Jett Bandy","12.22%",2
34,792822110,"ThePuckInNet",0,175.2,"P Zack Greinke P German Márquez OF Charlie Blackmon 1B Paul Goldschmidt OF J.D. Martinez 3B Jake Lamb OF José Martínez C Yadier Molina SS Javier Báez 2B Kolten Wong",NA,"Amed Rosario","11.45%",10
35,792903739,"Rags11FSU (1/3)",0,174.2,"P Zack Greinke P German Márquez 3B Nolan Arenado 1B Paul Goldschmidt OF A.J. Pollock OF J.D. Martinez C Willson Contreras OF Carlos González SS Adam Rosales 2B Brandon Drury",NA,"Jay Bruce","11.23%",0
36,792855739,"Allstar4life (1/2)",0,173.25,"P Matt Garza P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Jay Bruce 1B Paul Goldschmidt 2B Asdrúbal Cabrera SS Trevor Story C Willson Contreras OF Carlos González",NA,"A.J. Pollock","10.68%",5
36,792861889,"Allstar4life (2/2)",0,173.25,"P Matt Garza P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Jay Bruce 1B Paul Goldschmidt 2B Asdrúbal Cabrera SS Trevor Story C Willson Contreras OF Carlos González",NA,"Kyle Schwarber","10.58%",3
38,792907288,"JChupik",0,173.2,"P Zack Greinke P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt OF J.D. Martinez C Jonathan Lucroy SS Adam Rosales OF Keon Broxton 2B Brandon Drury",NA,"Ian Happ","10.52%",0
