"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Actual","Projection_reg","Projection_reg_split","RankTargets","RollingTargetPctg","ValueWR"
"RB","David Johnson (7975878)","David Johnson",7975878,9200,"Ari@Sea 04:25PM ET","Ari","David","Johnson","Sea",22.34,21.9,0,21.3042047251815,22.0486599948392,2,0.215799614643545,0
"RB","LeSean McCoy (7975797)","LeSean McCoy",7975797,9000,"Mia@Buf 01:00PM ET","Buf","LeSean","McCoy","Mia",20.83,18.5,0,18.8631393024946,19.5227661099237,4,0.12958435207824,0
"WR","Mike Evans (7975916)","Mike Evans",7975916,8500,"TB@NO 04:25PM ET","TB","Mike","Evans","NO",21.44,20.9,0,20.3845433036389,21.0968908361354,1,0.31041257367387,0
"WR","Julio Jones (7975986)","Julio Jones",7975986,8100,"Atl@Car 01:00PM ET","Atl","Julio","Jones","Car",18.94,22.6,0,20.1649308528105,20.8685831437708,1,0.241090146750524,0
"WR","T.Y. Hilton (7975997)","T.Y. Hilton",7975997,7800,"Ind@Oak 04:05PM ET","Ind","T.Y.","Hilton","Oak",19.25,18.5,0,18.1640826646355,18.7989005728978,1,0.273584905660377,0
"QB","Tom Brady (7975741)","Tom Brady",7975741,7700,"NYJ@NE 01:00PM ET","NE","Tom","Brady","NYJ",22.31,19.9,0,20.2480022928625,20.9560343359986,0,0,0
"QB","Drew Brees (7975736)","Drew Brees",7975736,7400,"TB@NO 04:25PM ET","NO","Drew","Brees","TB",22.88,21.2,0,21.1780975948454,21.9184485953417,0,0,0
"RB","Melvin Gordon (7975842)","Melvin Gordon",7975842,7400,"SD@Cle 01:00PM ET","SD","Melvin","Gordon","Cle",0,22.2,0,11.5765141756981,11.9755832790606,5,0.119587628865979,0
"QB","Matt Ryan (7975769)","Matt Ryan",7975769,7200,"Atl@Car 01:00PM ET","Atl","Matt","Ryan","Car",20.06,22.9,0,20.8169040528051,21.5435352245921,0,0,0
"WR","A.J. Green (7976030)","A.J. Green",7976030,7200,"Cin@Hou 08:25PM ET","Cin","A.J.","Green","Hou",15.47,17.7,0,16.0744843426869,16.6355684463783,1,0.216867469879518,0
"RB","Devonta Freeman (7975862)","Devonta Freeman",7975862,7100,"Atl@Car 01:00PM ET","Atl","Devonta","Freeman","Car",15.33,12.9,0,13.5095125232388,13.9821131585041,3,0.113207547169811,0
"RB","DeMarco Murray (7975823)","DeMarco Murray",7975823,7000,"Ten@Jax 01:00PM ET","Ten","DeMarco","Murray","Jax",19.86,18.6,0,18.4861180800092,19.1323117161438,4,0.139325842696629,0
"WR","Jordy Nelson (7975947)","Jordy Nelson",7975947,7000,"Min@GB 01:00PM ET","GB","Jordy","Nelson","Min",18.76,17.2,0,17.2693826354555,17.873137733151,1,0.256781193490054,0
"QB","Andrew Luck (7975774)","Andrew Luck",7975774,7000,"Ind@Oak 04:05PM ET","Ind","Andrew","Luck","Oak",19.98,21.1,0,19.842872495486,20.5358905661531,0,0,0
"WR","Julian Edelman (7975926)","Julian Edelman",7975926,6900,"NYJ@NE 01:00PM ET","NE","Julian","Edelman","NYJ",16.1,17.7,0,16.3532221160105,16.9241983756987,1,0.280155642023346,0
"QB","Philip Rivers (7975759)","Philip Rivers",7975759,6900,"SD@Cle 01:00PM ET","SD","Philip","Rivers","Cle",19.06,18.7,0,18.1843118122302,18.8197415890059,0,0,0
"WR","Brandin Cooks (7975918)","Brandin Cooks",7975918,6800,"TB@NO 04:25PM ET","NO","Brandin","Cooks","TB",18.27,15,0,15.9053644640176,16.4618782739828,1,0.175972927241963,0
